arm,count,iqr,kind,mean,median,p05,p25,p75,p95,pixel_ap,pixel_auroc,quantile_method,std,stratum
H,,,area,,,,,,,0.027161225014196353,0.9607971199020052,,,small
H,,,area,,,,,,,0.17057290936978206,0.9469204167088608,,,medium
H,,,area,,,,,,,0.8285555680290505,0.9726275282269088,,,large
H,860188,0.5279160950885853,boundary,0.2626266138378261,0.04376909323036671,1.51747634902222e-08,0.0004973198665538803,0.5284134149551392,0.9790240675210953,,,deterministic_stride_257,0.3509990013777398,boundary
H,2356091,0.667980894446373,boundary,0.6739954449180601,0.8925280272960663,0.00015054319956107068,0.32008133828639984,0.9880622327327728,0.9992343187332153,,,deterministic_stride_257,0.3806948023734567,interior
H,576900209,7.2179955346030056e-09,boundary,0.0006957813104591288,3.870007425632593e-09,2.4638213691474675e-09,2.6712922984728493e-09,9.889287833075855e-09,7.324493623173066e-07,,,deterministic_stride_257,0.02006049806894302,background
H,1179286,0.09596266863991332,boundary,0.13728506344363298,0.0027303292881697416,1.0325465460425675e-08,2.4457591280224733e-05,0.09598712623119354,0.8843806505203246,,,deterministic_stride_257,0.2722030092096861,near_boundary_background
H,575720923,7.1045278549064506e-09,boundary,0.00041599674516949487,3.860257891119545e-09,2.4639434936801763e-09,2.6708184552859393e-09,9.77534631019239e-09,6.504904462190048e-07,,,deterministic_stride_257,0.014600739031422803,far_background
A,,,area,,,,,,,0.02982965474812891,0.953015463340775,,,small
A,,,area,,,,,,,0.1811960776514454,0.940906542235485,,,medium
A,,,area,,,,,,,0.8531395471436054,0.9729522239364439,,,large
A,860188,0.37343504519958515,boundary,0.2294363357832189,0.022829456254839897,1.0296232311191037e-08,0.00026303289632778615,0.37369807809591293,0.9667189478874205,,,deterministic_stride_257,0.33431686274540023,boundary
A,2356091,0.5797346904873848,boundary,0.6988680867749265,0.9207885563373566,0.0001878150178526994,0.4084326848387718,0.9881673753261566,0.9985542833805084,,,deterministic_stride_257,0.37316119522501506,interior
A,576900209,7.698161885727473e-09,boundary,0.0005802411371527534,3.8831871052025235e-09,2.566820977989437e-09,2.831274104053705e-09,1.0529435989781177e-08,2.0059124281601587e-07,,,deterministic_stride_257,0.01866886942690244,background
A,1179286,0.05550576201949298,boundary,0.11323899817285628,0.001199090271256864,6.731294988071568e-09,1.095407333195908e-05,0.055516716092824936,0.8161974310874928,,,deterministic_stride_257,0.2503082815769491,near_boundary_background
A,575720923,7.612893204722582e-09,boundary,0.0003494749974451534,3.8734635499082515e-09,2.5666153646852763e-09,2.830000012110645e-09,1.0442893216833227e-08,1.7975741997133752e-07,,,deterministic_stride_257,0.013958898093373242,far_background
