arm,cohort,count,iqr,mean,median,p05,p25,p75,p95,quantile_method,std
H,pixel_positive,3216279,0.9171937387436628,0.5639755952504028,0.726693332195282,1.7681302892924586e-06,0.05953037925064564,0.9767241179943085,0.9989251852035522,deterministic_stride_257,0.41505629187197524
H,pixel_negative,576900209,7.2179955346030056e-09,0.0006957813104591288,3.870007425632593e-09,2.4638213691474675e-09,2.6712922984728493e-09,9.889287833075855e-09,7.324493623173066e-07,deterministic_stride_257,0.02006049806894302
H,image_anomalous,1200,0.04315674304962158,0.732673493201534,0.7382256984710693,0.68992018699646,0.7381472587585449,0.7813040018081665,0.8495246648788451,deterministic_stride_257,0.11042097416311299
H,boundary,860188,0.5279160950885853,0.2626266138378261,0.04376909323036671,1.51747634902222e-08,0.0004973198665538803,0.5284134149551392,0.9790240675210953,deterministic_stride_257,0.3509990013777398
H,interior,2356091,0.667980894446373,0.6739954449180601,0.8925280272960663,0.00015054319956107068,0.32008133828639984,0.9880622327327728,0.9992343187332153,deterministic_stride_257,0.3806948023734567
H,background,576900209,7.2179955346030056e-09,0.0006957813104591288,3.870007425632593e-09,2.4638213691474675e-09,2.6712922984728493e-09,9.889287833075855e-09,7.324493623173066e-07,deterministic_stride_257,0.02006049806894302
H,near_boundary_background,1179286,0.09596266863991332,0.13728506344363298,0.0027303292881697416,1.0325465460425675e-08,2.4457591280224733e-05,0.09598712623119354,0.8843806505203246,deterministic_stride_257,0.2722030092096861
H,far_background,575720923,7.1045278549064506e-09,0.00041599674516949487,3.860257891119545e-09,2.4639434936801763e-09,2.6708184552859393e-09,9.77534631019239e-09,6.504904462190048e-07,deterministic_stride_257,0.014600739031422803
H,image_normal,962,0.03746245801448822,0.3596448958570645,0.3089243620634079,0.2909033164381981,0.29906146973371506,0.3365239277482033,0.3872500970959663,deterministic_stride_257,0.09493147875150852
A,pixel_positive,3216279,0.9287095684558153,0.5733194142182059,0.7713874578475952,1.437190690012358e-06,0.051054684445261955,0.9797642529010773,0.9981126308441162,deterministic_stride_257,0.4184178064135885
A,pixel_negative,576900209,7.698161885727473e-09,0.0005802411371527534,3.8831871052025235e-09,2.566820977989437e-09,2.831274104053705e-09,1.0529435989781177e-08,2.0059124281601587e-07,deterministic_stride_257,0.01866886942690244
A,image_anomalous,1200,0.04233443737030029,0.7194396760314703,0.7673817873001099,0.6851230502128601,0.7262670397758484,0.7686014771461487,0.8368071198463439,deterministic_stride_257,0.11872276957247482
A,boundary,860188,0.37343504519958515,0.2294363357832189,0.022829456254839897,1.0296232311191037e-08,0.00026303289632778615,0.37369807809591293,0.9667189478874205,deterministic_stride_257,0.33431686274540023
A,interior,2356091,0.5797346904873848,0.6988680867749265,0.9207885563373566,0.0001878150178526994,0.4084326848387718,0.9881673753261566,0.9985542833805084,deterministic_stride_257,0.37316119522501506
A,background,576900209,7.698161885727473e-09,0.0005802411371527534,3.8831871052025235e-09,2.566820977989437e-09,2.831274104053705e-09,1.0529435989781177e-08,2.0059124281601587e-07,deterministic_stride_257,0.01866886942690244
A,near_boundary_background,1179286,0.05550576201949298,0.11323899817285628,0.001199090271256864,6.731294988071568e-09,1.095407333195908e-05,0.055516716092824936,0.8161974310874928,deterministic_stride_257,0.2503082815769491
A,far_background,575720923,7.612893204722582e-09,0.0003494749974451534,3.8734635499082515e-09,2.5666153646852763e-09,2.830000012110645e-09,1.0442893216833227e-08,1.7975741997133752e-07,deterministic_stride_257,0.013958898093373242
A,image_normal,962,0.033237047493457794,0.33887613967463776,0.30945026874542236,0.2618305444717407,0.2916754484176636,0.32491249591112137,0.3492071762681007,deterministic_stride_257,0.08909933432567317
