checkpoint,map,resolution,bin,count,mean,median,p90,p95,p99,max,distance_spearman,distance_linear_slope,sample_seed,sample_cap
SAFE_ANCHOR_E10,stage_1,37x37,1,422,0.11118868600592176,1.9403497475423137e-08,0.8661309242248537,0.9999711334705352,0.999999498128891,1.0,,,,
SAFE_ANCHOR_E10,stage_1,37x37,2,602,0.018674809961230224,1.067393462506061e-08,1.2518320772869614e-06,4.677845499827392e-05,0.9999362361431122,0.9999998807907104,,,,
SAFE_ANCHOR_E10,stage_1,37x37,3-4,2111,0.005558320793366483,8.410793839175312e-09,2.8849331101810094e-07,3.0361305789483595e-06,0.007197786075994481,0.9999997615814209,,,,
SAFE_ANCHOR_E10,stage_1,37x37,5-8,7113,0.0009206221774451714,6.6534857623423704e-09,8.297822517988607e-08,5.800990720672359e-07,0.00011247946589719533,0.9970478415489197,,,,
SAFE_ANCHOR_E10,stage_1,37x37,9-16,21004,0.0008253989070743706,5.780648404396516e-09,1.8227899190037533e-08,6.41206057139243e-08,9.293639650422931e-06,0.9986541271209717,,,,
SAFE_ANCHOR_E10,stage_1,37x37,>16,21877,0.0005752368925724851,5.304621630841666e-09,9.530678468649967e-09,1.6596692020698356e-08,4.2014945393021014e-07,1.0,,,,
SAFE_ANCHOR_E10,stage_1,37x37,ALL_OUTSIDE,53129,,,,,,,-0.2661903321340494,-0.0003538512324785244,1729,200000
SAFE_ANCHOR_E10,stage_2,37x37,1,422,0.24280408489744312,5.75815573000682e-09,1.0,1.0,1.0,1.0,,,,
SAFE_ANCHOR_E10,stage_2,37x37,2,602,0.06498626278188623,4.363462480228009e-09,1.0576236491033286e-05,0.9964900285005566,1.0,1.0,,,,
SAFE_ANCHOR_E10,stage_2,37x37,3-4,2111,0.009128310700222856,4.163644540255973e-09,6.299393451314472e-09,2.182659208926907e-08,0.020681580342352793,1.0,,,,
SAFE_ANCHOR_E10,stage_2,37x37,5-8,7113,0.004317079855978062,4.131242903326893e-09,4.7550319237643635e-09,5.473007824718934e-09,8.663938075415019e-08,1.0,,,,
SAFE_ANCHOR_E10,stage_2,37x37,9-16,21004,0.0007319909046605191,4.163644540255973e-09,4.6448813684207835e-09,4.792325647429152e-09,7.0825985076794495e-09,1.0,,,,
SAFE_ANCHOR_E10,stage_2,37x37,>16,21877,0.0005944352577758452,4.131242903326893e-09,4.6448813684207835e-09,4.7550319237643635e-09,5.388156587571302e-09,1.0,,,,
SAFE_ANCHOR_E10,stage_2,37x37,ALL_OUTSIDE,53129,,,,,,,-0.0447960202553228,-0.0009135169814430804,1729,200000
SAFE_ANCHOR_E10,stage_3,37x37,1,422,0.14714505933903416,1.3705602874836131e-08,0.8954339623451234,0.9922005295753479,0.9995845228433609,0.9999605417251587,,,,
SAFE_ANCHOR_E10,stage_3,37x37,2,602,0.035356597431441615,1.1723023440879388e-08,2.6169497004957508e-06,0.061766258440911,0.9817648363113404,0.9985841512680054,,,,
SAFE_ANCHOR_E10,stage_3,37x37,3-4,2111,0.0036397420337194765,1.158635853926171e-08,1.6990270523820072e-08,1.9327998757034948e-08,1.2416190475050999e-05,0.9992792010307312,,,,
SAFE_ANCHOR_E10,stage_3,37x37,5-8,7113,0.0006859855875500545,1.1496191554272173e-08,1.608606403635804e-08,1.7945300356814187e-08,4.7427050731130836e-08,0.9370958209037781,,,,
SAFE_ANCHOR_E10,stage_3,37x37,9-16,21004,0.00020815608013501367,1.1317959902612529e-08,1.571343233308653e-08,1.7393183782132837e-08,2.396012099836753e-08,0.9981397390365601,,,,
SAFE_ANCHOR_E10,stage_3,37x37,>16,21877,1.9043743707889056e-05,1.1406728006591038e-08,1.5591147928262217e-08,1.7257828943684217e-08,2.268498633384297e-08,0.38972070813179016,,,,
SAFE_ANCHOR_E10,stage_3,37x37,ALL_OUTSIDE,53129,,,,,,,0.01080709604838347,-0.00048302350204945964,1729,200000
SAFE_ANCHOR_E10,final_fused,518x518,1,9875,0.019059434744312737,2.278680085510132e-06,0.01965787336230281,0.0970210418105123,0.5398744273185736,0.9441270232200623,,,,
SAFE_ANCHOR_E10,final_fused,518x518,2,9000,0.01320403574572534,1.7274296055802552e-06,0.010125084314495358,0.05356965158134679,0.35619339525699634,0.9125239253044128,,,,
SAFE_ANCHOR_E10,final_fused,518x518,3-4,18627,0.007480329992410426,1.4217085890777525e-06,0.00405322574079037,0.02428870052099229,0.21050647318363241,0.8555290102958679,,,,
SAFE_ANCHOR_E10,final_fused,518x518,5-8,41079,0.0017403945459166627,5.87165459364769e-07,0.0005941784009337449,0.0030209370888769605,0.04138929948210718,0.479083389043808,,,,
SAFE_ANCHOR_E10,final_fused,518x518,9-16,98668,9.434055498248401e-05,1.5838688227631792e-07,2.6977187553711727e-05,0.00010895347695623056,0.0017310304380953319,0.0719810277223587,,,,
SAFE_ANCHOR_E10,final_fused,518x518,>16,12652272,1.938380095598066e-06,7.06381886317331e-09,1.1424059920273066e-08,1.6693854565374955e-08,7.354436348805393e-08,0.05482926964759827,,,,
SAFE_ANCHOR_E10,final_fused,518x518,ALL_OUTSIDE,200000,,,,,,,-0.3426570446465868,-8.886581183225931e-07,1729,200000
