attempt_index,epoch,batch,file_names,labels,image_sha256,mask_sha256,control_status,candidate_status,control_task_loss,candidate_task_loss,control_cab_excess_mean,candidate_cab_excess_mean,control_d_pre_mean,candidate_d_pre_mean,control_d_post_mean,candidate_d_post_mean,control_cab_active_token_fraction,candidate_cab_active_token_fraction,control_context_change_mean,candidate_context_change_mean,control_successful_update,candidate_successful_update
0,11,0,"[""pcb1/Data/Images/Normal/0417.JPG"",""pcb2/Data/Images/Normal/0935.JPG"",""macaroni1/Data/Images/Normal/0178.JPG"",""pcb2/Data/Images/Normal/0968.JPG"",""capsules/Data/Images/Anomaly/040.JPG"",""capsules/Data/Images/Normal/026.JPG""]","[0,0,0,0,1,0]",9077e8fdfb9803d660e52599c2ff52049839d81621a28563569367edd66e9454,dca4beb883a99851ba52220799941c1800b7ed477c41781b310fdbf761a72997,success,success,0.777701457341512,0.777701457341512,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1,1
1,11,1,"[""pipe_fryum/Data/Images/Normal/050.JPG"",""pcb1/Data/Images/Anomaly/061.JPG"",""pcb4/Data/Images/Anomaly/077.JPG"",""chewinggum/Data/Images/Normal/352.JPG"",""pcb3/Data/Images/Anomaly/003.JPG"",""capsules/Data/Images/Anomaly/064.JPG""]","[0,1,1,0,1,1]",9f13761640e1fd2a2aeb48ca6764de66b9f09f326524705289b65cca1eb2eebd,866d465fb10859410626543725317125fcba4c5ba1935fc957625b7c83f1b4dc,success,success,1.0691095689932506,1.0691095689932506,0.060474599401156105,0.060474599401156105,0.7253787219524384,0.7253787219524384,0.7774231433868408,0.7774231433868408,0.75,0.75,0.8903295993804932,0.8903295993804932,1,1
2,11,2,"[""candle/Data/Images/Anomaly/025.JPG"",""pcb1/Data/Images/Anomaly/020.JPG"",""macaroni2/Data/Images/Normal/0294.JPG"",""candle/Data/Images/Anomaly/039.JPG"",""candle/Data/Images/Anomaly/088.JPG"",""pipe_fryum/Data/Images/Anomaly/025.JPG""]","[1,1,0,1,1,1]",b0869be3fa6c52434da2a087d598a8c9413f65b41da1cf5a8636cf34d59ac9d1,c10c14fe1e2943726121abe84c4499a18998db3bc7bf8d92eb586d944b1570a5,success,success,1.2551155189673107,1.2553045849005382,0.019034409647186598,0.01906008335451285,0.7175596316655477,0.7175238331158956,0.6999973058700562,0.7000293175379435,0.4,0.4,1.1651874820391337,1.1651874820391337,1,1
3,11,3,"[""cashew/Data/Images/Anomaly/071.JPG"",""macaroni1/Data/Images/Anomaly/064.JPG"",""pcb3/Data/Images/Normal/0484.JPG"",""pcb3/Data/Images/Normal/0871.JPG"",""macaroni1/Data/Images/Anomaly/015.JPG"",""candle/Data/Images/Anomaly/037.JPG""]","[1,1,0,0,1,1]",fe4eab5cdb607b706d00fed268b71d0ba92b6295a80486e448e4d5fd49700bfb,4f59f3c448b37525423ce6e93291a0c78c313a28a86f6c6c261377c0d4fdf08f,success,success,1.19971497853597,1.1995379825433095,0.03019928080695016,0.030196590082986013,0.6080426914351327,0.6081180231911796,0.6070082698549543,0.6070570009095329,0.5714285714285714,0.5714285714285714,0.7824539967945644,0.7824539967945644,1,1
4,11,4,"[""capsules/Data/Images/Anomaly/006.JPG"",""capsules/Data/Images/Normal/324.JPG"",""pcb3/Data/Images/Normal/0024.JPG"",""pcb3/Data/Images/Normal/0159.JPG"",""pcb1/Data/Images/Anomaly/064.JPG"",""pcb4/Data/Images/Normal/0619.JPG""]","[1,0,0,0,1,0]",52d59e6be26353cc719cff653c4ff8eeacdb4fefe10c7f5fda671f9ac213158e,75ca23e05627336323d6347341b265d4aa93114ba13af1b0f4ba94d6662be079,success,success,0.8872202237447102,0.8872938354810078,0.0942506492137909,0.09428371489048004,0.5884669721126556,0.5883815288543701,0.6827176213264465,0.6826652437448502,1.0,1.0,1.9576458930969238,1.9576458930969238,1,1
5,11,5,"[""pcb2/Data/Images/Normal/0427.JPG"",""macaroni1/Data/Images/Normal/0631.JPG"",""pcb4/Data/Images/Anomaly/028.JPG"",""capsules/Data/Images/Anomaly/038.JPG"",""pcb4/Data/Images/Anomaly/033.JPG"",""pipe_fryum/Data/Images/Anomaly/088.JPG""]","[0,0,1,1,1,1]",56c832799240de69300e6618bc0bf3673879f42ccdc135d68fa2efe24fdbed22,9bbcf8024141f1c510ca3fa5d2d230c314d7ff0467507c42f298a0dbcb5f80c7,success,success,0.9063697755336761,0.906142383813858,0.05010119825601578,0.050105251371860504,0.5578292831778526,0.5577675178647041,0.5935855358839035,0.5935368612408638,0.5,0.5,0.651289701461792,0.651289701461792,1,1
6,11,6,"[""capsules/Data/Images/Anomaly/028.JPG"",""pcb1/Data/Images/Anomaly/023.JPG"",""macaroni2/Data/Images/Anomaly/085.JPG"",""capsules/Data/Images/Anomaly/062.JPG"",""fryum/Data/Images/Normal/307.JPG"",""pipe_fryum/Data/Images/Normal/148.JPG""]","[1,1,1,1,0,0]",c6d2231c302f9854c4f2fb9193e4a5153c008c789b1a53fb48a1791abb0bb838,8a74f12dac0859a6a28be458c605039a0e13692b1f46558459c634aed69e0300,success,success,1.1438512802124023,1.1438531875610352,0.05119597911834717,0.051104886829853056,0.7145683109760285,0.7146612942218781,0.7517945528030395,0.7517781138420105,0.6,0.6,1.040322130918503,1.040322130918503,1,1
7,11,7,"[""cashew/Data/Images/Normal/272.JPG"",""pcb3/Data/Images/Anomaly/090.JPG"",""pcb1/Data/Images/Normal/0208.JPG"",""macaroni2/Data/Images/Anomaly/019.JPG"",""candle/Data/Images/Anomaly/070.JPG"",""capsules/Data/Images/Anomaly/080.JPG""]","[0,1,0,1,1,1]",c87c06a2663d598d6fffbe841ebc6bc75917dffa4a0070f39d75cb2e26f3569c,7bbfdf459f4d5f66216a161cd84b45b155c124455031c72b10605c85ccd8527a,success,success,1.1830331285794575,1.1828059057394664,0.028609924872095387,0.028547465827109084,0.6550502313507928,0.6550808151563009,0.6669944590992398,0.6669650541411506,0.5555555555555556,0.5555555555555556,0.9538294076919556,0.9538294076919556,1,1
8,11,8,"[""pcb4/Data/Images/Anomaly/063.JPG"",""chewinggum/Data/Images/Anomaly/085.JPG"",""capsules/Data/Images/Anomaly/014.JPG"",""capsules/Data/Images/Normal/580.JPG"",""macaroni2/Data/Images/Normal/0631.JPG"",""pipe_fryum/Data/Images/Anomaly/074.JPG""]","[1,1,1,0,0,1]",bdcad5fd9aafddb6ba79e4238f1b8221fc3f8d3a5e76ba46d4fed55b0025f21b,6dc0e619a3146f8783a6de280d5d0c7ea77fa8a2606ae1cef9db8ef0d6542f7b,success,success,1.1200963656107585,1.120001494884491,0.03719617798924446,0.03716001659631729,0.5928281657397747,0.5928973890841007,0.6124059036374092,0.6124190874397755,0.5,0.5,0.899748120456934,0.899748120456934,1,1
9,11,9,"[""macaroni1/Data/Images/Normal/0685.JPG"",""fryum/Data/Images/Normal/377.JPG"",""pcb3/Data/Images/Normal/0294.JPG"",""pcb4/Data/Images/Normal/0674.JPG"",""macaroni1/Data/Images/Anomaly/063.JPG"",""pcb3/Data/Images/Normal/0694.JPG""]","[0,0,0,0,1,0]",f39912375c7aa2c1a83e00139d0889c75d1c89e1c0ded2ec861f1d76e59aec2a,e17b58c27e652d5dee24b8f966121a23adaab565865c19f90ebd463a267e3f4a,success,success,0.7407444814840952,0.7409299910068512,0.07992732524871826,0.07959288358688354,0.7044684886932373,0.7043894529342651,0.7843958139419556,0.7839823365211487,1.0,1.0,0.7239676713943481,0.7239676713943481,1,1
