attempt_index,epoch,batch,file_names,image_sha256,mask_sha256,labels
0,2,0,"[""pipe_fryum/Data/Images/Anomaly/054.JPG"", ""candle/Data/Images/Anomaly/090.JPG"", ""macaroni2/Data/Images/Normal/0648.JPG"", ""candle/Data/Images/Normal/0100.JPG"", ""candle/Data/Images/Normal/0377.JPG"", ""pcb2/Data/Images/Normal/0174.JPG""]",d811d82eb3bf7b6f336bf3a58160000b358243cdbfecd79af99f74058586f327,393e3edb77c3bf7bf32330761955067feffe612e936e1d39a9d4e34ed1225eeb,"[1, 1, 0, 0, 0, 0]"
1,2,1,"[""capsules/Data/Images/Anomaly/084.JPG"", ""cashew/Data/Images/Anomaly/077.JPG"", ""pcb3/Data/Images/Normal/0172.JPG"", ""macaroni1/Data/Images/Normal/0394.JPG"", ""fryum/Data/Images/Normal/384.JPG"", ""pcb2/Data/Images/Anomaly/037.JPG""]",2cbc208dfc396232171d043337bdcdb5c20f60c272cf415106b146c53a39d50a,705c236244deb817bfb7aa40cc0ef307427f7212ad06d373f96eeca8e3845af5,"[1, 1, 0, 0, 0, 1]"
2,2,2,"[""macaroni1/Data/Images/Normal/0694.JPG"", ""pcb1/Data/Images/Anomaly/090.JPG"", ""candle/Data/Images/Anomaly/045.JPG"", ""candle/Data/Images/Anomaly/060.JPG"", ""candle/Data/Images/Normal/0294.JPG"", ""candle/Data/Images/Normal/0303.JPG""]",917f2955c1b2928559d7d9aff34c7a2ba8c7f40a4f01d9390884cb941e0c2ef5,d9392ac470f26d224a04d7efd251b0ed44844dd423af40d99f9a318bd4ddd2eb,"[0, 1, 1, 1, 0, 0]"
3,2,3,"[""pcb4/Data/Images/Normal/0705.JPG"", ""pipe_fryum/Data/Images/Normal/487.JPG"", ""fryum/Data/Images/Normal/352.JPG"", ""capsules/Data/Images/Anomaly/062.JPG"", ""candle/Data/Images/Anomaly/003.JPG"", ""fryum/Data/Images/Anomaly/054.JPG""]",90ab899ac373851e39cc041055757a1a09eab2ed80b21697a94aeed88f06331c,333e8d23161a90d1a279832c9924ade4ca02e344c1bb35a9763b00e6dc29bf95,"[0, 0, 0, 1, 1, 1]"
4,2,4,"[""cashew/Data/Images/Anomaly/035.JPG"", ""cashew/Data/Images/Anomaly/042.JPG"", ""pcb2/Data/Images/Normal/0964.JPG"", ""pcb2/Data/Images/Normal/0306.JPG"", ""pcb1/Data/Images/Anomaly/096.JPG"", ""pcb3/Data/Images/Normal/0811.JPG""]",d9cee082591bbc6e5bca1c1a305369be9315e641f7729a753c2f61b4246e0178,23ac66e1e5d27c80dd227c619180cca3899235a5bf9aab61c2b05f688fb950cf,"[1, 1, 0, 0, 1, 0]"
5,2,5,"[""fryum/Data/Images/Anomaly/018.JPG"", ""macaroni1/Data/Images/Anomaly/073.JPG"", ""candle/Data/Images/Anomaly/080.JPG"", ""chewinggum/Data/Images/Anomaly/081.JPG"", ""fryum/Data/Images/Normal/435.JPG"", ""candle/Data/Images/Anomaly/068.JPG""]",29130808f550b1d57b65589ba39863ac6c24fbe070ffee130cd41b35affd93f4,63b4940cb1080b111c14d6cf917bc9b5681f8011bfa259fd162e49894498b2b8,"[1, 1, 1, 1, 0, 1]"
6,2,6,"[""macaroni1/Data/Images/Normal/0631.JPG"", ""pcb1/Data/Images/Normal/0974.JPG"", ""pcb1/Data/Images/Anomaly/075.JPG"", ""pcb1/Data/Images/Normal/0964.JPG"", ""cashew/Data/Images/Anomaly/009.JPG"", ""pcb2/Data/Images/Anomaly/076.JPG""]",fc9f41413c9e635f221a2f207d830c6d2ceaf3f21922595971e222396a079006,6bd299805d2e7ee8dda930b14611375050e3d9ce4e36e3bec6fde4b7bfad9aac,"[0, 0, 1, 0, 1, 1]"
7,2,7,"[""capsules/Data/Images/Normal/484.JPG"", ""macaroni1/Data/Images/Anomaly/001.JPG"", ""macaroni2/Data/Images/Normal/0483.JPG"", ""pcb2/Data/Images/Normal/0694.JPG"", ""cashew/Data/Images/Anomaly/079.JPG"", ""pcb4/Data/Images/Normal/0027.JPG""]",bfe0fcb0ace172a62e1ea8ea21a80ab7f8e3338ae53b23aa9b2360498f128e80,f67d1a2b39dcff5a211125a8aca17ceaee0bfbd48ca913d7388d81cddf51b2cd,"[0, 1, 0, 0, 1, 0]"
8,2,8,"[""pipe_fryum/Data/Images/Normal/389.JPG"", ""pcb1/Data/Images/Anomaly/080.JPG"", ""pcb1/Data/Images/Anomaly/031.JPG"", ""pcb2/Data/Images/Anomaly/063.JPG"", ""pcb1/Data/Images/Normal/0751.JPG"", ""pcb3/Data/Images/Anomaly/065.JPG""]",31e8d929d8ea82915028da9c5eefafb768d6f69014d2a0e4269be5bc34b09632,f1f481ab9b7afac5c8e1c0bf90482f817085c6c5dcfe139e81c7e39adb1397cd,"[0, 1, 1, 1, 0, 1]"
9,2,9,"[""cashew/Data/Images/Anomaly/086.JPG"", ""pcb1/Data/Images/Normal/0297.JPG"", ""macaroni2/Data/Images/Anomaly/005.JPG"", ""capsules/Data/Images/Anomaly/008.JPG"", ""pcb1/Data/Images/Anomaly/030.JPG"", ""pcb2/Data/Images/Anomaly/015.JPG""]",2640153f927331f19d299e9a84455987e35b199f620dec18edccc916d37aa54f,62abc422a23ca11821c248d87d6058348b9d38361d64d95c055860f470f45396,"[1, 0, 1, 1, 1, 1]"
