ap,arm,auroc,count,difference_l2,linear_cka_to_e1,mean,median,metric,p95,p99,parameter_count,pooled_feature_cosine_to_e1_mean,pooled_feature_cosine_to_e1_median,record,reference_l2,relative_l2,stage,value
0.29612853680878665,E1,0.8445947994923639,,,,,,final,,,,,,ranking,,,,
0.23458304751198428,E1,0.8546653290160546,,,,,,stage_1,,,,,,ranking,,,,
0.30074026937808723,E1,0.819265821823362,,,,,,stage_2,,,,,,ranking,,,,
0.25169285173658984,E1,0.7467318741829323,,,,,,stage_3,,,,,,ranking,,,,
,E1,,50031,,,0.13205783069133759,2.1144732187394766e-08,positive,0.9986475706100464,0.9999489784240723,,,,coverage,,,,
,E1,,25709073,,,6.607365503441542e-05,8.88356854744643e-09,negative,1.9403497475423137e-08,6.825602838489431e-08,,,,coverage,,,,
,E1,,26381,,,0.05829393491148949,2.286290801123414e-08,boundary,0.7029380202293396,0.9913925528526306,,,,coverage,,,,
,E1,,23650,,,0.21433962881565094,1.8954017022565495e-08,interior,0.9998539686203003,0.9999653697013855,,,,coverage,,,,
,E1,,35879,,,0.02883870340883732,5.315785500670245e-08,near_background,0.06891274452209473,0.9073663949966431,,,,coverage,,,,
,E1,,25673194,,,2.5863102564471774e-05,8.88356854744643e-09,far_background,1.9102674997384383e-08,6.41206057139243e-08,,,,coverage,,,,
,E1,,,,,,,near_background_gt_positive,,,,,,inversion_rate,,,,0.48978905020691565
,E1,,,,,,,near_background_gt_interior,,,,,,inversion_rate,,,,0.48072786633627107
,E1,,,0.0,,,,Conv-LoRA,,,6514176,,,parameter_drift,126.46747159582748,0.0,,
,E1,,,0.0,,,,Conv-LoRA_stage1,,,2171392,,,parameter_drift,74.2758752068334,0.0,,
,E1,,,0.0,,,,Conv-LoRA_stage2,,,2171392,,,parameter_drift,74.0056892733952,0.0,,
,E1,,,0.0,,,,Conv-LoRA_stage3,,,2171392,,,parameter_drift,70.71261336755995,0.0,,
,E1,,,0.0,,,,image_projection,,,2770944,,,parameter_drift,86.7573237292431,0.0,,
,E1,,,0.0,,,,DFG_QK,,,1179648,,,parameter_drift,77.3035106814165,0.0,,
,E1,,,0.0,,,,SS2D,,,3550479,,,parameter_drift,87.64346845227016,0.0,,
,E1,,,,1.0,,,stage_1,,,,1.0,1.0,geometry,,,1,
,E1,,,,1.0,,,stage_2,,,,1.0,1.0,geometry,,,2,
,E1,,,,1.0,,,stage_3,,,,1.0,1.0,geometry,,,3,
0.3787039777441838,A_GRADBUDGET_SHORT_R1_CONTROL,0.9393867054666123,,,,,,final,,,,,,ranking,,,,
0.23476988696661122,A_GRADBUDGET_SHORT_R1_CONTROL,0.9387217201610968,,,,,,stage_1,,,,,,ranking,,,,
0.35751463836983105,A_GRADBUDGET_SHORT_R1_CONTROL,0.8872721321523281,,,,,,stage_2,,,,,,ranking,,,,
0.2904651639387505,A_GRADBUDGET_SHORT_R1_CONTROL,0.88250342349873,,,,,,stage_3,,,,,,ranking,,,,
