parameter_name,module,stage,module_index,shape,requires_grad,selected
image_adapter.lora_adapters.0.conv_lora_blocks.0.conv_lora_A.weight,image_adapter.lora_adapters.0,stage1,0,"[8,16,3,3]",1,0
image_adapter.lora_adapters.0.conv_lora_blocks.0.conv_lora_B.weight,image_adapter.lora_adapters.0,stage1,0,"[16,8,3,3]",1,0
image_adapter.lora_adapters.0.conv_lora_blocks.0.lora_A,image_adapter.lora_adapters.0,stage1,0,"[1024,16]",1,0
image_adapter.lora_adapters.0.conv_lora_blocks.0.lora_B,image_adapter.lora_adapters.0,stage1,0,"[16,1024]",1,0
image_adapter.lora_adapters.0.conv_lora_blocks.1.conv_lora_A.weight,image_adapter.lora_adapters.0,stage1,0,"[8,16,5,5]",1,0
image_adapter.lora_adapters.0.conv_lora_blocks.1.conv_lora_B.weight,image_adapter.lora_adapters.0,stage1,0,"[16,8,5,5]",1,0
image_adapter.lora_adapters.0.conv_lora_blocks.1.lora_A,image_adapter.lora_adapters.0,stage1,0,"[1024,16]",1,0
image_adapter.lora_adapters.0.conv_lora_blocks.1.lora_B,image_adapter.lora_adapters.0,stage1,0,"[16,1024]",1,0
image_adapter.lora_adapters.0.fusion_conv.weight,image_adapter.lora_adapters.0,stage1,0,"[1024,2048,1,1]",1,0
image_adapter.lora_adapters.1.conv_lora_blocks.0.conv_lora_A.weight,image_adapter.lora_adapters.1,stage2,1,"[8,16,3,3]",1,1
image_adapter.lora_adapters.1.conv_lora_blocks.0.conv_lora_B.weight,image_adapter.lora_adapters.1,stage2,1,"[16,8,3,3]",1,1
image_adapter.lora_adapters.1.conv_lora_blocks.0.lora_A,image_adapter.lora_adapters.1,stage2,1,"[1024,16]",1,1
image_adapter.lora_adapters.1.conv_lora_blocks.0.lora_B,image_adapter.lora_adapters.1,stage2,1,"[16,1024]",1,1
image_adapter.lora_adapters.1.conv_lora_blocks.1.conv_lora_A.weight,image_adapter.lora_adapters.1,stage2,1,"[8,16,5,5]",1,1
image_adapter.lora_adapters.1.conv_lora_blocks.1.conv_lora_B.weight,image_adapter.lora_adapters.1,stage2,1,"[16,8,5,5]",1,1
image_adapter.lora_adapters.1.conv_lora_blocks.1.lora_A,image_adapter.lora_adapters.1,stage2,1,"[1024,16]",1,1
image_adapter.lora_adapters.1.conv_lora_blocks.1.lora_B,image_adapter.lora_adapters.1,stage2,1,"[16,1024]",1,1
image_adapter.lora_adapters.1.fusion_conv.weight,image_adapter.lora_adapters.1,stage2,1,"[1024,2048,1,1]",1,1
image_adapter.lora_adapters.2.conv_lora_blocks.0.conv_lora_A.weight,image_adapter.lora_adapters.2,stage3,2,"[8,16,3,3]",1,1
image_adapter.lora_adapters.2.conv_lora_blocks.0.conv_lora_B.weight,image_adapter.lora_adapters.2,stage3,2,"[16,8,3,3]",1,1
image_adapter.lora_adapters.2.conv_lora_blocks.0.lora_A,image_adapter.lora_adapters.2,stage3,2,"[1024,16]",1,1
image_adapter.lora_adapters.2.conv_lora_blocks.0.lora_B,image_adapter.lora_adapters.2,stage3,2,"[16,1024]",1,1
image_adapter.lora_adapters.2.conv_lora_blocks.1.conv_lora_A.weight,image_adapter.lora_adapters.2,stage3,2,"[8,16,5,5]",1,1
image_adapter.lora_adapters.2.conv_lora_blocks.1.conv_lora_B.weight,image_adapter.lora_adapters.2,stage3,2,"[16,8,5,5]",1,1
image_adapter.lora_adapters.2.conv_lora_blocks.1.lora_A,image_adapter.lora_adapters.2,stage3,2,"[1024,16]",1,1
image_adapter.lora_adapters.2.conv_lora_blocks.1.lora_B,image_adapter.lora_adapters.2,stage3,2,"[16,1024]",1,1
image_adapter.lora_adapters.2.fusion_conv.weight,image_adapter.lora_adapters.2,stage3,2,"[1024,2048,1,1]",1,1
