attempt_index,epoch,batch,file_names,image_sha256,mask_sha256,labels,protocol_id,arm,status,global_step_before,global_step_after,scaler_before,scaler_after,base_task_loss,anchor_loss,classification_loss,segmentation_loss,natural_nonfinite_loss_skip,natural_nonfinite_grad_skip,forced_parity_skip,successful_update,selected_grad_norm_before_suppression,stage2_grad_norm_before_suppression,stage3_grad_norm_before_suppression,safe_anchor_effective_ratio,safe_anchor_max_family_ratio,parameters_finite,optimizer_state_finite
0,11,0,"[""pcb1/Data/Images/Normal/0417.JPG"",""pcb2/Data/Images/Normal/0935.JPG"",""macaroni1/Data/Images/Normal/0178.JPG"",""pcb2/Data/Images/Normal/0968.JPG"",""capsules/Data/Images/Anomaly/040.JPG"",""capsules/Data/Images/Normal/026.JPG""]",780f1b1bc3dfc840e1c456c6e4e970d59f95b28d85c4a8c4dc00cc15e49c51f5,0831d1dfe2d406990266ea89494279390debcb23ccbf6b8d69e774660093a7d8,"[0,0,0,0,1,0]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3607,3608,16384.0,16384.0,0.7815999984741211,0.2928105890750885,0.644287109375,0.1335403025150299,0,0,0,1,0.03315149015948309,0.031193586349668023,0.011224146757776686,1.0540118338524361e-05,0.09999994563169046,1,1
1,11,1,"[""pipe_fryum/Data/Images/Normal/050.JPG"",""pcb1/Data/Images/Anomaly/061.JPG"",""pcb4/Data/Images/Anomaly/077.JPG"",""chewinggum/Data/Images/Normal/352.JPG"",""pcb3/Data/Images/Anomaly/003.JPG"",""capsules/Data/Images/Anomaly/064.JPG""]",c108643d5dd0bd7c892f6e43a2727c59e2d04ae3f3f1150af7d28b8580fa72a5,b6c57f71cc822b6fb6da233f8b56b1ed0c70b8c22ad096a5079ac4890e719c23,"[0,1,1,0,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3608,3609,16384.0,16384.0,1.125396728515625,0.29282164573669434,0.6805827021598816,0.44100454449653625,0,0,0,1,0.11273965627678931,0.1044823026458982,0.042351842123094625,2.217414322479865e-06,0.02777330521344038,1,1
2,11,2,"[""candle/Data/Images/Anomaly/025.JPG"",""pcb1/Data/Images/Anomaly/020.JPG"",""macaroni2/Data/Images/Normal/0294.JPG"",""candle/Data/Images/Anomaly/039.JPG"",""candle/Data/Images/Anomaly/088.JPG"",""pipe_fryum/Data/Images/Anomaly/025.JPG""]",d67f5f7cd7ab82b9d009d0222f1ea596141d80f403725cd9fc0925399ca183df,029582bb5b815c331f264365674ccfcb45efec11a0ac260020c749a1a69bf740,"[1,1,0,1,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3609,3610,16384.0,16384.0,1.2132794857025146,0.2928365468978882,0.699951171875,0.5094975233078003,0,0,0,1,0.09911875810577199,0.09533033967794213,0.027141380681879695,3.5181692667137626e-06,0.08263258930118987,1,1
3,11,3,"[""cashew/Data/Images/Anomaly/071.JPG"",""macaroni1/Data/Images/Anomaly/064.JPG"",""pcb3/Data/Images/Normal/0484.JPG"",""pcb3/Data/Images/Normal/0871.JPG"",""macaroni1/Data/Images/Anomaly/015.JPG"",""candle/Data/Images/Anomaly/037.JPG""]",6371ef881d6a3f492f5101328ad1730251b4bfb86492ae4886cd250242429027,20635fb27b6b786160b9505dd3b3d6c76af69a1f130d5b68f8adef5dc1a66afc,"[1,1,0,0,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3610,3611,16384.0,16384.0,1.162712812423706,0.29285433888435364,0.67138671875,0.48750004172325134,0,0,0,1,0.4836568736729776,0.4820545632406182,0.03933661792802568,3.151507791101337e-06,0.04544666030284993,1,1
4,11,4,"[""capsules/Data/Images/Anomaly/006.JPG"",""capsules/Data/Images/Normal/324.JPG"",""pcb3/Data/Images/Normal/0024.JPG"",""pcb3/Data/Images/Normal/0159.JPG"",""pcb1/Data/Images/Anomaly/064.JPG"",""pcb4/Data/Images/Normal/0619.JPG""]",245b24e59152f9884d582ee5a432623b231a1b326fe826f6717248dbb79cebba,ed08a3bc4241dfa02f63f147a6298c811833351b86a01676bc538ef9d675857a,"[1,0,0,0,1,0]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3611,3612,16384.0,16384.0,0.8782274127006531,0.29287099838256836,0.6539713740348816,0.22055067121982574,0,0,0,1,0.02798600046991757,0.02734147149292513,0.005971612755679063,2.451294982544661e-05,0.09999994570507993,1,1
5,11,5,"[""pcb2/Data/Images/Normal/0427.JPG"",""macaroni1/Data/Images/Normal/0631.JPG"",""pcb4/Data/Images/Anomaly/028.JPG"",""capsules/Data/Images/Anomaly/038.JPG"",""pcb4/Data/Images/Anomaly/033.JPG"",""pipe_fryum/Data/Images/Anomaly/088.JPG""]",cdea95d948d37fc6f989a0b1a02cbe666c60996121673ac3f8416540232ce68f,89f114fa3d4859cc2297479af661cc934de16cbd0285c0a149011c0971831517,"[0,0,1,1,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3612,3613,16384.0,16384.0,1.0786817073822021,0.292880654335022,0.6241047978401184,0.45079854130744934,0,0,0,1,0.04471563726394739,0.043459145206366,0.010525726286243407,8.2179865574682e-06,0.080750157705603,1,1
6,11,6,"[""capsules/Data/Images/Anomaly/028.JPG"",""pcb1/Data/Images/Anomaly/023.JPG"",""macaroni2/Data/Images/Anomaly/085.JPG"",""capsules/Data/Images/Anomaly/062.JPG"",""fryum/Data/Images/Normal/307.JPG"",""pipe_fryum/Data/Images/Normal/148.JPG""]",7be2c33134b387cc5b92e3bb7850ee389e2a63331e5379e4bbbb68d7a5b96a94,57f2a0135ec0aa7719e531269bd83b9885d53c882e2a3890ac694f4473a873d3,"[1,1,1,1,0,0]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3613,3614,16384.0,16384.0,1.1003059148788452,0.2928902804851532,0.6824544072151184,0.41404393315315247,0,0,0,1,1.2425247431392745,1.2421279132226692,0.031400390227148474,3.980271377340873e-06,0.0999999456914675,1,1
7,11,7,"[""cashew/Data/Images/Normal/272.JPG"",""pcb3/Data/Images/Anomaly/090.JPG"",""pcb1/Data/Images/Normal/0208.JPG"",""macaroni2/Data/Images/Anomaly/019.JPG"",""candle/Data/Images/Anomaly/070.JPG"",""capsules/Data/Images/Anomaly/080.JPG""]",c18fbd4774f73ca5e1870ee361b19b296bed16d5e4a66eb0532b6629f3656560,f94e12724569c572537ff1fdc16e61071efdf52efcaf1c6982bf20f86a12f0ca,"[0,1,0,1,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3614,3615,16384.0,16384.0,1.0445152521133423,0.2929019629955292,0.7069498896598816,0.33378592133522034,0,0,0,1,0.1888844307230095,0.1787941537548512,0.0609095949144469,3.117727899067235e-06,0.017307326057597654,1,1
8,11,8,"[""pcb4/Data/Images/Anomaly/063.JPG"",""chewinggum/Data/Images/Anomaly/085.JPG"",""capsules/Data/Images/Anomaly/014.JPG"",""capsules/Data/Images/Normal/580.JPG"",""macaroni2/Data/Images/Normal/0631.JPG"",""pipe_fryum/Data/Images/Anomaly/074.JPG""]",b29c42d51caf5f03e9f43206516e1fc93ef2f6c9f0b6ee49cccb9368dbfa4b18,99bee814f577c4fe24c949dc1739205d80efec40a5214dfdf533a4be5b959b78,"[1,1,1,0,0,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3615,3616,16384.0,16384.0,1.043691873550415,0.29291510581970215,0.6483561396598816,0.3915286362171173,0,0,0,1,0.2212418479046869,0.22117891746909352,0.0052765264597585924,1.2362164432578703e-05,0.03815517641768695,1,1
9,11,9,"[""macaroni1/Data/Images/Normal/0685.JPG"",""fryum/Data/Images/Normal/377.JPG"",""pcb3/Data/Images/Normal/0294.JPG"",""pcb4/Data/Images/Normal/0674.JPG"",""macaroni1/Data/Images/Anomaly/063.JPG"",""pcb3/Data/Images/Normal/0694.JPG""]",2f7a8c76c306936b01936f9c68ad3778c4529e0fee8ae113b66e641628f3a3f2,cc6a95ede68b696b9cc0056b94c09219f5eac8de869588ee7036a67f6a5e101e,"[0,0,0,0,1,0]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3616,3617,16384.0,16384.0,0.8610929250717163,0.29293614625930786,0.6532389521598816,0.20417042076587677,0,0,0,1,0.8532589687294668,0.8525911929977585,0.03375093094911721,4.64874414256707e-06,0.09999995269300868,1,1
