attempt_index,epoch,batch,file_names,image_sha256,mask_sha256,labels,protocol_id,arm,status,global_step_before,global_step_after,scaler_before,scaler_after,base_task_loss,anchor_loss,classification_loss,segmentation_loss,natural_nonfinite_loss_skip,natural_nonfinite_grad_skip,forced_parity_skip,successful_update,selected_grad_norm_before_suppression,stage2_grad_norm_before_suppression,stage3_grad_norm_before_suppression,safe_anchor_effective_ratio,safe_anchor_max_family_ratio,parameters_finite,optimizer_state_finite
0,11,0,"[""pcb1/Data/Images/Normal/0417.JPG"",""pcb2/Data/Images/Normal/0935.JPG"",""macaroni1/Data/Images/Normal/0178.JPG"",""pcb2/Data/Images/Normal/0968.JPG"",""capsules/Data/Images/Anomaly/040.JPG"",""capsules/Data/Images/Normal/026.JPG""]",780f1b1bc3dfc840e1c456c6e4e970d59f95b28d85c4a8c4dc00cc15e49c51f5,0831d1dfe2d406990266ea89494279390debcb23ccbf6b8d69e774660093a7d8,"[0,0,0,0,1,0]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3607,3608,16384.0,16384.0,0.7815999984741211,0.2928105890750885,0.644287109375,0.1335403025150299,0,0,0,1,0.0331640861962659,0.031206972774477527,0.011224146448009885,1.0543728923501593e-05,0.09999994563169046,1,1
1,11,1,"[""pipe_fryum/Data/Images/Normal/050.JPG"",""pcb1/Data/Images/Anomaly/061.JPG"",""pcb4/Data/Images/Anomaly/077.JPG"",""chewinggum/Data/Images/Normal/352.JPG"",""pcb3/Data/Images/Anomaly/003.JPG"",""capsules/Data/Images/Anomaly/064.JPG""]",c108643d5dd0bd7c892f6e43a2727c59e2d04ae3f3f1150af7d28b8580fa72a5,b6c57f71cc822b6fb6da233f8b56b1ed0c70b8c22ad096a5079ac4890e719c23,"[0,1,1,0,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3608,3609,16384.0,16384.0,1.1269291639328003,0.29285576939582825,0.6813151240348816,0.4418046176433563,0,0,0,1,0.11820361103942564,0.10964696429823281,0.04415469264916118,2.1641310946307254e-06,0.028163852258450185,1,1
2,11,2,"[""candle/Data/Images/Anomaly/025.JPG"",""pcb1/Data/Images/Anomaly/020.JPG"",""macaroni2/Data/Images/Normal/0294.JPG"",""candle/Data/Images/Anomaly/039.JPG"",""candle/Data/Images/Anomaly/088.JPG"",""pipe_fryum/Data/Images/Anomaly/025.JPG""]",d67f5f7cd7ab82b9d009d0222f1ea596141d80f403725cd9fc0925399ca183df,029582bb5b815c331f264365674ccfcb45efec11a0ac260020c749a1a69bf740,"[1,1,0,1,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3609,3610,16384.0,16384.0,1.2148939371109009,0.2928983271121979,0.7013346552848816,0.5097284913063049,0,0,0,1,0.09465344954086732,0.09093858719406238,0.026257358380717386,3.567929042082356e-06,0.08076474927004668,1,1
3,11,3,"[""cashew/Data/Images/Anomaly/071.JPG"",""macaroni1/Data/Images/Anomaly/064.JPG"",""pcb3/Data/Images/Normal/0484.JPG"",""pcb3/Data/Images/Normal/0871.JPG"",""macaroni1/Data/Images/Anomaly/015.JPG"",""candle/Data/Images/Anomaly/037.JPG""]",6371ef881d6a3f492f5101328ad1730251b4bfb86492ae4886cd250242429027,20635fb27b6b786160b9505dd3b3d6c76af69a1f130d5b68f8adef5dc1a66afc,"[1,1,0,0,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3610,3611,16384.0,16384.0,1.1699274778366089,0.29293790459632874,0.6728515625,0.49324995279312134,0,0,0,1,0.6525272878640129,0.6511382027711633,0.04255469773249265,2.919238331723094e-06,0.0429508226428107,1,1
4,11,4,"[""capsules/Data/Images/Anomaly/006.JPG"",""capsules/Data/Images/Normal/324.JPG"",""pcb3/Data/Images/Normal/0024.JPG"",""pcb3/Data/Images/Normal/0159.JPG"",""pcb1/Data/Images/Anomaly/064.JPG"",""pcb4/Data/Images/Normal/0619.JPG""]",245b24e59152f9884d582ee5a432623b231a1b326fe826f6717248dbb79cebba,ed08a3bc4241dfa02f63f147a6298c811833351b86a01676bc538ef9d675857a,"[1,0,0,0,1,0]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3611,3612,16384.0,16384.0,0.8777556419372559,0.2929726839065552,0.6537272334098816,0.2203230857849121,0,0,0,1,0.025938532701666323,0.025514560624540883,0.004670618251585237,2.1340266043395493e-05,0.09999994570496483,1,1
5,11,5,"[""pcb2/Data/Images/Normal/0427.JPG"",""macaroni1/Data/Images/Normal/0631.JPG"",""pcb4/Data/Images/Anomaly/028.JPG"",""capsules/Data/Images/Anomaly/038.JPG"",""pcb4/Data/Images/Anomaly/033.JPG"",""pipe_fryum/Data/Images/Anomaly/088.JPG""]",cdea95d948d37fc6f989a0b1a02cbe666c60996121673ac3f8416540232ce68f,89f114fa3d4859cc2297479af661cc934de16cbd0285c0a149011c0971831517,"[0,0,1,1,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3612,3613,16384.0,16384.0,1.080513834953308,0.2930043637752533,0.625,0.45173561573028564,0,0,0,1,0.04403276310915983,0.04271243280180159,0.01070197697525885,6.789706269377186e-06,0.088823338540161,1,1
6,11,6,"[""capsules/Data/Images/Anomaly/028.JPG"",""pcb1/Data/Images/Anomaly/023.JPG"",""macaroni2/Data/Images/Anomaly/085.JPG"",""capsules/Data/Images/Anomaly/062.JPG"",""fryum/Data/Images/Normal/307.JPG"",""pipe_fryum/Data/Images/Normal/148.JPG""]",7be2c33134b387cc5b92e3bb7850ee389e2a63331e5379e4bbbb68d7a5b96a94,57f2a0135ec0aa7719e531269bd83b9885d53c882e2a3890ac694f4473a873d3,"[1,1,1,1,0,0]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3613,3614,16384.0,16384.0,1.1091471910476685,0.2930296063423157,0.684814453125,0.4205252528190613,0,0,0,1,0.16733572155933316,0.1661768057774939,0.019659932130395047,1.4565017956111563e-05,0.09999994569443486,1,1
7,11,7,"[""cashew/Data/Images/Normal/272.JPG"",""pcb3/Data/Images/Anomaly/090.JPG"",""pcb1/Data/Images/Normal/0208.JPG"",""macaroni2/Data/Images/Anomaly/019.JPG"",""candle/Data/Images/Anomaly/070.JPG"",""capsules/Data/Images/Anomaly/080.JPG""]",c18fbd4774f73ca5e1870ee361b19b296bed16d5e4a66eb0532b6629f3656560,f94e12724569c572537ff1fdc16e61071efdf52efcaf1c6982bf20f86a12f0ca,"[0,1,0,1,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3614,3615,16384.0,16384.0,1.0474519729614258,0.2930578291416168,0.7066243290901184,0.3370482325553894,0,0,0,1,0.17695621601897865,0.1672253089758627,0.05787225955224732,2.992142523846114e-06,0.01748039443380781,1,1
8,11,8,"[""pcb4/Data/Images/Anomaly/063.JPG"",""chewinggum/Data/Images/Anomaly/085.JPG"",""capsules/Data/Images/Anomaly/014.JPG"",""capsules/Data/Images/Normal/580.JPG"",""macaroni2/Data/Images/Normal/0631.JPG"",""pipe_fryum/Data/Images/Anomaly/074.JPG""]",b29c42d51caf5f03e9f43206516e1fc93ef2f6c9f0b6ee49cccb9368dbfa4b18,99bee814f577c4fe24c949dc1739205d80efec40a5214dfdf533a4be5b959b78,"[1,1,1,0,0,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3615,3616,16384.0,16384.0,1.04721200466156,0.2930859923362732,0.6481119990348816,0.39529260993003845,0,0,0,1,0.15957458689371717,0.15949761290544112,0.0049558308855884095,1.8968759818949223e-05,0.03983101897094565,1,1
9,11,9,"[""macaroni1/Data/Images/Normal/0685.JPG"",""fryum/Data/Images/Normal/377.JPG"",""pcb3/Data/Images/Normal/0294.JPG"",""pcb4/Data/Images/Normal/0674.JPG"",""macaroni1/Data/Images/Anomaly/063.JPG"",""pcb3/Data/Images/Normal/0694.JPG""]",2f7a8c76c306936b01936f9c68ad3778c4529e0fee8ae113b66e641628f3a3f2,cc6a95ede68b696b9cc0056b94c09219f5eac8de869588ee7036a67f6a5e101e,"[0,0,0,0,1,0]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3616,3617,16384.0,16384.0,0.8434881567955017,0.2931199371814728,0.654541015625,0.1852630376815796,0,0,0,1,0.9016242629908401,0.9009287732157406,0.035407021983730434,4.851778607201583e-06,0.0144750846816165,1,1
