arm,record,metric,value,count,mean,median,p95,p99,auroc,ap,difference_l2,reference_l2,relative_l2,parameter_count
E10,ranking,final,,,,,,,0.8702439293867495,0.3909678186930318,,,,
E10,ranking,stage_1,,,,,,,0.8813045060517579,0.3517125852394523,,,,
E10,ranking,stage_2,,,,,,,0.8284095520102632,0.33953017757946796,,,,
E10,ranking,stage_3,,,,,,,0.7454489869369378,0.3000919331315538,,,,
E10,coverage,positive,,50031,0.13351142406463623,5.113640781928552e-06,0.9859296083450317,0.9990168809890747,,,,,,
E10,coverage,negative,,25709073,2.146368751709815e-05,7.0825985076794495e-09,1.5591147928262217e-08,6.312650668860442e-08,,,,,,
E10,coverage,boundary,,26381,0.03991304337978363,5.113640781928552e-06,0.2777177691459656,0.8111678957939148,,,,,,
E10,coverage,interior,,23650,0.23791812360286713,5.163911737326998e-06,0.9977152347564697,0.9994012117385864,,,,,,
E10,coverage,near_background,,35879,0.012536337599158287,2.57130659520044e-06,0.05085128918290138,0.31674736738204956,,,,,,
E10,coverage,far_background,,25673194,3.973805178247858e-06,7.0825985076794495e-09,1.5349430171340828e-08,5.3574773062337044e-08,,,,,,
E10,inversion_rate,near_background_gt_positive,0.4675853369249926,,,,,,,,,,,
E10,inversion_rate,near_background_gt_interior,0.4591523453241684,,,,,,,,,,,
E10,parameter_drift,Conv-LoRA,,,,,,,,,0.0,152.3930677040007,0.0,6514176
E10,parameter_drift,Conv-LoRA_stage1,,,,,,,,,0.0,91.68686681527501,0.0,2171392
E10,parameter_drift,Conv-LoRA_stage2,,,,,,,,,0.0,95.68903248442413,0.0,2171392
E10,parameter_drift,Conv-LoRA_stage3,,,,,,,,,0.0,75.23811932809718,0.0,2171392
E10,parameter_drift,DFG_QK,,,,,,,,,0.0,91.00485250090205,0.0,1179648
E10,parameter_drift,SS2D,,,,,,,,,0.0,89.48697605410302,0.0,3550479
E10,parameter_drift,all_image_adapter,,,,,,,,,0.0,222.82229942274114,0.0,14015247
E10,parameter_drift,image_projection,,,,,,,,,0.0,100.67933240632367,0.0,2770944
E1,ranking,final,,,,,,,0.8445947994923639,0.29612853680878665,,,,
E1,ranking,stage_1,,,,,,,0.8546653290160546,0.23458304751198428,,,,
E1,ranking,stage_2,,,,,,,0.819265821823362,0.30074026937808723,,,,
E1,ranking,stage_3,,,,,,,0.7467318741829323,0.25169285173658984,,,,
E1,coverage,positive,,50031,0.13205783069133759,2.1144732187394766e-08,0.9986475706100464,0.9999489784240723,,,,,,
E1,coverage,negative,,25709073,6.607365503441542e-05,8.88356854744643e-09,1.9403497475423137e-08,6.825602838489431e-08,,,,,,
E1,coverage,boundary,,26381,0.05829393491148949,2.286290801123414e-08,0.7029380202293396,0.9913925528526306,,,,,,
E1,coverage,interior,,23650,0.21433962881565094,1.8954017022565495e-08,0.9998539686203003,0.9999653697013855,,,,,,
E1,coverage,near_background,,35879,0.02883870340883732,5.315785500670245e-08,0.06891274452209473,0.9073663949966431,,,,,,
E1,coverage,far_background,,25673194,2.5863102564471774e-05,8.88356854744643e-09,1.9102674997384383e-08,6.41206057139243e-08,,,,,,
E1,inversion_rate,near_background_gt_positive,0.48978905020691565,,,,,,,,,,,
E1,inversion_rate,near_background_gt_interior,0.48072786633627107,,,,,,,,,,,
E1,parameter_drift,Conv-LoRA,,,,,,,,,83.44865657354721,152.3930677040007,0.5475882717685883,6514176
E1,parameter_drift,Conv-LoRA_stage1,,,,,,,,,51.15910655757415,91.68686681527501,0.5579763856545161,2171392
E1,parameter_drift,Conv-LoRA_stage2,,,,,,,,,62.55509155121983,95.68903248442413,0.6537331387628179,2171392
E1,parameter_drift,Conv-LoRA_stage3,,,,,,,,,20.81548993367929,75.23811932809718,0.2766614864854268,2171392
E1,parameter_drift,DFG_QK,,,,,,,,,27.650290947430175,91.00485250090205,0.3038331494153689,1179648
E1,parameter_drift,SS2D,,,,,,,,,18.16346162649138,89.48697605410302,0.20297324177665713,3550479
E1,parameter_drift,all_image_adapter,,,,,,,,,104.33662425365742,222.82229942274114,0.46825037046991747,14015247
E1,parameter_drift,image_projection,,,,,,,,,53.17897092822034,100.67933240632367,0.5282014655560049,2770944
A_LATE_FREEZE_R1_CONTROL,ranking,final,,,,,,,0.8438308373977176,0.4147142522361892,,,,
A_LATE_FREEZE_R1_CONTROL,ranking,stage_1,,,,,,,0.8563522702693854,0.3562478021567026,,,,
A_LATE_FREEZE_R1_CONTROL,ranking,stage_2,,,,,,,0.8112544971736073,0.3979718568651904,,,,
A_LATE_FREEZE_R1_CONTROL,ranking,stage_3,,,,,,,0.7794266443909025,0.32392451716040316,,,,
A_LATE_FREEZE_R1_CONTROL,coverage,positive,,50031,0.14417117834091187,1.7640200894675218e-05,0.9927951693534851,0.9996796250343323,,,,,,
A_LATE_FREEZE_R1_CONTROL,coverage,negative,,25709073,2.0651175873354077e-05,5.780648404396516e-09,1.3026892453638084e-08,8.042525934115474e-08,,,,,,
A_LATE_FREEZE_R1_CONTROL,coverage,boundary,,26381,0.04318610951304436,1.606160913070198e-05,0.30663084983825684,0.8164501786231995,,,,,,
A_LATE_FREEZE_R1_CONTROL,coverage,interior,,23650,0.2568175494670868,3.66946478607133e-05,0.9988698363304138,0.9998989105224609,,,,,,
A_LATE_FREEZE_R1_CONTROL,coverage,near_background,,35879,0.012255360372364521,6.6175330175610725e-06,0.04456014186143875,0.3291221559047699,,,,,,
A_LATE_FREEZE_R1_CONTROL,coverage,far_background,,25673194,3.5528303214960033e-06,5.780648404396516e-09,1.2925515768813511e-08,6.615601222392797e-08,,,,,,
A_LATE_FREEZE_R1_CONTROL,inversion_rate,near_background_gt_positive,0.4656413503017187,,,,,,,,,,,
A_LATE_FREEZE_R1_CONTROL,inversion_rate,near_background_gt_interior,0.4550077330034642,,,,,,,,,,,
A_LATE_FREEZE_R1_CONTROL,parameter_drift,Conv-LoRA,,,,,,,,,15.30966133247993,152.3930677040007,0.10046166510813019,6514176
A_LATE_FREEZE_R1_CONTROL,parameter_drift,Conv-LoRA_stage1,,,,,,,,,5.141849941610364,91.68686681527501,0.056080550249032315,2171392
