parameter_name,module_name,stage,shape,requires_grad,selected_for_freeze
image_adapter.det_layer_norms.0.bias,image_adapter.det_layer_norms.0,stage1,[768],true,false
image_adapter.det_layer_norms.0.weight,image_adapter.det_layer_norms.0,stage1,[768],true,false
image_adapter.det_layer_norms.1.bias,image_adapter.det_layer_norms.1,stage2,[768],true,false
image_adapter.det_layer_norms.1.weight,image_adapter.det_layer_norms.1,stage2,[768],true,false
image_adapter.det_layer_norms.2.bias,image_adapter.det_layer_norms.2,stage3,[768],true,false
image_adapter.det_layer_norms.2.weight,image_adapter.det_layer_norms.2,stage3,[768],true,false
image_adapter.det_proj.0.fc.0.bias,image_adapter.det_proj.0.fc.0,stage1,[256],true,false
image_adapter.det_proj.0.fc.0.weight,image_adapter.det_proj.0.fc.0,stage1,"[256,1024]",true,false
image_adapter.det_proj.0.fc.2.bias,image_adapter.det_proj.0.fc.2,stage1,[768],true,false
image_adapter.det_proj.0.fc.2.weight,image_adapter.det_proj.0.fc.2,stage1,"[768,256]",true,false
image_adapter.det_proj.1.fc.0.bias,image_adapter.det_proj.1.fc.0,stage2,[256],true,false
image_adapter.det_proj.1.fc.0.weight,image_adapter.det_proj.1.fc.0,stage2,"[256,1024]",true,false
image_adapter.det_proj.1.fc.2.bias,image_adapter.det_proj.1.fc.2,stage2,[768],true,false
image_adapter.det_proj.1.fc.2.weight,image_adapter.det_proj.1.fc.2,stage2,"[768,256]",true,false
image_adapter.det_proj.2.fc.0.bias,image_adapter.det_proj.2.fc.0,stage3,[256],true,false
image_adapter.det_proj.2.fc.0.weight,image_adapter.det_proj.2.fc.0,stage3,"[256,1024]",true,false
image_adapter.det_proj.2.fc.2.bias,image_adapter.det_proj.2.fc.2,stage3,[768],true,false
image_adapter.det_proj.2.fc.2.weight,image_adapter.det_proj.2.fc.2,stage3,"[768,256]",true,false
image_adapter.dfg_raw_gamma.0,image_adapter.dfg_raw_gamma,stage1,[],true,false
image_adapter.dfg_raw_gamma.1,image_adapter.dfg_raw_gamma,stage2,[],true,false
image_adapter.dfg_raw_gamma.2,image_adapter.dfg_raw_gamma,stage3,[],true,false
image_adapter.dfg_ss2d_branches.0.in_proj.bias,image_adapter.dfg_ss2d_branches.0.in_proj,stage1,[768],true,false
image_adapter.dfg_ss2d_branches.0.in_proj.weight,image_adapter.dfg_ss2d_branches.0.in_proj,stage1,"[768,768]",true,false
image_adapter.dfg_ss2d_branches.0.post_norm.bias,image_adapter.dfg_ss2d_branches.0.post_norm,stage1,[768],true,false
image_adapter.dfg_ss2d_branches.0.post_norm.weight,image_adapter.dfg_ss2d_branches.0.post_norm,stage1,[768],true,false
image_adapter.dfg_ss2d_branches.0.pre_norm.bias,image_adapter.dfg_ss2d_branches.0.pre_norm,stage1,[768],true,false
image_adapter.dfg_ss2d_branches.0.pre_norm.weight,image_adapter.dfg_ss2d_branches.0.pre_norm,stage1,[768],true,false
image_adapter.dfg_ss2d_branches.0.ss2d.direction_logits,image_adapter.dfg_ss2d_branches.0.ss2d,stage1,[4],true,false
image_adapter.dfg_ss2d_branches.0.ss2d.out_proj.weight,image_adapter.dfg_ss2d_branches.0.ss2d.out_proj,stage1,"[768,768]",true,false
image_adapter.dfg_ss2d_branches.1.in_proj.bias,image_adapter.dfg_ss2d_branches.1.in_proj,stage2,[768],true,false
image_adapter.dfg_ss2d_branches.1.in_proj.weight,image_adapter.dfg_ss2d_branches.1.in_proj,stage2,"[768,768]",true,false
image_adapter.dfg_ss2d_branches.1.post_norm.bias,image_adapter.dfg_ss2d_branches.1.post_norm,stage2,[768],true,false
image_adapter.dfg_ss2d_branches.1.post_norm.weight,image_adapter.dfg_ss2d_branches.1.post_norm,stage2,[768],true,false
image_adapter.dfg_ss2d_branches.1.pre_norm.bias,image_adapter.dfg_ss2d_branches.1.pre_norm,stage2,[768],true,false
image_adapter.dfg_ss2d_branches.1.pre_norm.weight,image_adapter.dfg_ss2d_branches.1.pre_norm,stage2,[768],true,false
image_adapter.dfg_ss2d_branches.1.ss2d.direction_logits,image_adapter.dfg_ss2d_branches.1.ss2d,stage2,[4],true,false
image_adapter.dfg_ss2d_branches.1.ss2d.out_proj.weight,image_adapter.dfg_ss2d_branches.1.ss2d.out_proj,stage2,"[768,768]",true,false
