arm,family,parameter_count,parameter_norm,l2_drift,relative_drift,parameter_cosine_to_E1,drift_energy_share,adam_m_norm,adam_v_norm,effective_step_norm,update_to_weight_ratio,lr,state_tensors,epoch,global_step
H,other_image,3072,10.98968505859375,2.888038158416748,0.2716221213340759,0.9648552536964417,0.0005205600968391762,,,,,,,,
H,conv_lora,6514176,152.3512725830078,80.67134857177734,0.6381770968437195,0.8492891192436218,0.4065240196282555,,,,,,,,
H,image_projection,2767872,101.16175079345703,57.69048309326172,0.670073926448822,0.8221356868743896,0.20775395030158686,,,,,,,,
H,dfg_qk,1179648,124.82360076904297,73.96578979492188,0.9568390846252441,0.8335520029067993,0.3414601889440905,,,,,,,,
H,ss2d,3550479,90.76823425292969,23.69660758972168,0.2703952193260193,0.965465784072876,0.03504762584946233,,,,,,,,
H,text_adapter,80640,84.32000732421875,11.774738311767578,0.1405113786458969,0.9902130961418152,0.008653050032655478,,,,,,,,
H,soft_prompt,6144,1.1120718717575073,0.8065996766090393,0.8219971060752869,0.709737241268158,4.0605147110133294e-05,,,,,,,,
A,other_image,3072,10.828638076782227,2.6289751529693604,0.2472570538520813,0.9701523780822754,0.0005836144010275399,,,,,,,,
A,conv_lora,6514176,153.73533630371094,86.05033874511719,0.680729329586029,0.8294876217842102,0.6257975361320625,,,,,,,,
A,image_projection,2767872,102.48075103759766,58.47846603393555,0.6792263388633728,0.8215540647506714,0.28883875043858104,,,,,,,,
A,dfg_qk,1179648,89.90457153320312,26.981590270996094,0.34904029965400696,0.9590796828269958,0.061474572070461204,,,,,,,,
A,ss2d,3550479,88.39790344238281,11.4883451461792,0.1310902237892151,0.991669237613678,0.011145248568745042,,,,,,,,
A,text_adapter,80640,83.58844757080078,11.981523513793945,0.14297901093959808,0.9897603988647461,0.012122085199896125,,,,,,,,
A,soft_prompt,6144,1.0893995761871338,0.6725373864173889,0.6853756308555603,0.7939116954803467,3.819318922653072e-05,,,,,,,,
E1,text_adapter,80640,83.7993927121634,,,,,0.022916299930757,0.0002996892852962145,0.02270092623982164,0.00027089607102279904,0.00045000000000000004,15,1,359
E1,other_image,3072,10.632558669648873,,,,,0.03398748402280497,0.0009366603443545573,0.01777434806862304,0.001671690570526616,0.0009000000000000001,3,1,359
E1,conv_lora,6514176,126.46747159582748,,,,,0.03543078154418158,0.0003939937197518076,0.5998532308896386,0.004743142432756831,0.0009000000000000001,27,1,359
E1,image_projection,2767872,86.1033211717014,,,,,0.05342500629659973,8.191385038343993e-05,0.6317039955179564,0.007336581062398919,0.0009000000000000001,36,1,359
E1,dfg_qk,1179648,77.3035106814165,,,,,2.8723241367378286e-05,2.7627493514145363e-09,0.09543955288371649,0.0012346082608982961,0.0009000000000000001,6,1,359
E1,ss2d,3550479,87.64346845227016,,,,,0.0,0.0,0.0,0.0,0.0009000000000000001,24,1,359
E1,soft_prompt,6144,0.9812683856966764,,,,,0.0,0.0,0.0,0.0,0.0,0,1,359
H,text_adapter,80640,84.32018872742098,,,,,0.011018356422494513,0.0006521862265165991,0.004740665087768276,5.6222183077569514e-05,0.00010294556604732453,15,15,5410
H,other_image,3072,10.989685511302364,,,,,0.0769223325920901,0.011229801390312278,0.002423615261611453,0.00022053545200350648,0.00020589113209464906,3,15,5410
H,conv_lora,6514176,152.41974205507327,,,,,0.06560303250530954,0.0026506148026137367,0.10693302742198058,0.0007015694028883925,0.00020589113209464906,27,15,5410
H,image_projection,2767872,101.17274386216964,,,,,0.06627532698804345,0.0022929564189042937,0.06927542750548192,0.0006847242138639405,0.00020589113209464906,36,15,5410
H,dfg_qk,1179648,124.8254679980712,,,,,1.2599618698951242e-05,3.1427651644224545e-10,0.023264430038311086,0.00018637566845469843,0.00020589113209464906,6,15,5410
H,ss2d,3550479,90.77479463395484,,,,,1.256327903733385e-12,3.929511270273859e-13,1.2646228148982312e-08,1.393143129651534e-10,0.00020589113209464906,24,15,5410
H,soft_prompt,6144,1.1120718828747826,,,,,0.021070262019998988,0.0001906547352465742,0.0008552755197665979,0.0007690829459294048,5e-05,2,15,5410
A,text_adapter,80640,83.58860450095906,,,,,0.029643013104231487,0.0004896569786937684,0.006800666397107541,8.135877417393076e-05,0.00010294556604732453,15,15,5411
A,other_image,3072,10.82863775363112,,,,,0.2148640367996018,0.4348363128298346,0.0024523151393726662,0.000226465710199821,0.00020589113209464906,3,15,5411
A,conv_lora,6514176,153.80767645125772,,,,,0.09815783666097287,0.004971027834089031,0.09461699133426317,0.0006151642981502792,0.00020589113209464906,27,15,5411
A,image_projection,2767872,102.49005569845893,,,,,0.03205766549733724,0.0001256964671050755,0.09948179586915588,0.0009706482759834398,0.00020589113209464906,36,15,5411
A,dfg_qk,1179648,89.90579990437386,,,,,2.0989900771352028e-05,1.1256321780004756e-10,0.026038569326563663,0.00028962057346977566,0.00020589113209464906,6,15,5411
A,ss2d,3550479,88.404623981505,,,,,1.4789793872496735e-07,3.51684465867782e-12,0.0004407828380768845,4.9859703964025685e-06,0.00020589113209464906,27,15,5411
A,soft_prompt,6144,1.0893996232752239,,,,,0.03762154779931584,0.0005852785820971515,0.0008527480692961723,0.0007827688307183631,5e-05,2,15,5411
