transform,n,l1,rmse,pearson,spearman,top1_overlap,feature_cosine,routing_abnormal_l1,routing_raw_score_l1,routing_entropy_abs_delta,gap_ss2d_disagreement_abs_delta,margin_abs_delta,stage_margin_rank_preserved,anomalous_pixel_ap_delta,record_type,stage,linear_CKA,clean_effective_rank,perturbed_effective_rank,effective_rank_ratio,index,category,label,clean_margin,perturbed_margin,clean_pixel_ap,perturbed_pixel_ap,pixel_ap_delta,setting,pixel_auroc,pixel_ap
brightness,96,4.746707795885795e-05,0.0006541389461487145,0.9664170805627501,0.985250282847275,0.8731752391601441,0.9999660557756821,0.000685427596585618,0.0027539419631163278,0.0009816242381930351,0.0007614537090477016,0.0004348581035931905,1.0,-0.013001732710578398,,,,,,,,,,,,,,,,,
brightness,96,,,,,,,,,,,,,,feature_geometry,1,0.9948407411575317,5.527633190155029,5.521278381347656,0.9988503562756857,,,,,,,,,,,
brightness,96,,,,,,,,,,,,,,feature_geometry,2,0.9976340532302856,4.814711570739746,4.906651020050049,1.0190955258605816,,,,,,,,,,,
brightness,96,,,,,,,,,,,,,,feature_geometry,3,0.9831274747848511,2.418503522872925,2.3703768253326416,0.9801006295483441,,,,,,,,,,,
contrast,96,3.0416331477332536e-05,0.0004364181843614853,0.9789643426112541,0.9846279114021973,0.8929020685799479,0.9999614271024863,0.0007203364592795778,0.002701815993835529,0.0010267717039419545,0.0008003168946339024,0.0005107277797328101,1.0,-0.0034459761414269486,,,,,,,,,,,,,,,,,
contrast,96,,,,,,,,,,,,,,feature_geometry,1,0.9945346713066101,5.527633190155029,5.621880531311035,1.0170502162342945,,,,,,,,,,,
contrast,96,,,,,,,,,,,,,,feature_geometry,2,0.9988055229187012,4.814711570739746,4.873281955718994,1.0121648792702755,,,,,,,,,,,
contrast,96,,,,,,,,,,,,,,feature_geometry,3,0.9767637252807617,2.418503522872925,2.3244752883911133,0.9611213158911938,,,,,,,,,,,
gamma,96,1.5250283589545582e-05,0.00023533677904425876,0.9959551435895792,0.9887498474043689,0.9485960988942725,0.9999757005522648,0.000547191501633885,0.002129646535548899,0.0007783357157475418,0.0006078306016408735,0.0004136734642088413,1.0,0.002881447334234682,,,,,,,,,,,,,,,,,
gamma,96,,,,,,,,,,,,,,feature_geometry,1,0.9971567392349243,5.527633190155029,5.621812343597412,1.0170378804458515,,,,,,,,,,,
gamma,96,,,,,,,,,,,,,,feature_geometry,2,0.9992530941963196,4.814711570739746,4.837118148803711,1.0046537736964631,,,,,,,,,,,
gamma,96,,,,,,,,,,,,,,feature_geometry,3,0.9839905500411987,2.418503522872925,2.4119720458984375,0.9972993725612901,,,,,,,,,,,
saturation,96,1.0837701211436699e-05,0.00016127517599663985,0.9971170920302056,0.99364566576477,0.9505645111193936,0.9999867255489031,0.0004679107708701243,0.0017811533374090989,0.0006685356299082438,0.0005197265806297461,0.0003147116965717739,1.0,0.001776478749547742,,,,,,,,,,,,,,,,,
saturation,96,,,,,,,,,,,,,,feature_geometry,1,0.9980587363243103,5.527633190155029,5.435651779174805,0.9833597115047272,,,,,,,,,,,
saturation,96,,,,,,,,,,,,,,feature_geometry,2,0.9992889761924744,4.814711570739746,4.863320827484131,1.0100959851966618,,,,,,,,,,,
saturation,96,,,,,,,,,,,,,,feature_geometry,3,0.9917145371437073,2.418503522872925,2.42299222946167,1.0018559851355573,,,,,,,,,,,
gaussian_blur,96,0.00011029122051735724,0.001776868151692072,0.857634137496257,0.8867033734838388,0.6699900608771276,0.9996550288051367,0.0025393446267116815,0.010446334257721901,0.0036315354518592358,0.0028214552181048524,0.0012205292781194053,1.0,-0.02172365395022903,,,,,,,,,,,,,,,,,
gaussian_blur,96,,,,,,,,,,,,,,feature_geometry,1,0.9506902694702148,5.527633190155029,4.789821624755859,0.8665230596861516,,,,,,,,,,,
gaussian_blur,96,,,,,,,,,,,,,,feature_geometry,2,0.9850490689277649,4.814711570739746,4.641292572021484,0.9639814356124313,,,,,,,,,,,
gaussian_blur,96,,,,,,,,,,,,,,feature_geometry,3,0.8950748443603516,2.418503522872925,2.57004451751709,1.062658992724621,,,,,,,,,,,
gaussian_noise,96,0.0001123101771094092,0.0015554516698978735,0.8731201319721036,0.8624347954608339,0.6934790036029321,0.9997064104924599,0.0025314376382286562,0.008125351690169839,0.0035894788387748934,0.002812677063047886,0.00134165548822946,1.0,-0.022714116564177184,,,,,,,,,,,,,,,,,
gaussian_noise,96,,,,,,,,,,,,,,feature_geometry,1,0.9602028131484985,5.527633190155029,4.8471174240112305,0.8768884000197718,,,,,,,,,,,
gaussian_noise,96,,,,,,,,,,,,,,feature_geometry,2,0.9867663979530334,4.814711570739746,4.58074951171875,0.951406838066304,,,,,,,,,,,
gaussian_noise,96,,,,,,,,,,,,,,feature_geometry,3,0.9243144989013672,2.418503522872925,2.4780333042144775,1.024614304167247,,,,,,,,,,,
jpeg,96,6.805687874998567e-05,0.0009510603569141679,0.9135467450090639,0.8864513552951493,0.7313369673251335,0.9997974236806234,0.0015977289270570816,0.006394580213559997,0.0022826258403559527,0.0017752302034447591,0.0010722359745866724,1.0,-0.022825571479763867,,,,,,,,,,,,,,,,,
jpeg,96,,,,,,,,,,,,,,feature_geometry,1,0.9615504145622253,5.527633190155029,4.943426609039307,0.8943116228920143,,,,,,,,,,,
jpeg,96,,,,,,,,,,,,,,feature_geometry,2,0.9933437705039978,4.814711570739746,4.81097936630249,0.9992248332257455,,,,,,,,,,,
jpeg,96,,,,,,,,,,,,,,feature_geometry,3,0.9361046552658081,2.418503522872925,2.4081177711486816,0.9957057115583996,,,,,,,,,,,
resize_cycle,96,6.784691235222997e-05,0.0010835044151172796,0.9496168370432475,0.9355432644636599,0.7968691762951918,0.9998403036346039,0.0017557451170028395,0.006658060114002891,0.002502500027832058,0.0019507856470429234,0.0008280122031768163,1.0,-0.006225296766753006,,,,,,,,,,,,,,,,,
resize_cycle,96,,,,,,,,,,,,,,feature_geometry,1,0.9804943799972534,5.527633190155029,4.940195560455322,0.8937270963011872,,,,,,,,,,,
resize_cycle,96,,,,,,,,,,,,,,feature_geometry,2,0.9945536255836487,4.814711570739746,4.698416233062744,0.9758458350062423,,,,,,,,,,,
resize_cycle,96,,,,,,,,,,,,,,feature_geometry,3,0.9570527076721191,2.418503522872925,2.4901785850524902,1.0296361206430755,,,,,,,,,,,
brightness,,2.9353006387604223e-10,6.5217821027048e-10,0.959505014315848,0.9871645304495997,0.5970928065598211,0.999968409538269,0.00029794809718926746,0.003051201502482096,0.0004258006811141968,0.00033073623975118,0.0001376370588938395,1.0,,,,,,,,4,candle,0,-1.0099693636099498,-1.009915252526601,,,,,,
brightness,,3.8902087357543724e-10,1.0259390374974676e-09,0.9863175443660094,0.9701513853454616,0.9522922102124487,0.9998034238815308,0.0013125940846900146,0.007384141286214192,0.0019435286521911621,0.0014584263165791829,0.0015113552411397297,1.0,,,,,,,,5,candle,0,-1.0077207485834758,-1.0091309348742168,,,,,,
brightness,,3.5704775970055356e-10,8.314968697250264e-10,0.9714424475720809,0.9755657311421648,0.8669399925456579,0.9999532699584961,0.0002882974222302437,0.004407068093617757,0.0004074672857920329,0.0003203252951304118,0.0001544952392578125,1.0,,,,,,,,9,candle,0,-1.0082555611928303,-1.008406162261963,,,,,,
brightness,,2.1158496833286237e-10,5.687632031233854e-10,0.9729111553379233,0.9863734462861607,0.9049571375326128,0.9999750852584839,0.0003318482389052709,0.0014748573303222656,0.000479509433110555,0.000368724266688029,0.00011650721232096355,1.0,,,,,,,,10,candle,0,-1.0086678862571716,-1.0086880723635356,,,,,,
brightness,,3.141750204179204e-05,0.0007473541534884046,0.992046154437071,0.9766502089975426,0.9720462169213567,0.9998440742492676,0.0013588607932130496,0.003167231877644857,0.0019479642311731975,0.001509837806224823,0.00045096874237060547,1.0,,,,,,,,0,candle,1,-1.011217753092448,-1.0108871857325237,0.8371158566584326,0.8108443164617146,-0.026271540196717957,,,
brightness,,4.356002935594697e-06,9.910368486794995e-05,0.9836142581662265,0.9833832542197448,0.9575102497204622,0.9999179840087891,0.000793935110171636,0.004787365595499675,0.0012117127577463787,0.0008821686108907064,0.0004975497722625732,1.0,,,,,,,,1,candle,1,-1.0090133150418599,-1.0093404750029247,0.6083958137002626,0.5413144844205133,-0.0670813292797493,,,
brightness,,7.182200747705805e-08,1.6489097795792534e-06,0.9907853360259333,0.9854048983986499,0.963473723443906,0.9998347163200378,0.0014304045277337234,0.010344346364339193,0.0020664681990941367,0.0015893479188283284,0.0011150836944580078,1.0,,,,,,,,2,candle,1,-1.01030628879865,-1.011132727066676,0.562022013237768,0.5441526652265302,-0.01786934801123785,,,
