arm,stage,region,sample_count,anomalous_image_count,feature_norm_mean,feature_cosine_to_E1,cosine_drift_from_E1,linear_CKA_to_E1,effective_rank,covariance_trace,condition_number_nonzero,anisotropy_mean_cosine,spectrum_top1_share,spectrum_top10_share
E1,1,all,2162,1200,0.9790787696838379,1.0,-1.4115438595752039e-08,1.0000001192092896,4.804965972900391,0.002328806323930621,1103294336.0,0.997775137424469,0.479277640581131,0.9866123795509338
E1,1,normal_patch,2162,1200,0.9806383848190308,1.0,-1.4335991949110394e-08,1.0000001192092896,4.826763153076172,0.002300738589838147,1055144064.0,0.9977915287017822,0.4741783142089844,0.9865079522132874
E1,1,anomalous_patch,1002,1002,0.9059170484542847,1.0,-1.4514504265150663e-08,1.0000001192092896,2.1459033489227295,0.3450596034526825,9445622784.0,0.610382080078125,0.8756449222564697,0.964414656162262
E1,2,all,2162,1200,0.9936914443969727,1.0,-1.5411192322289935e-08,1.0000001192092896,5.58257532119751,0.0006397922406904399,251297040.0,0.9994276762008667,0.39503660798072815,0.981021523475647
E1,2,normal_patch,2162,1200,0.9952965378761292,1.0,-1.5576606671174886e-08,1.0,5.031675338745117,0.0005671825492754579,247736752.0,0.9994465112686157,0.4381401836872101,0.9826504588127136
E1,2,anomalous_patch,1002,1002,0.8673942685127258,1.0,-1.7845701805185854e-08,1.0000001192092896,1.6662708520889282,0.6632708311080933,9431806976.0,0.17441615462303162,0.9214359521865845,0.9802135825157166
E1,3,all,2162,1200,0.9918137192726135,1.0,-1.3757039063477805e-08,1.0,3.5581040382385254,0.00017004836990963668,106493080.0,0.999886155128479,0.6354078650474548,0.9803249835968018
E1,3,normal_patch,2162,1200,0.9932048320770264,1.0,-1.4170576712047023e-08,1.0000001192092896,4.270124912261963,0.00012483159662224352,72330416.0,0.9998981952667236,0.5965111255645752,0.9731951951980591
E1,3,anomalous_patch,1002,1002,0.9102890491485596,1.0,-1.8083644803823518e-08,1.0,1.3087928295135498,0.5233433246612549,9522032640.0,0.4156826138496399,0.9518837928771973,0.9963923692703247
H,1,all,2162,1200,0.977988064289093,0.9168506860733032,0.08314927667379379,0.5701060891151428,4.800699234008789,0.002519445028156042,1194622208.0,0.9974808692932129,0.48600804805755615,0.9888332486152649
H,1,normal_patch,2162,1200,0.9798433780670166,0.9168787002563477,0.08312131464481354,0.5601296424865723,4.75100040435791,0.0024529858492314816,1180695936.0,0.9975241422653198,0.4907442331314087,0.9892134070396423
H,1,anomalous_patch,1002,1002,0.8675238490104675,0.6749438047409058,0.32505619525909424,0.569746196269989,4.816465854644775,0.3616023063659668,7922395648.0,0.5497688055038452,0.6280388832092285,0.9366994500160217
H,2,all,2162,1200,0.9760919213294983,0.91538006067276,0.08461996912956238,0.23047684133052826,3.775146722793579,0.0042822519317269325,2545359616.0,0.9970709681510925,0.6207630634307861,0.9897632598876953
