row_type,term,term_right,family,batch_count,raw_gradient_norm,weighted_gradient_norm,cosine,loss_value,batch,category,coefficient,active_parameter_tensors,left_norm,right_norm
aggregate_cosine,K,Anchor,conv_lora,3,,,,,,,,,,
aggregate_cosine,K,Anchor,dfg_qk,3,,,,,,,,,,
aggregate_cosine,K,Anchor,image_projection,3,,,,,,,,,,
aggregate_cosine,K,Anchor,soft_prompt,3,,,,,,,,,,
aggregate_cosine,K,Anchor,ss2d,3,,,,,,,,,,
aggregate_cosine,K,Anchor,text_adapter,3,,,,,,,,,,
aggregate_cosine,KG,Anchor,conv_lora,3,,,,,,,,,,
aggregate_cosine,KG,Anchor,dfg_qk,3,,,,,,,,,,
aggregate_cosine,KG,Anchor,image_projection,3,,,,,,,,,,
aggregate_cosine,KG,Anchor,soft_prompt,3,,,,,,,,,,
aggregate_cosine,KG,Anchor,ss2d,3,,,,,,,,,,
aggregate_cosine,KG,Anchor,text_adapter,3,,,,,,,,,,
aggregate_cosine,KG,K,conv_lora,3,,,,,,,,,,
aggregate_cosine,KG,K,dfg_qk,3,,,,,,,,,,
aggregate_cosine,KG,K,image_projection,3,,,,,,,,,,
aggregate_cosine,KG,K,soft_prompt,3,,,0.014758516103029251,,,,,,,
aggregate_cosine,KG,K,ss2d,3,,,,,,,,,,
aggregate_cosine,KG,K,text_adapter,3,,,0.08987948546806972,,,,,,,
aggregate_cosine,classification,Anchor,conv_lora,3,,,0.0009341881765673558,,,,,,,
aggregate_cosine,classification,Anchor,dfg_qk,3,,,,,,,,,,
aggregate_cosine,classification,Anchor,image_projection,3,,,-0.0012232899122561018,,,,,,,
aggregate_cosine,classification,Anchor,soft_prompt,3,,,,,,,,,,
aggregate_cosine,classification,Anchor,ss2d,3,,,,,,,,,,
aggregate_cosine,classification,Anchor,text_adapter,3,,,,,,,,,,
aggregate_cosine,classification,K,conv_lora,3,,,,,,,,,,
aggregate_cosine,classification,K,dfg_qk,3,,,,,,,,,,
aggregate_cosine,classification,K,image_projection,3,,,,,,,,,,
aggregate_cosine,classification,K,soft_prompt,3,,,0.07575834449380636,,,,,,,
aggregate_cosine,classification,K,ss2d,3,,,,,,,,,,
aggregate_cosine,classification,K,text_adapter,3,,,-0.0007513434926901633,,,,,,,
aggregate_cosine,classification,KG,conv_lora,3,,,,,,,,,,
aggregate_cosine,classification,KG,dfg_qk,3,,,,,,,,,,
aggregate_cosine,classification,KG,image_projection,3,,,,,,,,,,
aggregate_cosine,classification,KG,soft_prompt,3,,,0.3229268689950307,,,,,,,
aggregate_cosine,classification,KG,ss2d,3,,,,,,,,,,
aggregate_cosine,classification,KG,text_adapter,3,,,-0.021485188975930214,,,,,,,
aggregate_cosine,classification,dice_abnormal,conv_lora,3,,,-0.3216501623392105,,,,,,,
aggregate_cosine,classification,dice_abnormal,dfg_qk,3,,,,,,,,,,
aggregate_cosine,classification,dice_abnormal,image_projection,3,,,0.1934725580116113,,,,,,,
aggregate_cosine,classification,dice_abnormal,soft_prompt,3,,,0.21171424041191736,,,,,,,
aggregate_cosine,classification,dice_abnormal,ss2d,3,,,,,,,,,,
aggregate_cosine,classification,dice_abnormal,text_adapter,3,,,-0.13993586599826813,,,,,,,
aggregate_cosine,classification,dice_normal,conv_lora,3,,,-0.0069489628076553345,,,,,,,
aggregate_cosine,classification,dice_normal,dfg_qk,3,,,,,,,,,,
aggregate_cosine,classification,dice_normal,image_projection,3,,,0.10533934629832704,,,,,,,
aggregate_cosine,classification,dice_normal,soft_prompt,3,,,0.04159516996393601,,,,,,,
aggregate_cosine,classification,dice_normal,ss2d,3,,,,,,,,,,
aggregate_cosine,classification,dice_normal,text_adapter,3,,,-0.25359679013490677,,,,,,,
aggregate_cosine,classification,focal,conv_lora,3,,,0.07058003048102061,,,,,,,
aggregate_cosine,classification,focal,dfg_qk,3,,,,,,,,,,
aggregate_cosine,classification,focal,image_projection,3,,,-0.11667954673369725,,,,,,,
aggregate_cosine,classification,focal,soft_prompt,3,,,-0.08874582126736641,,,,,,,
aggregate_cosine,classification,focal,ss2d,3,,,,,,,,,,
aggregate_cosine,classification,focal,text_adapter,3,,,-0.38964411864678067,,,,,,,
aggregate_cosine,dice_abnormal,Anchor,conv_lora,3,,,-0.0019556418895566217,,,,,,,
aggregate_cosine,dice_abnormal,Anchor,dfg_qk,3,,,-0.21876061956087747,,,,,,,
aggregate_cosine,dice_abnormal,Anchor,image_projection,3,,,-0.002885115759757658,,,,,,,
aggregate_cosine,dice_abnormal,Anchor,soft_prompt,3,,,,,,,,,,
aggregate_cosine,dice_abnormal,Anchor,ss2d,3,,,,,,,,,,
aggregate_cosine,dice_abnormal,Anchor,text_adapter,3,,,,,,,,,,
aggregate_cosine,dice_abnormal,K,conv_lora,3,,,,,,,,,,
aggregate_cosine,dice_abnormal,K,dfg_qk,3,,,,,,,,,,
aggregate_cosine,dice_abnormal,K,image_projection,3,,,,,,,,,,
aggregate_cosine,dice_abnormal,K,soft_prompt,3,,,0.02930813158551852,,,,,,,
aggregate_cosine,dice_abnormal,K,ss2d,3,,,,,,,,,,
aggregate_cosine,dice_abnormal,K,text_adapter,3,,,0.007509136572480202,,,,,,,
aggregate_cosine,dice_abnormal,KG,conv_lora,3,,,,,,,,,,
aggregate_cosine,dice_abnormal,KG,dfg_qk,3,,,,,,,,,,
aggregate_cosine,dice_abnormal,KG,image_projection,3,,,,,,,,,,
aggregate_cosine,dice_abnormal,KG,soft_prompt,3,,,0.3438902099927266,,,,,,,
aggregate_cosine,dice_abnormal,KG,ss2d,3,,,,,,,,,,
aggregate_cosine,dice_abnormal,KG,text_adapter,3,,,-0.0057019062320857,,,,,,,
aggregate_cosine,dice_normal,Anchor,conv_lora,3,,,0.003438055825730165,,,,,,,
aggregate_cosine,dice_normal,Anchor,dfg_qk,3,,,-0.010619280859827995,,,,,,,
aggregate_cosine,dice_normal,Anchor,image_projection,3,,,-0.00019102365088959536,,,,,,,
aggregate_cosine,dice_normal,Anchor,soft_prompt,3,,,,,,,,,,
aggregate_cosine,dice_normal,Anchor,ss2d,3,,,,,,,,,,
aggregate_cosine,dice_normal,Anchor,text_adapter,3,,,,,,,,,,
aggregate_cosine,dice_normal,K,conv_lora,3,,,,,,,,,,
aggregate_cosine,dice_normal,K,dfg_qk,3,,,,,,,,,,
aggregate_cosine,dice_normal,K,image_projection,3,,,,,,,,,,
aggregate_cosine,dice_normal,K,soft_prompt,3,,,0.0002728925707439582,,,,,,,
aggregate_cosine,dice_normal,K,ss2d,3,,,,,,,,,,
aggregate_cosine,dice_normal,K,text_adapter,3,,,0.003718300606124103,,,,,,,
aggregate_cosine,dice_normal,KG,conv_lora,3,,,,,,,,,,
aggregate_cosine,dice_normal,KG,dfg_qk,3,,,,,,,,,,
aggregate_cosine,dice_normal,KG,image_projection,3,,,,,,,,,,
aggregate_cosine,dice_normal,KG,soft_prompt,3,,,-0.08620567619800568,,,,,,,
aggregate_cosine,dice_normal,KG,ss2d,3,,,,,,,,,,
aggregate_cosine,dice_normal,KG,text_adapter,3,,,0.0024258513003587723,,,,,,,
aggregate_cosine,dice_normal,dice_abnormal,conv_lora,3,,,0.06274736175934474,,,,,,,
aggregate_cosine,dice_normal,dice_abnormal,dfg_qk,3,,,0.40032950043678284,,,,,,,
