arm,index,image_id,category,label,area_ratio,size_stratum,connected_components,boundary_area_ratio,pixel_auroc,pixel_ap,image_score,normal_tail_p99,anomaly_tail_p01,raw_final_l1
H,0,candle/Data/Images/Anomaly/004.JPG,candle,1,0.0033280660693788106,large,1,0.503919372900336,0.9991554916805931,0.8089241811400474,0.6988838911056519,4.6648091256429325e-07,4.975045612809481e-06,0.002353590214625001
H,1,candle/Data/Images/Anomaly/011.JPG,candle,1,0.004397668490332583,large,1,0.5525423728813559,0.9974950569412955,0.6518555901977885,0.6625182032585144,2.1378073711275647e-07,1.4568837514161714e-07,0.0024990043602883816
H,2,candle/Data/Images/Anomaly/010.JPG,candle,1,0.0031454510218988986,medium,2,0.783175355450237,0.9978391572174063,0.5235970287059845,0.6635851860046387,1.182817527478619e-06,2.128852202076814e-06,0.002844772767275572
H,3,candle/Data/Images/Anomaly/071.JPG,candle,1,0.0005925671948837971,small,20,1.0,0.9960540815068917,0.2411041528887189,0.6630025506019592,8.296532541862689e-06,1.3548857680234505e-07,0.0012625366216525435
H,4,candle/Data/Images/Normal/0994.JPG,candle,0,0.0,normal,0,0.0,,,0.26447418332099915,9.104036635676493e-09,,1.1126259913396552e-09
H,5,candle/Data/Images/Normal/0214.JPG,candle,0,0.0,normal,0,0.0,,,0.2177431732416153,6.172583777441787e-09,,3.6801062197611145e-10
H,6,candle/Data/Images/Anomaly/026.JPG,candle,1,0.0018745993649468553,medium,1,0.6481113320079522,0.9996298601949672,0.8702184716824791,0.7233129143714905,8.751255336392205e-06,0.0014723165659233928,0.003334219567477703
H,7,candle/Data/Images/Anomaly/023.JPG,candle,1,0.002485800748349011,medium,1,0.7916041979010495,0.9986137351974324,0.5598796241774504,0.6781492233276367,8.677306482240965e-07,6.979450063226977e-06,0.0030427216552197933
H,8,candle/Data/Images/Anomaly/045.JPG,candle,1,4.4722052444060165e-05,small,1,1.0,0.999951238359323,0.4253564790329496,0.6825799345970154,3.813365623273057e-08,6.7176497395848855e-06,0.00023722602054476738
H,9,candle/Data/Images/Normal/0844.JPG,candle,0,0.0,normal,0,0.0,,,0.22017021477222443,8.317577737670945e-09,,5.694654747756545e-10
H,10,candle/Data/Images/Normal/0659.JPG,candle,0,0.0,normal,0,0.0,,,0.18476657569408417,6.679858444158526e-09,,2.592160097680818e-10
H,11,candle/Data/Images/Anomaly/033.JPG,candle,1,0.001598813374875151,medium,1,0.8321678321678322,0.9745858706514934,0.0977079812535986,0.3594350814819336,7.287745962258896e-09,4.371000006386794e-09,4.2580428072369614e-10
H,12,candle/Data/Images/Anomaly/085.JPG,candle,1,0.005329377916250503,large,1,0.42657342657342656,0.9989803631215578,0.7918786070341876,0.7422624826431274,3.650687722256407e-05,0.00047292603994719684,0.003632880514487624
H,13,candle/Data/Images/Anomaly/044.JPG,candle,1,8.944410488812033e-05,small,8,1.0,0.9444760995154677,0.01809565400109397,0.6536522507667542,4.3567805363409207e-08,3.331861453403917e-09,0.00033591603278182447
H,14,candle/Data/Images/Normal/0518.JPG,candle,0,0.0,normal,0,0.0,,,0.22731152176856995,7.505405186236658e-09,,3.6254685364944805e-10
H,15,candle/Data/Images/Normal/0685.JPG,candle,0,0.0,normal,0,0.0,,,0.18177351355552673,6.885330972039583e-09,,3.223191991086338e-10
H,16,candle/Data/Images/Normal/0705.JPG,candle,0,0.0,normal,0,0.0,,,0.16815218329429626,6.944151920151853e-09,,2.692902012491061e-10
H,17,candle/Data/Images/Anomaly/014.JPG,candle,1,0.0018932335534652138,medium,1,0.9448818897637795,0.9977690200511387,0.3669080903405021,0.643528163433075,3.592875543745322e-07,2.924916202573513e-07,0.0019287277245894074
H,18,candle/Data/Images/Anomaly/077.JPG,candle,1,0.0009354362636215918,small,50,1.0,0.9932936296727048,0.15155758123180363,0.6984550952911377,2.3233284082380123e-05,1.5695815136496094e-07,0.002317934762686491
