cell,metric,value
C_EQ,positive_vs_negative_mean_gap,0.14132357108215238
C_EQ,positive_vs_near_background_mean_gap,0.12124877595456807
C_EQ,interior_vs_near_background_mean_gap,0.22040011970354437
C_EQ,positive_median_minus_near_bg_p95,-0.053023013120286955
C_EQ,interior_median_minus_near_bg_p95,-0.05302348090940817
C_EQ,near_bg_p95,0.053023925423622054
C_EQ,near_bg_p99,0.7473094570636751
C_EQ,far_bg_p95,4.133649156301544e-08
C_EQ,far_bg_p99,1.207593969354551e-07
C_EQ,negative_p95,4.1764526059751006e-08
C_EQ,negative_p99,1.3192975018228116e-07
C_EQ,boundary_p95,0.44612812995910645
C_EQ,boundary_p99,0.9676061630249024
C_EQ,fraction_near_background_above_positive_median,0.5158727946709775
C_EQ,fraction_near_background_above_interior_median,0.5429638507204771
C_EQ,near_background_positive_pairwise_rank_inversion_rate,0.47401
C_EQ,near_background_interior_pairwise_rank_inversion_rate,0.46939
C_W,positive_vs_negative_mean_gap,0.14070627906932465
C_W,positive_vs_near_background_mean_gap,0.12133739358536554
C_W,interior_vs_near_background_mean_gap,0.22101930372783637
C_W,positive_median_minus_near_bg_p95,-0.0496188440292826
C_W,interior_median_minus_near_bg_p95,-0.04961918426639042
C_W,near_bg_p95,0.04961974360048768
C_W,near_bg_p99,0.728516005277635
C_W,far_bg_p95,4.139558740234861e-08
C_W,far_bg_p99,1.3118710327830763e-07
C_W,negative_p95,4.1869885336609514e-08
C_W,negative_p99,1.4380521406565127e-07
C_W,boundary_p95,0.42669978737831116
C_W,boundary_p99,0.9661677002906803
C_W,fraction_near_background_above_positive_median,0.5165695810920037
C_W,fraction_near_background_above_interior_median,0.533794141419772
C_W,near_background_positive_pairwise_rank_inversion_rate,0.473
C_W,near_background_interior_pairwise_rank_inversion_rate,0.46836
T_EQ,positive_vs_negative_mean_gap,0.15727847331122485
T_EQ,positive_vs_near_background_mean_gap,0.12807517498141643
T_EQ,interior_vs_near_background_mean_gap,0.22969774239303908
T_EQ,positive_median_minus_near_bg_p95,-0.16869668201961735
T_EQ,interior_median_minus_near_bg_p95,-0.1686972019445418
T_EQ,near_bg_p95,0.16869955807924247
T_EQ,near_bg_p99,0.7935448527336123
T_EQ,far_bg_p95,2.3927787751176766e-08
T_EQ,far_bg_p99,9.226819791763329e-08
T_EQ,negative_p95,2.4174955370881435e-08
T_EQ,negative_p99,1.0718016312694138e-07
T_EQ,boundary_p95,0.6204302906990051
T_EQ,boundary_p99,0.9805181980133058
T_EQ,fraction_near_background_above_positive_median,0.49742189024220296
T_EQ,fraction_near_background_above_interior_median,0.5053095125282199
T_EQ,near_background_positive_pairwise_rank_inversion_rate,0.478545
T_EQ,near_background_interior_pairwise_rank_inversion_rate,0.472335
T_W,positive_vs_negative_mean_gap,0.1512778037875369
T_W,positive_vs_near_background_mean_gap,0.12583624456342696
T_W,interior_vs_near_background_mean_gap,0.22728298381407105
T_W,positive_median_minus_near_bg_p95,-0.11890945689915493
T_W,interior_median_minus_near_bg_p95,-0.11890981620174439
T_W,near_bg_p95,0.11891197189688678
T_W,near_bg_p99,0.7512984538078311
T_W,far_bg_p95,2.470768656337441e-08
T_W,far_bg_p99,9.341786366690062e-08
T_W,negative_p95,2.4978914936468755e-08
T_W,negative_p99,1.0716654429643483e-07
T_W,boundary_p95,0.5532339215278625
T_W,boundary_p99,0.9760557055473328
T_W,fraction_near_background_above_positive_median,0.4963627748822431
T_W,fraction_near_background_above_interior_median,0.5029404386967307
T_W,near_background_positive_pairwise_rank_inversion_rate,0.477905
T_W,near_background_interior_pairwise_rank_inversion_rate,0.471595
