cell,curve_metric,grid,value
C_EQ,precision_at_recall,0.25,0.7173252279635258
C_EQ,precision_at_recall,0.50,0.2104359968707151
C_EQ,precision_at_recall,0.75,0.012178632931901048
C_EQ,recall_at_precision,0.25,0.4866982470868062
C_EQ,recall_at_precision,0.50,0.3933561192060922
C_EQ,recall_at_precision,0.75,0.23317543123263576
C_EQ,AP,all,0.36735722441869584
C_W,precision_at_recall,0.25,0.7216292621011943
C_W,precision_at_recall,0.50,0.20912890820932956
C_W,precision_at_recall,0.75,0.01268911169116804
C_W,recall_at_precision,0.25,0.48659830904839
C_W,recall_at_precision,0.50,0.3951550038975835
C_W,recall_at_precision,0.75,0.23093681917211328
C_W,AP,all,0.3688076672325097
T_EQ,precision_at_recall,0.25,0.6686624612423822
T_EQ,precision_at_recall,0.50,0.2411854879918242
T_EQ,precision_at_recall,0.75,0.015322572741794804
T_EQ,recall_at_precision,0.25,0.4966520757130579
T_EQ,recall_at_precision,0.50,0.37392816453798644
T_EQ,recall_at_precision,0.75,0.20681177669844697
T_EQ,AP,all,0.3611152677527105
T_W,precision_at_recall,0.25,0.67070620408601
T_W,precision_at_recall,0.50,0.2430885539651537
T_W,precision_at_recall,0.75,0.01596734022766353
T_W,recall_at_precision,0.25,0.4972916791589215
T_W,recall_at_precision,0.50,0.3733085486998061
T_W,recall_at_precision,0.75,0.21042953368911274
T_W,AP,all,0.3619623353317852
