cohort,stage,point,resolution,image_count,target_count_total,context_count_total,baseline_mean,baseline_median,baseline_p95,control_a_mean,control_a_median,control_a_p95,candidate_mean,candidate_median,candidate_p95,candidate_minus_control_mean,candidate_minus_control_median,candidate_minus_control_p95,candidate_minus_baseline_mean,candidate_minus_baseline_median,candidate_minus_baseline_p95,control_minus_baseline_mean,control_minus_baseline_median,control_minus_baseline_p95
A,1,pre_lora,native,39,2708,515,-0.46356366383723724,-0.4539158046245575,-0.33771068751811983,-0.46356366383723724,-0.4539158046245575,-0.33771068751811983,-0.46356366383723724,-0.4539158046245575,-0.33771068751811983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,1,convlora_output,native,39,2708,515,-0.45839081360743594,-0.45615455508232117,-0.33257690370082854,-0.4583862286347609,-0.45621004700660706,-0.3325896680355072,-0.45792988936106366,-0.45621004700660706,-0.3324196457862854,0.0004563392736972907,0.0001621544361114502,0.0019406706094741832,0.0004609242463723207,0.0001710653305053711,0.001944810152053834,4.584972675030048e-06,0.0,5.4997205734252987e-05
A,1,post_seg_projection,native,39,2708,515,-0.45839081360743594,-0.45615455508232117,-0.33257690370082854,-0.4583862286347609,-0.45621004700660706,-0.3325896680355072,-0.45792988936106366,-0.45621004700660706,-0.3324196457862854,0.0004563392736972907,0.0001621544361114502,0.0019406706094741832,0.0004609242463723207,0.0001710653305053711,0.001944810152053834,4.584972675030048e-06,0.0,5.4997205734252987e-05
A,1,dfg_qk_compatibility,native,39,2708,515,24.96073717948718,24.796875,25.984375,24.959134615384617,24.796875,25.9703125,24.963942307692307,24.796875,25.984375,0.004807692307692308,0.0,0.03125,0.003205128205128205,0.0,0.017187500000000022,-0.0016025641025641025,0.0,0.0
A,1,ss2d_input,native,39,2708,515,-0.4841814461426857,-0.48345237970352173,-0.35094455182552337,-0.48418042827875185,-0.48343685269355774,-0.3509440153837204,-0.484016579695237,-0.4823395907878876,-0.3505419224500656,0.0001638485835148738,0.00013586878776550293,0.0007825195789337163,0.00016486644744873047,0.0001348555088043213,0.0007994860410690311,1.0178639338566707e-06,2.384185791015625e-07,1.9082427024841314e-05
A,1,ss2d_output,native,39,2708,515,-0.4875176602449173,-0.48242679238319397,-0.3364394575357437,-0.48751802780689335,-0.4824258089065552,-0.33644015789031984,-0.48755667301324696,-0.4824793040752411,-0.3364559233188629,-3.8645206353603266e-05,-2.396106719970703e-05,2.4515390396118175e-05,-3.901276832971817e-05,-2.4318695068359375e-05,2.4461746215820325e-05,-3.6756197611490887e-07,-2.980232238769531e-07,9.685754776000979e-07
A,1,stage_logits_pre_blur,native,39,2708,515,-17.55593133584047,-17.97011947631836,-15.689390659332274,-17.55586589911045,-17.969890594482422,-15.68869876861572,-17.512630682725174,-17.960538864135742,-15.587899303436277,0.04323521638527895,0.015472412109375,0.12928657531738297,0.043300653115296975,0.01531982421875,0.12902927398681657,6.543673001802884e-05,0.0,0.0007009506225585938
A,1,stage_logits_post_blur,native,39,2708,515,-17.030554746970154,-17.239328384399414,-14.855337619781494,-17.03050598731408,-17.239139556884766,-14.855634593963622,-17.681926800654484,-18.053125381469727,-15.801722717285156,-0.6514208133404071,-0.5819740295410156,-0.09911575317382802,-0.6513720536843325,-0.5827674865722656,-0.09890747070312489,4.8759656074719554e-05,0.00014495849609375,0.0010646820068359378
A,1,stage_map_post_resize,full,39,2708,515,-16.867838639479416,-16.933982849121094,-14.559267616271972,-16.867922489459698,-16.934581756591797,-14.559393978118896,-17.654593247633713,-18.052780151367188,-15.886981773376464,-0.7866707581740159,-0.7153835296630859,-0.11466712951660143,-0.7867546081542969,-0.7150516510009766,-0.11488647460937487,-8.384998028094952e-05,0.0,0.0004451751708984377
A,1,final_fusion,full,39,2708,515,-17.05953453748654,-17.09273910522461,-15.496966457366943,-17.05956268310547,-17.092769622802734,-15.497103214263916,-17.32178607353797,-17.385793685913086,-15.877387428283692,-0.26222339043250453,-0.23846149444580078,-0.038224029541015586,-0.2622515360514323,-0.23834991455078125,-0.038294982910156206,-2.8145618927784457e-05,0.0,0.00014610290527343757
A,2,pre_lora,native,39,2708,515,-18.099694398733284,-18.327558517456055,-16.729102611541744,-18.09967063023494,-18.32733154296875,-16.729310035705563,-18.09967063023494,-18.32733154296875,-16.729310035705563,0.0,0.0,0.0,2.376849834735577e-05,0.0,0.0005844116210937502,2.376849834735577e-05,0.0,0.0005844116210937502
A,2,convlora_output,native,39,2708,515,-17.977258388812725,-18.629375457763672,-15.452666282653807,-17.977281937232384,-18.629375457763672,-15.452886295318603,-18.46743216881385,-18.76822853088379,-16.615606689453124,-0.49015023158146787,-0.17562484741210938,-0.0010002136230468739,-0.4901737800011268,-0.17562484741210938,-0.0008628845214843742,-2.3548419658954328e-05,0.0,0.00036373138427734384
A,2,post_seg_projection,native,39,2708,515,-17.977258388812725,-18.629375457763672,-15.452666282653807,-17.977281937232384,-18.629375457763672,-15.452886295318603,-18.46743216881385,-18.76822853088379,-16.615606689453124,-0.49015023158146787,-0.17562484741210938,-0.0010002136230468739,-0.4901737800011268,-0.17562484741210938,-0.0008628845214843742,-2.3548419658954328e-05,0.0,0.00036373138427734384
A,2,dfg_qk_compatibility,native,39,2708,515,27.47716346153846,27.828125,28.921875,27.477564102564102,27.828125,28.921875,27.485977564102566,27.828125,28.9390625,0.008413461538461538,0.0,0.03125,0.008814102564102564,0.0,0.03125,0.00040064102564102563,0.0,0.015625
A,2,ss2d_input,native,39,2708,515,-18.920390446980793,-18.872634887695312,-18.7659574508667,-18.920400326068584,-18.872663497924805,-18.76595344543457,-18.92200602017916,-18.87513542175293,-18.768484115600586,-0.001605694110576923,-0.0006008148193359375,0.0035833358764648447,-0.0016155731983673878,-0.00064849853515625,0.003541564941406251,-9.879087790464744e-06,-9.5367431640625e-06,2.6702880859375e-05
A,2,ss2d_output,native,39,2708,515,-12.56802955040565,-12.593443870544434,-12.1859712600708,-12.568027936495268,-12.593441009521484,-12.18596954345703,-12.569097225482647,-12.593462944030762,-12.186176109313966,-0.0010692889873798077,-0.0009021759033203125,-2.164840698242187e-05,-0.001067675076998197,-0.0009021759033203125,-1.8978118896484374e-05,1.613910381610577e-06,9.5367431640625e-07,8.869171142578129e-06
A,2,stage_logits_pre_blur,native,39,2708,515,-18.402199696271847,-19.13039207458496,-15.748517322540282,-18.402313623672878,-19.131071090698242,-15.74851188659668,-18.89119500380296,-19.225996017456055,-17.06009159088135,-0.48888138013008314,-0.1687488555908203,-0.0005346298217773425,-0.48899530753111226,-0.1699981689453125,2.670288085937538e-05,-0.00011392740102914664,0.0,0.00040779113769531263
A,2,stage_logits_post_blur,native,39,2708,515,-17.3249848928207,-17.565290451049805,-14.982900619506836,-17.325367585206642,-17.565568923950195,-14.9837007522583,-18.91316682864458,-19.232481002807617,-17.18675842285156,-1.5877992434379382,-1.5526046752929688,-0.002527618408203123,-1.5881819358238807,-1.5534725189208984,-0.002934074401855467,-0.000382692385942508,-0.0003452301025390625,0.00038108825683593774
A,2,stage_map_post_resize,full,39,2708,515,-17.04100114871294,-17.264041900634766,-14.787479877471924,-17.04132273258307,-17.263870239257812,-14.787569332122802,-18.890394259721806,-19.230337142944336,-17.18623104095459,-1.8490715271387346,-1.853902816772461,-0.003223609924316402,-1.8493931110088642,-1.8537654876708984,-0.003699111938476559,-0.00032158387012970756,-0.000118255615234375,0.0002811431884765627
