point,cohort,stage,resolution,zero_near_count,zero_near_mean,zero_near_median,zero_near_p90,zero_near_p95,zero_near_p99,zero_far_count,zero_far_mean,zero_far_median,zero_far_p90,zero_far_p95,zero_far_p99,partial_count,partial_mean,partial_median,partial_p90,partial_p95,partial_p99,full_count,full_mean,full_median,full_p90,full_p95,full_p99,zero_near_vs_zero_far_auroc,anomaly_partial_vs_zero_near_auroc
stage1_frozen_patch,A,1,native,2708,-0.4556214129118912,-0.4505749046802521,-0.3524899184703827,-0.33578257262706757,-0.2526060104370119,128055,-0.49132969011248084,-0.4829585552215576,-0.3532692790031433,-0.3429741859436035,-0.3328146874904633,603,-0.31440287422941715,-0.39871394634246826,0.15109975636005485,0.27205613255500793,0.4518475949764253,58,-0.07812096512523191,-0.35715773701667786,0.45506924390792863,0.48856981098651886,0.5059756666421891,0.6122069977547845,0.3898826164509061
stage1_frozen_patch,B,1,native,3229,-0.4595081860614325,-0.44964373111724854,-0.35302537679672236,-0.33829057216644287,-0.24624462127685595,127386,-0.4914293122287333,-0.4830056428909302,-0.3530046343803406,-0.3431706130504608,-0.3331683725118637,724,-0.24128158933879262,-0.36563992500305176,0.2575012594461443,0.32752656191587454,0.47964952141046524,85,0.07117667447994737,0.136357843875885,0.3603248596191407,0.3704686462879181,0.38077234029769896,0.6064747794318828,0.3967571752841638
stage1_convlora_raw,A,1,native,2708,-0.36194950894093586,-0.3453796058893204,-0.26870813965797424,-0.256868913769722,-0.25139854073524476,128055,-0.39091153405529655,-0.377998948097229,-0.28594677448272704,-0.2622670352458954,-0.2506696128845215,603,-0.3517190773491045,-0.332285612821579,-0.2646822214126587,-0.2569416403770447,-0.2497480556368828,58,-0.3637111798442643,-0.33943016827106476,-0.30431470274925226,-0.28663343489170073,-0.26618226885795593,0.5974097027293999,0.4033959634431438
stage1_convlora_raw,B,1,native,3229,-0.35245414705847244,-0.3315863013267517,-0.27272950410842894,-0.2586684823036194,-0.2490512788295746,127386,-0.39140856191203593,-0.37832389771938324,-0.28592322766780853,-0.26203542202711105,-0.25067870914936063,724,-0.33140235066990165,-0.3239169716835022,-0.26109740138053894,-0.2540131717920303,-0.24812907427549363,85,-0.33235730669077707,-0.3398899734020233,-0.2530396580696106,-0.24872466921806335,-0.24803679883480073,0.6332454093956631,0.36840537167904036
stage1_post_convlora,A,1,native,2708,-0.45139667399618305,-0.4502914100885391,-0.34782907366752625,-0.3314807415008545,-0.21292665600776692,128055,-0.4894334587527117,-0.4796364903450012,-0.35026830434799194,-0.3398984968662262,-0.325997519493103,603,-0.3002685044350019,-0.39051681756973267,0.17105685174465193,0.2971971333026884,0.42841615676879885,58,-0.07102331840272608,-0.3552798926830292,0.4276000559329989,0.4744647145271301,0.49006122946739195,0.6168797484601883,0.385290900692539
stage1_post_convlora,B,1,native,3229,-0.45241826975134947,-0.44421643018722534,-0.3457601368427276,-0.33148741722106934,-0.20724194347858454,127386,-0.4895599003426295,-0.47982409596443176,-0.35006552934646606,-0.3401440382003784,-0.3267447352409363,724,-0.2224120912142098,-0.33923737704753876,0.25956974923610693,0.3434649705886842,0.46111324727535247,85,0.08824569986147039,0.17576128244400024,0.36389249563217163,0.3770209848880767,0.38328794240951536,0.6196889371830305,0.38379183665355304
stage1_post_seg_projection,A,1,native,2708,-0.4513979718677887,-0.4503050446510315,-0.3478257805109024,-0.33148473501205444,-0.21294798403978366,128055,-0.48943402332007097,-0.47964662313461304,-0.3502669334411621,-0.3399011343717575,-0.3259942919015886,603,-0.30027399050878056,-0.3905266523361206,0.17110648751258864,0.2971107959747312,0.42844558358192447,58,-0.0710304460391916,-0.35528942942619324,0.4275593459606173,0.4744821637868881,0.4900433272123337,0.6168790260854841,0.3852916311101293
stage1_post_seg_projection,B,1,native,3229,-0.4524208060383552,-0.44421136379241943,-0.34575718641281117,-0.3314900994300843,-0.20727605819702175,127386,-0.4895604088810764,-0.47982335090637207,-0.35006850957870483,-0.3401445969939232,-0.3267361372709275,724,-0.22242161519928366,-0.33925868570804596,0.25955736637115484,0.3434692472219468,0.46109611839056014,85,0.08824222079094718,0.17576798796653748,0.3638581335544586,0.37703591585159296,0.38330522179603577,0.6196841599897915,0.3837965527600368
stage1_dfg_input,A,1,native,2708,-0.4513979718677887,-0.4503050446510315,-0.3478257805109024,-0.33148473501205444,-0.21294798403978366,128055,-0.48943402332007097,-0.47964662313461304,-0.3502669334411621,-0.3399011343717575,-0.3259942919015886,603,-0.30027399050878056,-0.3905266523361206,0.17110648751258864,0.2971107959747312,0.42844558358192447,58,-0.0710304460391916,-0.35528942942619324,0.4275593459606173,0.4744821637868881,0.4900433272123337,0.6168790260854841,0.3852916311101293
stage1_dfg_input,B,1,native,3229,-0.4524208060383552,-0.44421136379241943,-0.34575718641281117,-0.3314900994300843,-0.20727605819702175,127386,-0.4895604088810764,-0.47982335090637207,-0.35006850957870483,-0.3401445969939232,-0.3267361372709275,724,-0.22242161519928366,-0.33925868570804596,0.25955736637115484,0.3434692472219468,0.46109611839056014,85,0.08824222079094718,0.17576798796653748,0.3638581335544586,0.37703591585159296,0.38330522179603577,0.6196841599897915,0.3837965527600368
