cohort,stage,module,resolution,comparison,valid_counterfactual,current_zero_near_mean,variant_zero_near_mean,delta_zero_near_mean,current_zero_near_median,variant_zero_near_median,delta_zero_near_median,current_zero_near_p95,variant_zero_near_p95,delta_zero_near_p95,current_zero_near_p99,variant_zero_near_p99,delta_zero_near_p99,amplification_ratio_zero_near,current_zero_far_mean,variant_zero_far_mean,delta_zero_far_mean,current_zero_far_median,variant_zero_far_median,delta_zero_far_median,current_zero_far_p95,variant_zero_far_p95,delta_zero_far_p95,current_zero_far_p99,variant_zero_far_p99,delta_zero_far_p99,amplification_ratio_zero_far,current_partial_mean,variant_partial_mean,delta_partial_mean,current_partial_median,variant_partial_median,delta_partial_median,current_partial_p95,variant_partial_p95,delta_partial_p95,current_partial_p99,variant_partial_p99,delta_partial_p99,amplification_ratio_partial,current_full_mean,variant_full_mean,delta_full_mean,current_full_median,variant_full_median,delta_full_median,current_full_p95,variant_full_p95,delta_full_p95,current_full_p99,variant_full_p99,delta_full_p99,amplification_ratio_full,amplification_ratio_zero_near_relative_to_zero_far,near_minus_far_delta,near_selective_abs
A,1,convlora,native,current stage logits minus valid Conv-LoRA residual-removed local replay,True,-17.625099621636124,-18.02862747169844,0.4035278500623143,-18.5625,-18.75,0.1875,-12.698046875,-14.364843749999999,1.6667968749999993,-6.202109375000052,-9.132109375000017,2.929999999999964,,-18.62103945704673,-18.80133208567188,0.18029262862514983,-19.0,-19.03125,0.03125,-16.6875,-17.515625,0.828125,-12.086562500000127,-14.203125,2.1165624999998727,,-10.772613373561878,-11.686589634833645,0.9139762612717668,-16.25,-17.03125,0.78125,14.235937499999991,13.773437499999998,0.46249999999999325,16.9675,17.28,-0.3125,,-4.0249612742456895,-4.658405172413793,0.6334438981681032,-17.7734375,-18.5390625,0.765625,17.78984375,18.16640625,-0.37656250000000213,18.25671875,18.41984375,-0.1631249999999973,,2.238182742907906,0.22323522143716445,True
A,1,seg_projection,native,"post-seg normalized margin versus pre-LayerNorm raw projection; representation attribution only, no identity bypass",False,-17.625099621636124,-0.46409852606859303,-17.16100109556753,-18.5625,-0.46142578125,-18.10107421875,-12.698046875,-0.341796875,-12.35625,-6.202109375000052,-0.3284545898437502,-5.873654785156302,,-18.62103945704673,-0.49076797287549134,-18.13027148417124,-19.0,-0.4833984375,-18.5166015625,-16.6875,-0.34423828125,-16.34326171875,-12.086562500000127,-0.32958984375,-11.756972656250127,,-10.772613373561878,-0.4600313860385572,-10.312581987523322,-16.25,-0.462646484375,-15.787353515625,14.235937499999991,-0.33959960937500006,14.575537109374991,16.9675,-0.31745605468749993,17.284956054687502,,-4.0249612742456895,-0.43467975484913796,-3.5902815193965516,-17.7734375,-0.4541015625,-17.3193359375,17.78984375,-0.348388671875,18.138232421875,18.25671875,-0.33114013671875,18.587858886718752,,0.9465385617942933,0.9692703886037073,False
A,1,dfg_qk,native,stage native margin versus exact DFG-input direct text margin,False,-17.625099621636124,-0.4513979718677887,-17.173701649768336,-18.5625,-0.4503050446510315,-18.11219495534897,-12.698046875,-0.33148473501205444,-12.366562139987945,-6.202109375000052,-0.21294798403978366,-5.989161390960269,,-18.62103945704673,-0.48943402332007097,-18.13160543372666,-19.0,-0.47964662313461304,-18.520353376865387,-16.6875,-0.3399011343717575,-16.347598865628242,-12.086562500000127,-0.3259942919015886,-11.760568208098539,,-10.772613373561878,-0.30027399050878056,-10.472339383053097,-16.25,-0.3905266523361206,-15.85947334766388,14.235937499999991,0.2971107959747312,13.93882670402526,16.9675,0.42844558358192447,16.539054416418075,,-4.0249612742456895,-0.0710304460391916,-3.9539308282064978,-17.7734375,-0.35528942942619324,-17.418148070573807,17.78984375,0.4744821637868881,17.31536158621311,18.25671875,0.4900433272123337,17.766675422787667,,0.9471693895248502,0.9579037839583222,False
A,1,ss2d,native,current weight-residual DFG versus exact beta=0 GAP-only component,True,-17.625099621636124,-17.633523284596567,0.008423662960442613,-18.5625,-18.5625,0.0,-12.698046875,-12.724218749999999,0.02617187499999929,-6.202109375000052,-6.205742187500052,0.0036328124999993605,,-18.62103945704673,-18.635482866849433,0.014443409802701979,-19.0,-19.0,0.0,-16.6875,-16.6875,0.0,-12.086562500000127,-12.078125,-0.00843750000012733,,-10.772613373561878,-10.773361990503213,0.0007486169413351007,-16.25,-16.265625,0.015625,14.235937499999991,14.243749999999991,-0.0078125,16.9675,16.966875,0.0006249999999994316,,-4.0249612742456895,-4.034011314655173,0.009050040409483096,-17.7734375,-17.78125,0.0078125,17.78984375,17.7609375,0.02890624999999858,18.25671875,18.2321875,0.024531250000002558,,0.5832184418714457,-0.006019746842259366,False
A,1,interpolation,full,existing Gaussian7+resize versus same resize without blur,False,-14.414471218233022,-13.047066979537918,-1.3674042386951033,-15.528738975524902,-15.31640625,-0.21233272552490234,-5.596733641624451,0.45623779296875344,-6.052971434593204,-4.274683084487913,5.812968750000003,-10.087651834487916,,-18.57076219757848,-18.574252401839228,0.003490204260749863,-18.878883361816406,-18.953125,0.07424163818359375,-16.60784149169922,-16.4375,-0.17034149169921875,-14.546239805221568,-12.90625,-1.6399898052215676,,-13.324260765109562,-11.308740866536452,-2.0155198985731104,-14.547019481658936,-15.171875,0.6248555183410645,-3.737558984756471,7.932226562499977,-11.66978554725645,-0.08418355509638016,13.4609375,-13.54512105509638,,-8.538056917929659,-5.312827666656473,-3.225229251273186,-15.885999202728271,-16.28125,0.3952507972717285,8.3867525100708,15.796875,-7.410122489929201,9.634978275299073,17.53125,-7.896271724700927,,-391.7834420388105,-1.3708944429558532,True
A,1,stage_fusion,full,equal pre-softmax final fusion versus the corresponding individual resized stage,False,-14.064390568619768,-14.414471218233022,0.350080649613254,-14.861159801483154,-15.528738975524902,0.667579174041748,-5.354851603507995,-5.596733641624451,0.24188203811645614,-2.6968989944458,-4.274683084487913,1.5777840900421132,,-18.67671593266236,-18.57076219757848,-0.10595373508388306,-18.76553726196289,-18.878883361816406,0.11334609985351562,-18.003461837768555,-16.60784149169922,-1.395620346069336,-16.90506361007691,-14.546239805221568,-2.3588238048553407,,-12.413609131865858,-13.324260765109562,0.9106516332437042,-13.409110069274902,-14.547019481658936,1.1379094123840332,-2.006151914596558,-3.737558984756471,1.731407070159913,1.443610458374042,-0.08418355509638016,1.527794013470422,,-8.371626345376956,-8.538056917929659,0.16643057255270222,-17.205530166625977,-15.885999202728271,-1.319530963897705,6.835973119735717,8.3867525100708,-1.550779390335082,7.6663105678558345,9.634978275299073,-1.9686677074432382,,-3.3040897457375795,0.4560343846971371,True
A,2,convlora,native,current stage logits minus valid Conv-LoRA residual-removed local replay,True,-18.522230139863368,-18.62038476850997,0.09815462864660418,-19.296875,-19.203125,-0.09375,-15.859375,-17.0,1.140625,1.2776953124999917,-5.255312500000031,6.533007812500022,,-19.271109406419605,-19.170724804146047,-0.10038460227355728,-19.296875,-19.234375,-0.0625,-19.15625,-18.875,-0.28125,-18.859375,-17.640625,-1.21875,,-4.980617440952789,-6.018895694865516,1.0382782539127273,-16.859375,-17.46875,0.609375,19.125,19.125,0.0,19.2965625,19.3121875,-0.015625,,-1.6100148168103448,-1.5069201239224137,-0.10309469288793105,-18.5078125,-16.65625,-1.8515625,19.20546875,19.17421875,0.03125,19.22546875,19.21875,0.006718750000000995,,-0.9777857004316637,0.19853923092016146,False
A,2,seg_projection,native,"post-seg normalized margin versus pre-LayerNorm raw projection; representation attribution only, no identity bypass",False,-18.522230139863368,-18.069829808380263,-0.4524003314831049,-19.296875,-18.1875,-1.109375,-15.859375,-17.328906249999996,1.4695312499999957,1.2776953124999917,-14.773281250000018,16.05097656250001,,-19.271109406419605,-18.111453789120457,-1.1596556172991477,-19.296875,-18.265625,-1.03125,-19.15625,-17.53125,-1.625,-18.859375,-15.265625,-3.59375,,-4.980617440952789,-17.97441179519071,12.993794354237924,-16.859375,-18.15625,1.296875,19.125,-17.221875,36.346875,19.2965625,-14.212812499999991,33.50937499999999,,-1.6100148168103448,-18.045662715517242,16.435647898706897,-18.5078125,-18.1015625,-0.40625,19.20546875,-17.33671875,36.5421875,19.22546875,-16.173828125,35.399296875000005,,0.3901161040695434,0.7072552858160428,False
A,2,dfg_qk,native,stage native margin versus exact DFG-input direct text margin,False,-18.522230139863368,-18.08567719324389,-0.43655294661947863,-19.296875,-18.82450008392334,-0.47237491607666016,-15.859375,-15.39066185951233,-0.46871314048767054,1.2776953124999917,1.6293066012858843,-0.35161128878589265,,-19.271109406419605,-18.85782232217473,-0.4132870842448746,-19.296875,-18.865571975708008,-0.4313030242919922,-19.15625,-18.704917335510252,-0.4513326644897475,-18.859375,-18.371724395751954,-0.48765060424804574,,-4.980617440952789,-4.7374642712973785,-0.24315316965541012,-16.859375,-16.300600051879883,-0.5587749481201172,19.125,18.729291343688963,0.3957086563110366,19.2965625,18.95646987915039,0.3400926208496102,,-1.6100148168103448,-1.5335720592531665,-0.07644275755717822,-18.5078125,-17.9466495513916,-0.5611629486083984,19.20546875,18.784570026397706,0.42089872360229563,19.22546875,18.791858749389647,0.43361000061035426,,1.0562946756904188,-0.02326586237460404,True
A,2,ss2d,native,current weight-residual DFG versus exact beta=0 GAP-only component,True,-18.522230139863368,-18.541400047313516,0.01916990745014857,-19.296875,-19.3125,0.015625,-15.859375,-15.828515624999998,-0.03085937500000213,1.2776953124999917,1.3163574218749816,-0.03866210937498993,,-19.271109406419605,-19.295531135074405,0.024421728654800745,-19.296875,-19.3125,0.015625,-19.15625,-19.15625,0.0,-18.859375,-18.875,0.015625,,-4.980617440952789,-4.978368351115516,-0.0022490898372726775,-16.859375,-16.859375,0.0,19.125,19.15625,-0.03125,19.2965625,19.34375,-0.047187499999999716,,-1.6100148168103448,-1.6255051185344827,0.0154903017241379,-18.5078125,-18.5234375,0.015625,19.20546875,19.23671875,-0.03125,19.22546875,19.2634375,-0.03796874999999744,,0.784952929463501,-0.005251821204652174,False
