alpha,cohort,checkpoint,control_checkpoint,candidate_checkpoint,parameter_key_identity,finite_parameters,architecture_identity,pixel_ap,pixel_auroc,anomaly_vs_near_ap,anomaly_vs_near_auroc,interior_vs_near_auroc,boundary_vs_near_auroc,stage2_near_p95,stage2_near_p99,final_near_p95,final_near_p99,positive_mean,positive_median,interior_mean,interior_median,boundary_mean,boundary_median,recall_at_1pct_fpr,recall_at_5pct_fpr,fpr_threshold_1pct,fpr_threshold_5pct,pixel_count
0.0,A,theta_control_plus_alpha_endpoint_delta,/workspace/h2_s2_locr_r1/A_S2_LOCR_R1_CONTROL/final.pth,/workspace/h2_s2_locr_r1/A_S2_LOCR_R1_CANDIDATE/final.pth,True,True,True,0.3683665289656957,0.8109180864108191,0.6966388758251397,0.531627525191189,0.5445359853211112,0.5200553678782495,0.9586099028587339,0.9988808250427246,0.5287629067897796,0.8819100785255439,0.2241254698626248,0.000227497992455028,0.3325909196493158,0.0032405805541202426,0.12688852329292535,9.290828165831044e-05,0.6028262477264096,0.6724630728948052,4.594453741901816e-07,4.629546523915451e-08,25759104
0.0,B,theta_control_plus_alpha_endpoint_delta,/workspace/h2_s2_locr_r1/A_S2_LOCR_R1_CONTROL/final.pth,/workspace/h2_s2_locr_r1/A_S2_LOCR_R1_CANDIDATE/final.pth,True,True,True,0.6151667813404454,0.9899350656011325,0.7955103312124107,0.7005789646745274,0.7930984938214634,0.6007723541248295,0.9998088359832764,0.9999961853027344,0.9721465736627578,0.9976049357652664,0.49576436838166,0.5231128334999084,0.6569437443300291,0.9477026462554932,0.32189008095015115,0.03875426761806011,0.9064369013239912,0.9763764616768451,2.8899291919515235e-06,4.74835424313369e-08,25759104
0.25,A,theta_control_plus_alpha_endpoint_delta,/workspace/h2_s2_locr_r1/A_S2_LOCR_R1_CONTROL/final.pth,/workspace/h2_s2_locr_r1/A_S2_LOCR_R1_CANDIDATE/final.pth,True,True,True,0.3923685166723035,0.8165510152754569,0.6982016716501133,0.5321680666128253,0.5449010819605266,0.5207531917796827,0.5376370787620542,0.9881042981147766,0.4437526255846023,0.839943919181824,0.21402193839926684,0.00013547102571465075,0.3249239026826006,0.002414665650576353,0.11460070890452276,6.74962138873525e-05,0.5987287881513461,0.681157682237013,2.5868681063911936e-07,3.459106778791465e-08,25759104
0.25,B,theta_control_plus_alpha_endpoint_delta,/workspace/h2_s2_locr_r1/A_S2_LOCR_R1_CONTROL/final.pth,/workspace/h2_s2_locr_r1/A_S2_LOCR_R1_CANDIDATE/final.pth,True,True,True,0.6317776679676848,0.9909395226794988,0.79862161336371,0.7020780865436574,0.7933014178389335,0.6036697657968672,0.978223493695259,0.9996068871021271,0.9277555406093597,0.9965826761722565,0.4555063122893341,0.3401183485984802,0.6230175512598654,0.9113773703575134,0.27480144765392134,0.01856172736734152,0.9134119206552099,0.9757452382079566,1.2713702517430647e-06,3.5283125754403954e-08,25759104
0.5,A,theta_control_plus_alpha_endpoint_delta,/workspace/h2_s2_locr_r1/A_S2_LOCR_R1_CONTROL/final.pth,/workspace/h2_s2_locr_r1/A_S2_LOCR_R1_CANDIDATE/final.pth,True,True,True,0.40531593509820113,0.8276861658327291,0.6993336719457692,0.5334681527247693,0.5469410398481106,0.5213899987326152,0.04025333784520623,0.6965558671951301,0.33058445453643787,0.7702954852581024,0.20104887434931565,9.836562094278634e-05,0.3141762686751466,0.0016321470611728728,0.09963259460988566,4.992719550500624e-05,0.5985289120745138,0.6890927624872579,1.8363803633292264e-07,2.8123304574023678e-08,25759104
0.5,B,theta_control_plus_alpha_endpoint_delta,/workspace/h2_s2_locr_r1/A_S2_LOCR_R1_CONTROL/final.pth,/workspace/h2_s2_locr_r1/A_S2_LOCR_R1_CANDIDATE/final.pth,True,True,True,0.637359569071695,0.9927600819906824,0.8008482354453076,0.7003272894500535,0.7890410809113102,0.6046261664936362,0.0686211884021758,0.8651764452457453,0.7800315737724298,0.989899389743805,0.3994984206067013,0.15302366018295288,0.5708896743667383,0.8115397691726685,0.21460794101416705,0.007881373632699251,0.9152582493017091,0.9737568842809575,7.297500701497484e-07,2.8471154323028713e-08,25759104
0.75,A,theta_control_plus_alpha_endpoint_delta,/workspace/h2_s2_locr_r1/A_S2_LOCR_R1_CONTROL/final.pth,/workspace/h2_s2_locr_r1/A_S2_LOCR_R1_CANDIDATE/final.pth,True,True,True,0.4014072951767314,0.8419417682047141,0.699009123463566,0.5343829683535393,0.5489658004261092,0.521309772549124,0.001075760100502519,0.0677402743697171,0.2216533243656157,0.6851948678493511,0.1833239373675892,6.09486669418402e-05,0.29736779390145623,0.000927913875784725,0.08108606893857001,3.283329351688735e-05,0.5993284163818433,0.6935300113929364,1.5416581788940675e-07,2.4633527218043128e-08,25759104
0.75,B,theta_control_plus_alpha_endpoint_delta,/workspace/h2_s2_locr_r1/A_S2_LOCR_R1_CONTROL/final.pth,/workspace/h2_s2_locr_r1/A_S2_LOCR_R1_CANDIDATE/final.pth,True,True,True,0.6336552136992456,0.9937245662120168,0.7988378684002702,0.6969720193762389,0.7852609817993084,0.6017291861101766,0.0001822086975153065,0.0022545182448811857,0.6076556414365765,0.959035618901253,0.33742242754120233,0.06231185793876648,0.4979385095550508,0.5604915022850037,0.16426367681867882,0.0037950158584862947,0.9170256750145971,0.9738515678012909,5.075293643130863e-07,2.4926460895358105e-08,25759104
1.0,A,theta_control_plus_alpha_endpoint_delta,/workspace/h2_s2_locr_r1/A_S2_LOCR_R1_CONTROL/final.pth,/workspace/h2_s2_locr_r1/A_S2_LOCR_R1_CANDIDATE/final.pth,True,True,True,0.3858169460828916,0.8581619758022132,0.6964174601085721,0.5336947426384209,0.5487721309237231,0.5201781878092864,2.9488664767995686e-05,0.0026319992402568534,0.14347004443407047,0.557642275094986,0.16288916801656503,3.62875362043269e-05,0.27584146668776977,0.00044690235517919064,0.0616298577715405,1.958491156983655e-05,0.6047650456716835,0.7024045092042933,1.407539969022764e-07,2.3119659076087373e-08,25759104
1.0,B,theta_control_plus_alpha_endpoint_delta,/workspace/h2_s2_locr_r1/A_S2_LOCR_R1_CONTROL/final.pth,/workspace/h2_s2_locr_r1/A_S2_LOCR_R1_CANDIDATE/final.pth,True,True,True,0.6261741937852523,0.994415132548737,0.7937269871608977,0.6918764232455344,0.7799175710072858,0.5969009231751635,4.134464074923001e-06,3.634219930972905e-05,0.47872585505247095,0.8726656192541138,0.2834282866308958,0.04019380360841751,0.4228243127950047,0.33088505268096924,0.133053062893633,0.002575163496658206,0.9220912433524279,0.9744038883365683,4.0589503669252736e-07,2.3338703414310658e-08,25759104
