scope,arm,map,score_space,auroc,ap,pixel_count,positive_mean,positive_median,interior_mean,interior_median,boundary_mean,boundary_median,near_p95,near_p99,far_p95,far_p99,near_gt_positive_inversion,near_gt_interior_inversion,near_p95_over_interior_p95,near_p99_over_interior_p99,near_gt_far_p95,near_gt_interior_p95,stage,near_mean,far_mean,checkpoint,resolution,bin,count,mean,median,p90,p95,p99,max,distance_spearman,distance_linear_slope,sample_seed,sample_cap,family,parameter_count,l2_delta,reference_l2,final_l2,relative_l2_delta,cosine_to_e10
stage,CONTROL,stage_1_resized,anomaly_probability,0.7999686410176061,0.3294386181793921,25759104,0.13760734739647384,1.0348183423047885e-05,0.2253367011902505,7.259329140651971e-05,0.05895986560189369,7.12098017174867e-06,0.13440316319465628,0.6179164826869965,4.916285632816641e-07,8.940345041992264e-06,0.3135395417042732,0.2057028052353477,0.13446725011658256,0.6179592829159944,True,False,1,,,,,,,,,,,,,,,,,,,,,,,
stage,CONTROL,stage_2_resized,anomaly_probability,0.8146301218426786,0.3138833118940747,25759104,0.31849381226698986,0.001220453530550003,0.4155140477795231,0.005094214342534542,0.2315172545219685,0.0006664872053079307,0.9587879061698913,0.9988864588737488,1.5669852970745524e-08,2.1750044538748693e-07,0.29966803432985645,0.18777802585825054,0.9587882490592893,0.9988864588737488,True,False,2,0.14422500196893076,,,,,,,,,,,,,,,,,,,,,,
stage,CONTROL,stage_3_resized,anomaly_probability,0.7689774011712489,0.27974769201169464,25759104,0.2713290800096002,0.00021167191152926534,0.36208759149220054,0.0012345633585937321,0.18996602339447957,0.00010424591891933233,0.9449942231178282,0.9875742793083191,2.506754626097063e-08,4.913316712418276e-07,0.32170951713552853,0.22354739153131883,0.950058808901589,0.9917211038427973,True,False,3,,,,,,,,,,,,,,,,,,,,,,,
final,CONTROL,final_production_fused,anomaly_probability,0.810883746345651,0.3684122177956237,25759104,0.2241315297415296,0.00022805157641414553,0.33259110781984963,0.003242621081881225,0.12689984703229695,9.286001295549795e-05,0.5289892375469206,0.8818123924732215,4.629070460282492e-08,4.5901306123142085e-07,0.2848335097424273,0.18067644105238426,0.5290790161520887,0.8818449809484601,True,False,final,0.06479644096230572,0.00011586863962628566,,,,,,,,,,,,,,,,,,,,,
distance,CONTROL,CONTROL_stage_1_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,1,9875,0.03650093272747582,6.188207862578565e-06,0.04955524876713788,0.2486136689782136,0.8207299995422365,0.9923668503761292,,,,,,,,,,,
distance,CONTROL,CONTROL_stage_1_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,2,9000,0.026169876231590113,5.255247288005194e-06,0.01963929180055858,0.1641382768750178,0.6563200438022617,0.9898781776428223,,,,,,,,,,,
distance,CONTROL,CONTROL_stage_1_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,3-4,18627,0.013939916202142065,4.506624918576563e-06,0.005277437902987013,0.05364115647971631,0.40323027312755944,0.9864603281021118,,,,,,,,,,,
distance,CONTROL,CONTROL_stage_1_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,5-8,41079,0.004312920290647058,2.0941777165717212e-06,0.0010744811035692714,0.010349320340901597,0.12129234895110164,0.6719667911529541,,,,,,,,,,,
distance,CONTROL,CONTROL_stage_1_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,9-16,98668,0.0006110492077095061,7.171700815433724e-07,0.000113579559547361,0.000622134606237522,0.010827865591272714,0.4513374865055084,,,,,,,,,,,
distance,CONTROL,CONTROL_stage_1_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,>16,12652272,3.485448156847053e-06,1.6616391818047305e-08,1.568017182762561e-07,5.038935057655166e-07,1.020268850879795e-05,0.1215883120894432,,,,,,,,,,,
distance,CONTROL,CONTROL_stage_1_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,ALL_OUTSIDE,200000,,,,,,,-0.31364002458225704,-1.8065996162759533e-06,1729,200000,,,,,,,
distance,CONTROL,CONTROL_stage_2_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,1,9875,0.17572983205922826,0.00014701034524478018,0.8899600744247437,0.9829104721546172,0.9991745412349701,0.9999799728393555,,,,,,,,,,,
distance,CONTROL,CONTROL_stage_2_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,2,9000,0.14864916484932686,9.557058729114942e-05,0.8021677613258363,0.9619525849819183,0.9989280390739441,0.9999533891677856,,,,,,,,,,,
