scope,total_anomalous_images,total_connected_components,valid_components,skipped_empty_interior_components,skipped_empty_near_bg_components,images_with_at_least_one_valid_component,images_where_s2_locr_is_active,valid_component_fraction,active_anomaly_image_fraction,fraction_valid_components_with_at_least_one_violation,fraction_near_bg_pixels_violating_r_c,category
endpoint_cohort,48,123,46,77,0,38,32,0.37398373983739835,0.6666666666666666,0.8478260869565217,0.23778464786608355,
fixed_train_16,50,151,50,101,0,40,36,0.33112582781456956,0.72,0.86,0.196556310435314,
endpoint_cohort,4,4,3,1,0,3,3,0.75,0.75,1.0,0.13449163449163448,candle
fixed_train_16,6,33,5,28,0,5,5,0.15151515151515152,0.8333333333333334,1.0,0.20577760189948555,candle
endpoint_cohort,4,7,4,3,0,3,2,0.5714285714285714,0.5,0.75,0.3197136892335222,pcb3
fixed_train_16,5,6,5,1,0,4,4,0.8333333333333334,0.8,1.0,0.47464239271781533,pcb3
endpoint_cohort,4,7,4,3,0,4,3,0.5714285714285714,0.75,0.75,0.11616766467065869,capsules
fixed_train_16,9,10,9,1,0,8,4,0.9,0.4444444444444444,0.4444444444444444,0.07113520617709873,capsules
endpoint_cohort,4,16,3,13,0,3,3,0.1875,0.75,1.0,0.09057971014492754,pipe_fryum
fixed_train_16,4,24,2,22,0,2,2,0.08333333333333333,0.5,1.0,0.07613168724279835,pipe_fryum
endpoint_cohort,4,9,8,1,0,4,3,0.8888888888888888,0.75,0.75,0.3488372093023256,pcb4
fixed_train_16,5,25,9,16,0,4,4,0.36,0.8,0.8888888888888888,0.2634676324128565,pcb4
endpoint_cohort,4,4,3,1,0,3,3,0.75,0.75,1.0,0.19410977242302543,macaroni2
fixed_train_16,3,9,2,7,0,2,2,0.2222222222222222,0.6666666666666666,1.0,0.5151515151515151,macaroni2
endpoint_cohort,4,7,5,2,0,3,3,0.7142857142857143,0.75,1.0,0.40262671865380667,pcb2
fixed_train_16,1,2,0,2,0,0,0,0.0,0.0,0.0,0.0,pcb2
endpoint_cohort,4,16,4,12,0,3,1,0.25,0.25,0.5,0.0956865127582017,chewinggum
fixed_train_16,5,15,5,10,0,4,4,0.3333333333333333,0.8,1.0,0.07485604606525911,chewinggum
endpoint_cohort,4,19,3,16,0,3,3,0.15789473684210525,0.75,1.0,0.18911174785100288,macaroni1
fixed_train_16,4,9,4,5,0,4,4,0.4444444444444444,1.0,1.0,0.08445945945945946,macaroni1
endpoint_cohort,4,6,3,3,0,3,2,0.5,0.5,0.6666666666666666,0.2393034825870647,cashew
fixed_train_16,2,5,1,4,0,1,1,0.2,0.5,1.0,0.5533199195171026,cashew
endpoint_cohort,4,6,2,4,0,2,2,0.3333333333333333,0.5,1.0,0.31785345717234265,fryum
fixed_train_16,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,fryum
endpoint_cohort,4,22,4,18,0,4,4,0.18181818181818182,1.0,1.0,0.10173464603844351,pcb1
fixed_train_16,6,13,8,5,0,6,6,0.6153846153846154,1.0,0.875,0.18369854597583452,pcb1
