batch_index,file_names,labels,task_loss,raw_s2_locr_loss,stage2_task_grad_norm,stage2_locr_grad_norm,cosine_locr_task,cosine_locr_focal,cosine_locr_normal_dice,cosine_locr_abnormal_dice,active,active_components,valid_components,near_violation_fraction,anomalous_image_count,nonfinite,stage2_family_det_layer_norms_task_norm,stage2_family_det_layer_norms_locr_norm,stage2_family_det_proj_task_norm,stage2_family_det_proj_locr_norm,stage2_family_dfg_raw_gamma_task_norm,stage2_family_dfg_raw_gamma_locr_norm,stage2_family_dfg_ss2d_branches_task_norm,stage2_family_dfg_ss2d_branches_locr_norm,stage2_family_lora_adapters_task_norm,stage2_family_lora_adapters_locr_norm,stage2_family_m_i_w_task_norm,stage2_family_m_i_w_locr_norm,stage2_family_seg_layer_norms_task_norm,stage2_family_seg_layer_norms_locr_norm,stage2_family_seg_proj_task_norm,stage2_family_seg_proj_locr_norm,stage2_family_vision_text_k_task_norm,stage2_family_vision_text_k_locr_norm,stage2_family_vision_text_q_task_norm,stage2_family_vision_text_q_locr_norm
0,"[""pcb1/Data/Images/Normal/0417.JPG"",""pcb2/Data/Images/Normal/0935.JPG"",""macaroni1/Data/Images/Normal/0178.JPG"",""pcb2/Data/Images/Normal/0968.JPG"",""capsules/Data/Images/Anomaly/040.JPG"",""capsules/Data/Images/Normal/026.JPG""]","[0,0,0,0,1,0]",0.7776901026566824,0.0,0.6850953698158264,0.0,,,,,0,0,0,0.0,1,0,0.01758827082812786,0.0,0.07378993183374405,0.0,0.0,0.0,0.0,0.0,0.06839890033006668,0.0,0.6773983836174011,0.0,0.0001460349012631923,0.0,0.007372958119958639,0.0,2.2384854673873633e-05,0.0,5.806993499390956e-07,0.0
1,"[""pipe_fryum/Data/Images/Normal/050.JPG"",""pcb1/Data/Images/Anomaly/061.JPG"",""pcb4/Data/Images/Anomaly/077.JPG"",""chewinggum/Data/Images/Normal/352.JPG"",""pcb3/Data/Images/Anomaly/003.JPG"",""capsules/Data/Images/Anomaly/064.JPG""]","[0,1,1,0,1,1]",1.0581585069497426,0.7980071493269254,5.300047874450684,3.2971317768096924,-0.04984310269355774,-0.02185138873755932,-0.09581141173839569,-0.04868016391992569,1,2,3,0.2609289617486339,4,0,0.00682585034519434,0.0,0.11482098698616028,0.0,0.0,0.0,0.0,0.0,1.4769340753555298,2.0923078060150146,5.084362983703613,0.6800283193588257,0.001685449737124145,0.0334872230887413,0.21257862448692322,2.4555575847625732,0.00042358716018497944,0.0017287119990214705,1.9894667275366373e-05,0.00032607521279715
2,"[""candle/Data/Images/Anomaly/025.JPG"",""pcb1/Data/Images/Anomaly/020.JPG"",""macaroni2/Data/Images/Normal/0294.JPG"",""candle/Data/Images/Anomaly/039.JPG"",""candle/Data/Images/Anomaly/088.JPG"",""pipe_fryum/Data/Images/Anomaly/025.JPG""]","[1,1,0,1,1,1]",1.231030434370041,0.3510086555615999,2.947577953338623,2.212175130844116,-0.03694891929626465,-0.1158754974603653,-0.04695531353354454,-0.036366917192935944,1,4,6,0.09896193771626298,5,0,0.01962372660636902,0.0,0.11135231703519821,0.0,0.0,0.0,0.0,0.0,0.6116806864738464,0.3713703155517578,2.879088878631592,0.5397960543632507,0.0012896154075860977,0.016793766990303993,0.11010965704917908,2.112851142883301,0.00021630822448059916,0.0004598360101226717,1.485971824877197e-05,0.00010635893704602495
3,"[""cashew/Data/Images/Anomaly/071.JPG"",""macaroni1/Data/Images/Anomaly/064.JPG"",""pcb3/Data/Images/Normal/0484.JPG"",""pcb3/Data/Images/Normal/0871.JPG"",""macaroni1/Data/Images/Anomaly/015.JPG"",""candle/Data/Images/Anomaly/037.JPG""]","[1,1,0,0,1,1]",1.1841113964716594,0.2667405312919679,1.6981326341629028,3.0233631134033203,0.031204652041196823,-0.009050902910530567,-0.007298071403056383,0.03540246933698654,1,3,3,0.24433249370277077,4,0,0.008713972754776478,0.0,0.12337800115346909,0.0,0.0,0.0,0.0,7.017370535322698e-06,0.3856774866580963,0.41534847021102905,1.648107647895813,0.6297572255134583,0.000892157549969852,0.030911559239029884,0.05787626653909683,2.9275588989257812,5.108615005156025e-05,0.007840698584914207,1.160761257779086e-06,0.00023254344705492258
4,"[""capsules/Data/Images/Anomaly/006.JPG"",""capsules/Data/Images/Normal/324.JPG"",""pcb3/Data/Images/Normal/0024.JPG"",""pcb3/Data/Images/Normal/0159.JPG"",""pcb1/Data/Images/Anomaly/064.JPG"",""pcb4/Data/Images/Normal/0619.JPG""]","[1,0,0,0,1,0]",0.891944040854772,0.032825300804688595,0.902505099773407,4.490361213684082,0.020579326897859573,-0.1013370007276535,-0.022372564300894737,0.14327609539031982,1,3,3,0.1925531914893617,2,0,0.009637166745960712,0.0,0.057007212191820145,0.0,0.0,0.0,0.0,0.0,0.14363671839237213,2.963630437850952,0.8880396485328674,0.8776064515113831,0.00030833069467917085,0.02893751673400402,0.04389450326561928,3.2571756839752197,1.974091173906345e-05,0.003831102978438139,1.5000173902990355e-07,0.0003202179213985801
5,"[""pcb2/Data/Images/Normal/0427.JPG"",""macaroni1/Data/Images/Normal/0631.JPG"",""pcb4/Data/Images/Anomaly/028.JPG"",""capsules/Data/Images/Anomaly/038.JPG"",""pcb4/Data/Images/Anomaly/033.JPG"",""pipe_fryum/Data/Images/Anomaly/088.JPG""]","[0,0,1,1,1,1]",0.8900801440080007,0.2563919126987457,3.994170904159546,3.023552417755127,-0.025678861886262894,-0.041670575737953186,0.06321052461862564,-0.025915630161762238,1,2,3,0.1338862559241706,3,0,0.009948805905878544,0.0,0.0897868201136589,0.0,0.0,0.0,0.0,0.0,0.7837263941764832,0.9174638986587524,3.9142751693725586,0.7690130472183228,0.001869653700850904,0.043167583644390106,0.097263865172863,2.7761223316192627,0.0002567131305113435,0.005458040162920952,1.1029244888050016e-05,0.0005333476583473384
6,"[""capsules/Data/Images/Anomaly/028.JPG"",""pcb1/Data/Images/Anomaly/023.JPG"",""macaroni2/Data/Images/Anomaly/085.JPG"",""capsules/Data/Images/Anomaly/062.JPG"",""fryum/Data/Images/Normal/307.JPG"",""pipe_fryum/Data/Images/Normal/148.JPG""]","[1,1,1,1,0,0]",1.14725594719251,0.29857484499613446,1.7494144439697266,1.4307101964950562,-0.019321706146001816,0.02680198661983013,0.011345796287059784,-0.017509840428829193,1,3,4,0.19113756613756613,4,0,0.0057876696810126305,0.0,0.15085673332214355,0.0,0.0,0.0,0.0,1.2318992048676591e-06,0.3172285258769989,0.36963748931884766,1.7133294343948364,0.2651170492172241,0.00030905514722689986,0.020937299355864525,0.03908436745405197,1.3563088178634644,3.155763988615945e-05,0.0009085218771360815,1.0781596984088537e-06,3.6578159779310226e-05
7,"[""cashew/Data/Images/Normal/272.JPG"",""pcb3/Data/Images/Anomaly/090.JPG"",""pcb1/Data/Images/Normal/0208.JPG"",""macaroni2/Data/Images/Anomaly/019.JPG"",""candle/Data/Images/Anomaly/070.JPG"",""capsules/Data/Images/Anomaly/080.JPG""]","[0,1,0,1,1,1]",1.1827567617098491,0.07408576210339864,0.40875574946403503,0.663867175579071,0.04760890081524849,0.08094290643930435,0.05462799593806267,0.06618666648864746,1,1,3,0.07875264270613108,4,0,0.007460609078407288,0.0,0.12347568571567535,0.0,0.0,0.0,0.0,0.0,0.15934468805789948,0.18094006180763245,0.3497738242149353,0.12895765900611877,0.0008982160943560302,0.011853443458676338,0.06360894441604614,0.6254675984382629,5.4620093578705564e-05,0.0002604229957796633,2.4883502192096785e-06,0.0001319971779594198
8,"[""pcb4/Data/Images/Anomaly/063.JPG"",""chewinggum/Data/Images/Anomaly/085.JPG"",""capsules/Data/Images/Anomaly/014.JPG"",""capsules/Data/Images/Normal/580.JPG"",""macaroni2/Data/Images/Normal/0631.JPG"",""pipe_fryum/Data/Images/Anomaly/074.JPG""]","[1,1,1,0,0,1]",1.1106767058372498,0.006666241562925279,0.4136687219142914,0.4879108965396881,-0.11300619691610336,-0.10605446994304657,0.004051152151077986,-0.0836869552731514,1,3,5,0.12795125666412796,4,0,0.010644324123859406,0.0,0.08087804168462753,0.0,0.0,0.0,0.0,0.0,0.2132900357246399,0.44895267486572266,0.29050296545028687,0.0517582930624485,0.000591326504945755,0.013630821369588375,0.18596312403678894,0.18335707485675812,2.2339734641718678e-05,0.0037406578194350004,2.656329115779954e-06,0.00011039728997275233
9,"[""macaroni1/Data/Images/Normal/0685.JPG"",""fryum/Data/Images/Normal/377.JPG"",""pcb3/Data/Images/Normal/0294.JPG"",""pcb4/Data/Images/Normal/0674.JPG"",""macaroni1/Data/Images/Anomaly/063.JPG"",""pcb3/Data/Images/Normal/0694.JPG""]","[0,0,0,0,1,0]",0.7433027029037476,0.10758101940155029,0.7414567470550537,1.3336354494094849,0.025645172223448753,0.034227851778268814,0.32622230052948,0.009765547700226307,1,1,1,0.2222222222222222,1,0,0.018746260553598404,0.0,0.06245133653283119,0.0,0.0,0.0,0.0,0.0,0.11951702833175659,0.20995298027992249,0.7287927865982056,0.1883581280708313,0.00025913387071341276,0.03500544652342796,0.009122729301452637,1.302979826927185,1.4621730770159047e-05,0.006525861099362373,9.199112582791713e-07,0.00022773149248678237
