epoch,path,sha256,global_step,attempted_batches,successful_optimizer_steps,nonfinite_loss_skips,nonfinite_grad_skips,model_state_finite,optimizer_state_finite,scaler_state_finite,numerical_validity
10,/workspace/h2_safe_anchor_e20_medical_selected/adapter_10.pth,64b72dc3d1155285c826781bee4c5970bd45218e95b21675fd19d9a6b2ab54a7,3607,361,3607,0,0,True,True,True,True
11,/workspace/h2_safe_anchor_e20_medical_selected/adapter_11.pth,5bdc38d0455a05fa56f0829005da8ef6a2e3238077a816afb599ed252515bcd3,3967,361,3967,0,1,True,True,True,True
12,/workspace/h2_safe_anchor_e20_medical_selected/adapter_12.pth,b5218b8093119aba613a187f033802d23cf6229bc8d14b72d19f32bbb3bbe283,4328,361,4328,0,0,True,True,True,True
13,/workspace/h2_safe_anchor_e20_medical_selected/adapter_13.pth,cd3b205da2a645db3d60d0bcfe2cfa0ceb98aadb91663704e90c9d3eef08f63f,4689,361,4689,0,0,True,True,True,True
14,/workspace/h2_safe_anchor_e20_medical_selected/adapter_14.pth,8602e11e231de414d6e458fa6dfedd0eb5dffee74622cdb959bcde33463cfe5c,5050,361,5050,0,0,True,True,True,True
15,/workspace/h2_safe_anchor_e20_medical_selected/adapter_15.pth,11deefa24b1a6138bc833689cdee6ab247c8b420ba8fb160334abd1e2991e094,5411,361,5411,0,0,True,True,True,True
16,/workspace/h2_safe_anchor_e20_medical_selected/adapter_16.pth,2c989fe85c30bebad4d7f0f33dcfd81a308415748788a7719a2922d99defca4b,5772,361,5772,0,0,True,True,True,True
17,/workspace/h2_safe_anchor_e20_medical_selected/adapter_17.pth,18b0255315b73a9ba765fc17fb854aef1298e66d6ad99905408087f03698df1c,6132,361,6132,0,1,True,True,True,True
18,/workspace/h2_safe_anchor_e20_medical_selected/adapter_18.pth,2e6ef78bb67bd6f46f5545df9583f85bd09042e3913e512987aa6d30af5997ae,6493,361,6493,0,0,True,True,True,True
19,/workspace/h2_safe_anchor_e20_medical_selected/adapter_19.pth,984096ac10cf7b62eaa15d493ea8ed00cd313867207c66ca22975ac5536e3cab,6854,361,6854,0,0,True,True,True,True
20,/workspace/h2_safe_anchor_e20_medical_selected/adapter_20.pth,43ddb8dabbb450fdaeb0604d3f55654d944d5a7f5384c8ec59fd0d22d411fb7b,7215,361,7215,0,0,True,True,True,True
