family,locr_gradient_norm_16_batch_sum,active_preflight_batches,s1_near_margin,s1_interior_margin,s1_boundary_margin,s1_positive_margin,s1_far_margin,s2_near_margin,s2_interior_margin,s2_boundary_margin,s2_positive_margin,s2_far_margin,s3_near_margin,s3_interior_margin,s3_boundary_margin,s3_positive_margin,s3_far_margin,fused_near_margin,fused_interior_margin,fused_boundary_margin,main_task_loss,task_alignment,profile
det_layer_norms,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INACTIVE
det_proj,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INACTIVE
dfg_raw_gamma,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INACTIVE
dfg_ss2d_branches,5.575559498538496e-06,13,0.0,0.0,0.0,0.0,0.0,-1.355649033030204e-07,0.0,-1.355649033030204e-07,-1.355649033030204e-07,-7.088369557095575e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COUPLED_SUPPRESSION
lora_adapters,8.341964721679688,13,0.0,0.0,0.0,0.0,0.0,-0.47574551272555254,-0.5646336519130273,-0.5250353043375071,-0.5380765700538177,-0.010647899682226125,-10.360333166085184,-14.015130394138396,-12.342314697569236,-12.889696726109833,-0.24994563509244472,-3.6340084886178374,-4.688250292558223,-4.195068717410322,1.8787975828745402,1.8787975828745402,COUPLED_SUPPRESSION
m_i_w,5.787503719329834,13,0.0,0.0,0.0,0.0,0.0,-0.03133362904191017,-0.040472984313964844,-0.036519069224596024,-0.03782046586275101,0.006104833446443081,0.8679364919662476,0.27467697858810425,0.5807707905769348,0.4909597635269165,-2.0565147399902344,-0.5657910704612732,0.06558337807655334,-0.2479535937309265,0.4205414652824402,0.4205414652824402,COUPLED_SUPPRESSION
seg_layer_norms,0.3057675361633301,13,0.0,0.0,0.0,0.0,0.0,-0.07511509954929352,-0.07278618030250072,-0.07377631589770317,-0.07346748746931553,-0.08382787182927132,0.0,0.0,0.0,0.0,0.0,-0.02502449182793498,-0.024259802885353565,-0.02459051413461566,0.0014397194609045982,0.0014397194609045982,COUPLED_SUPPRESSION
seg_proj,17.597747802734375,13,0.0,0.0,0.0,0.0,0.0,-0.16234320728108287,-0.19163783732801676,-0.1785452626645565,-0.1828343840315938,-0.018602099793497473,0.0,0.0,0.0,0.0,0.0,-0.054086077492684126,-0.06388049223460257,-0.05952896410599351,0.012733300740364939,0.012733300740364939,COUPLED_SUPPRESSION
vision_text_k,0.04083559662103653,13,0.0,0.0,0.0,0.0,0.0,-0.021907581016421318,-0.01665368676185608,-0.01901601254940033,-0.01826287992298603,-0.04256762936711311,0.0,0.0,0.0,0.0,0.0,-0.007300516590476036,-0.005565037485212088,-0.0063346633687615395,-0.0010284828022122383,-0.0010284828022122383,COUPLED_SUPPRESSION
vision_text_q,0.0025850562378764153,13,0.0,0.0,0.0,0.0,0.0,-0.0002648357185535133,-0.0004125536070205271,-0.0003448800998739898,-0.0003684775729198009,0.00035576813388615847,0.0,0.0,0.0,0.0,0.0,-8.635124686406925e-05,-0.00013665050209965557,-0.00011503548012115061,4.640044426196255e-05,4.640044426196255e-05,COUPLED_SUPPRESSION
