stage,occupancy_bin,distance_region,count,prob_mean,prob_median,margin_mean,margin_median
1,EXACT_0,all,261378,0.0005837497883476317,5.602796449011294e-09,-18.604833602905273,-19.0
1,EXACT_0,positive,0,,,,
1,EXACT_0,near,5937,0.0037879166193306446,8.953243479936646e-09,-17.57868766784668,-18.53125
1,EXACT_0,far,255441,0.0005092780338600278,5.602796449011294e-09,-18.628684997558594,-19.0
1,EXACT_0,boundary,0,,,,
1,EXACT_0,interior,0,,,,
1,LOW,all,672,0.07537998259067535,4.54683188877425e-08,-13.790629386901855,-16.90625
1,LOW,positive,147,0.0737035870552063,5.930186475211485e-08,-13.907575607299805,-16.640625
1,LOW,near,456,0.0775434598326683,4.372778761307927e-08,-13.71717357635498,-16.9453125
1,LOW,far,69,0.06465363502502441,3.224186784223093e-08,-14.026933670043945,-17.25
1,LOW,boundary,147,0.0737035870552063,5.930186475211485e-08,-13.907575607299805,-16.640625
1,LOW,interior,0,,,,
1,MID_LOW,all,311,0.2792838215827942,3.194181772414595e-05,-6.781686305999756,-10.3515625
1,MID_LOW,positive,111,0.21698278188705444,7.411279511870816e-06,-8.142428398132324,-11.8125
1,MID_LOW,near,190,0.32275182008743286,7.198131061159074e-05,-5.765746593475342,-9.5390625
1,MID_LOW,far,10,0.1449335217475891,3.752358423980695e-08,-10.980298042297363,-17.15625
1,MID_LOW,boundary,111,0.21698278188705444,7.411279511870816e-06,-8.142428398132324,-11.8125
1,MID_LOW,interior,0,,,,
1,MID_HIGH,all,177,0.5194445252418518,0.6397360563278198,-0.17411692440509796,0.57421875
1,MID_HIGH,positive,81,0.4474957287311554,0.023419946432113647,-1.487422227859497,-3.73046875
1,MID_HIGH,near,90,0.574383020401001,0.9786818027496338,0.5255036354064941,3.8583984375
1,MID_HIGH,far,6,0.6666762232780457,1.0,7.061197757720947,17.203125
1,MID_HIGH,boundary,81,0.4474957287311554,0.023419946432113647,-1.487422227859497,-3.73046875
1,MID_HIGH,interior,0,,,,
1,HIGH,all,310,0.5712958574295044,0.9956936836242676,0.6054672002792358,5.443359375
1,HIGH,positive,258,0.5935947299003601,0.9993345737457275,1.2053184509277344,7.31640625
1,HIGH,near,52,0.46065905690193176,0.002339712344110012,-2.370718240737915,-6.076171875
1,HIGH,far,0,,,,
1,HIGH,boundary,258,0.5935947299003601,0.9993345737457275,1.2053184509277344,7.31640625
1,HIGH,interior,0,,,,
1,EXACT_1,all,143,0.6182573437690735,0.9997325539588928,1.768558144569397,8.2265625
1,EXACT_1,positive,143,0.6182573437690735,0.9997325539588928,1.768558144569397,8.2265625
1,EXACT_1,near,0,,,,
1,EXACT_1,far,0,,,,
1,EXACT_1,boundary,143,0.6182573437690735,0.9997325539588928,1.768558144569397,8.2265625
1,EXACT_1,interior,0,,,,
2,EXACT_0,all,261378,0.0008251057588495314,4.163644984345183e-09,-19.247438430786133,-19.296875
2,EXACT_0,positive,0,,,,
2,EXACT_0,near,5937,0.020011141896247864,4.229212535733495e-09,-18.085630416870117,-19.28125
2,EXACT_0,far,255441,0.0003791809140238911,4.163644984345183e-09,-19.274442672729492,-19.296875
2,EXACT_0,boundary,0,,,,
2,EXACT_0,interior,0,,,,
2,LOW,all,672,0.28186991810798645,2.016605122889814e-07,-8.037254333496094,-15.41796875
2,LOW,positive,147,0.31953486800193787,1.903384486467985e-06,-7.240347385406494,-13.171875
2,LOW,near,456,0.26667851209640503,3.1622923302165873e-07,-8.212760925292969,-14.96875
2,LOW,far,69,0.3020226061344147,6.972792565562713e-09,-8.575139045715332,-18.78125
2,LOW,boundary,147,0.31953486800193787,1.903384486467985e-06,-7.240347385406494,-13.171875
2,LOW,interior,0,,,,
2,MID_LOW,all,311,0.5656380653381348,0.9978843331336975,0.8421108722686768,6.15625
2,MID_LOW,positive,111,0.4474940001964569,0.005099818576127291,-2.9444591999053955,-5.2734375
2,MID_LOW,near,190,0.6491654515266418,0.9999678730964661,3.6315841674804688,10.34765625
2,MID_LOW,far,10,0.29001790285110474,4.432718192504126e-09,-10.126953125,-19.234375
2,MID_LOW,boundary,111,0.4474940001964569,0.005099818576127291,-2.9444591999053955,-5.2734375
2,MID_LOW,interior,0,,,,
2,MID_HIGH,all,177,0.7046653032302856,0.9999982118606567,5.536531448364258,13.21875
2,MID_HIGH,positive,81,0.654787540435791,0.9999798536300659,3.570586681365967,10.8125
2,MID_HIGH,near,90,0.7520886063575745,0.9999996423721313,7.256927967071533,14.8203125
2,MID_HIGH,far,6,0.6666666865348816,1.0,6.270833492279053,18.8828125
2,MID_HIGH,boundary,81,0.654787540435791,0.9999798536300659,3.570586681365967,10.8125
2,MID_HIGH,interior,0,,,,
2,HIGH,all,310,0.6664407253265381,0.9999997615814209,5.046535015106201,15.48046875
2,HIGH,positive,258,0.66227787733078,0.9999997615814209,5.049464225769043,15.4921875
2,HIGH,near,52,0.6870949864387512,0.9999995231628418,5.03200101852417,14.6328125
2,HIGH,far,0,,,,
2,HIGH,boundary,258,0.66227787733078,0.9999997615814209,5.049464225769043,15.4921875
2,HIGH,interior,0,,,,
2,EXACT_1,all,143,0.6835669875144958,0.9999998807907104,5.809099197387695,16.328125
2,EXACT_1,positive,143,0.6835669875144958,0.9999998807907104,5.809099197387695,16.328125
2,EXACT_1,near,0,,,,
2,EXACT_1,far,0,,,,
2,EXACT_1,boundary,143,0.6835669875144958,0.9999998807907104,5.809099197387695,16.328125
2,EXACT_1,interior,0,,,,
3,EXACT_0,all,261378,0.00017686202772893012,1.1861120086109622e-08,-18.238819122314453,-18.25
3,EXACT_0,positive,0,,,,
3,EXACT_0,near,5937,0.0049873236566782,1.1142491374016572e-08,-17.847057342529297,-18.3125
3,EXACT_0,far,255441,6.50565343676135e-05,1.1861120086109622e-08,-18.2479248046875,-18.25
3,EXACT_0,boundary,0,,,,
3,EXACT_0,interior,0,,,,
3,LOW,all,672,0.16954076290130615,1.6469545727204604e-08,-11.996675491333008,-17.921875
3,LOW,positive,147,0.1516774296760559,1.7257827167327378e-08,-11.944437026977539,-17.875
3,LOW,near,456,0.1703270822763443,1.6726861673532767e-08,-12.10953426361084,-17.90625
3,LOW,far,69,0.20240089297294617,1.5229979055675358e-08,-11.362106323242188,-18.0
3,LOW,boundary,147,0.1516774296760559,1.7257827167327378e-08,-11.944437026977539,-17.875
3,LOW,interior,0,,,,
3,MID_LOW,all,311,0.27917706966400146,9.17019642656669e-05,-8.51987361907959,-9.296875
3,MID_LOW,positive,111,0.2243368923664093,1.248270905307436e-06,-9.766236305236816,-13.59375
3,MID_LOW,near,190,0.3153925836086273,0.001174162607640028,-7.542019844055176,-6.74609375
3,MID_LOW,far,10,0.19980791211128235,1.252822201536219e-08,-13.264452934265137,-18.1953125
3,MID_LOW,boundary,111,0.2243368923664093,1.248270905307436e-06,-9.766236305236816,-13.59375
3,MID_LOW,interior,0,,,,
3,MID_HIGH,all,177,0.3787003755569458,0.08834723383188248,-6.155208587646484,-2.333984375
3,MID_HIGH,positive,81,0.3676421344280243,0.030329255387187004,-6.554084777832031,-3.46484375
3,MID_HIGH,near,90,0.4028560221195221,0.17448307573795319,-5.257999897003174,-1.556640625
3,MID_HIGH,far,6,0.16565436124801636,1.398647953010368e-08,-14.228515625,-18.0859375
3,MID_HIGH,boundary,81,0.3676421344280243,0.030329255387187004,-6.554084777832031,-3.46484375
3,MID_HIGH,interior,0,,,,
3,HIGH,all,310,0.3310368061065674,0.012431951239705086,-6.884704113006592,-4.37890625
3,HIGH,positive,258,0.33077913522720337,0.021093323826789856,-6.683591842651367,-3.837890625
3,HIGH,near,52,0.3323151171207428,0.0009391703060828149,-7.882530689239502,-7.404296875
3,HIGH,far,0,,,,
3,HIGH,boundary,258,0.33077913522720337,0.021093323826789856,-6.683591842651367,-3.837890625
3,HIGH,interior,0,,,,
3,EXACT_1,all,143,0.3085080683231354,0.02271575853228569,-6.871302127838135,-3.76171875
3,EXACT_1,positive,143,0.3085080683231354,0.02271575853228569,-6.871302127838135,-3.76171875
3,EXACT_1,near,0,,,,
3,EXACT_1,far,0,,,,
3,EXACT_1,boundary,143,0.3085080683231354,0.02271575853228569,-6.871302127838135,-3.76171875
3,EXACT_1,interior,0,,,,
