arm,step,family,task_gradient_norm,gradient_vector_path,probe_definition,probe_batch_count,replay_validity,causal_inference_authorized,scope,control_task_gradient_norm,candidate_task_gradient_norm,candidate_minus_control,candidate_control_task_gradient_cosine
CONTROL,0,soft_prompt,0.6262882351875305,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_soft_prompt.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage1_det_layer_norms,0.002867662813514471,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage1_det_layer_norms.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage1_det_proj,0.00987990666180849,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage1_det_proj.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage1_dfg_raw_gamma,0.0,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage1_dfg_raw_gamma.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage1_dfg_ss2d_branches,0.0,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage1_dfg_ss2d_branches.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage1_lora_adapters,0.9619764089584351,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage1_lora_adapters.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage1_m_i_w,6.125650882720947,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage1_m_i_w.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage1_seg_layer_norms,0.020805327221751213,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage1_seg_layer_norms.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage1_seg_proj,1.3518972396850586,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage1_seg_proj.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage1_vision_text_k,0.0003450616495683789,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage1_vision_text_k.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage1_vision_text_q,0.00015513025573454797,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage1_vision_text_q.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage2_det_layer_norms,0.031362585723400116,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage2_det_layer_norms.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage2_det_proj,0.313143789768219,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage2_det_proj.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage2_dfg_raw_gamma,0.0,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage2_dfg_raw_gamma.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage2_dfg_ss2d_branches,0.0,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage2_dfg_ss2d_branches.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage2_lora_adapters,5.337444305419922,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage2_lora_adapters.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage2_m_i_w,9.32126235961914,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage2_m_i_w.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage2_seg_layer_norms,0.005045107565820217,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage2_seg_layer_norms.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage2_seg_proj,0.0901833325624466,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage2_seg_proj.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage2_vision_text_k,0.0010720751015469432,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage2_vision_text_k.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage2_vision_text_q,7.288882625289261e-05,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage2_vision_text_q.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage3_det_layer_norms,0.025228258222341537,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage3_det_layer_norms.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage3_det_proj,0.06850981712341309,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage3_det_proj.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage3_dfg_raw_gamma,0.0,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage3_dfg_raw_gamma.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage3_dfg_ss2d_branches,0.0,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage3_dfg_ss2d_branches.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage3_lora_adapters,0.23168492317199707,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage3_lora_adapters.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage3_m_i_w,0.19328752160072327,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage3_m_i_w.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage3_seg_layer_norms,0.014461196959018707,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage3_seg_layer_norms.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage3_seg_proj,0.6117326021194458,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage3_seg_proj.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage3_vision_text_k,0.0005221159663051367,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage3_vision_text_k.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,stage3_vision_text_q,2.8274283977225423e-05,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_stage3_vision_text_q.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
CONTROL,0,text_adapter,0.3114815354347229,/workspace/h2_stagewise_causal_localization_audit_r1/task_gradient_vectors/control_step_0_text_adapter.npy,first batch of the fixed 16-batch epoch-11 R1 preflight set,1,FAIL,False,,,,,
