arm,step,checkpoint,endpoint_reproduction,causal_inference_authorized,final_ap,final_auroc,local_ap,local_auroc,near_p95,near_p99,positive_mean,interior_mean,boundary_mean,local_replacement_pixel_count_total,s1_near_p95_margin,s1_near_p99_margin,s1_positive_mean_margin,s1_interior_mean_margin,s1_boundary_mean_margin,s2_near_p95_margin,s2_near_p99_margin,s2_positive_mean_margin,s2_interior_mean_margin,s2_boundary_mean_margin,s3_near_p95_margin,s3_near_p99_margin,s3_positive_mean_margin,s3_interior_mean_margin,s3_boundary_mean_margin,s1_margin_contribution,s2_margin_contribution,s3_margin_contribution
CONTROL,0,/workspace/h2_stagewise_causal_localization_audit_r1/trajectory/A_S2_LOCR_R1_CONTROL/step_0.pth,PASS,False,0.39100422374501265,0.8703364967811639,0.4183837009067383,0.870340474024693,0.050895802676677704,0.3166891634464264,0.13356387615203857,0.23798039555549622,0.039956700056791306,35879,-4.735213279724121,-1.6722100973129272,-11.295039176940918,-10.027685165405273,-12.431197166442871,3.072500467300415,8.516193389892578,-7.775825023651123,-6.035940647125244,-9.335594177246094,-4.092006206512451,-2.3800199031829834,-12.533162117004395,-12.034238815307617,-12.980437278747559,2.420299768447876,3.8098971843719482,1.893863320350647
CONTROL,25,/workspace/h2_stagewise_causal_localization_audit_r1/trajectory/A_S2_LOCR_R1_CONTROL/step_25.pth,PASS,False,0.40497153660651686,0.8709338377004414,0.4229504078820254,0.870920302837502,0.1264675259590149,0.5394901037216187,0.17051878571510315,0.28655800223350525,0.06649211049079895,35879,-3.17271089553833,-0.31584203243255615,-10.31218147277832,-9.05500316619873,-11.439213752746582,2.077925443649292,7.397064685821533,-8.217418670654297,-6.377505302429199,-9.866860389709473,-1.2388728857040405,0.08289001137018204,-10.600677490234375,-9.999092102050781,-11.139986991882324,2.727163314819336,3.7051639556884766,2.5467941761016846
CONTROL,50,/workspace/h2_stagewise_causal_localization_audit_r1/trajectory/A_S2_LOCR_R1_CONTROL/step_50.pth,PASS,False,0.4001731183834917,0.8582311014168787,0.41166846908272814,0.8582143291261791,0.23307591676712036,0.6688580513000488,0.1889551728963852,0.3078969717025757,0.08232641220092773,35879,-3.6675782203674316,-0.3239988386631012,-10.600460052490234,-9.30161190032959,-11.764847755432129,1.7047069072723389,7.112830638885498,-8.449124336242676,-6.5924272537231445,-10.113614082336426,0.9919986128807068,1.8918402194976807,-8.832234382629395,-8.499836921691895,-9.130221366882324,2.613811492919922,3.6008737087249756,3.12929630279541
CONTROL,100,/workspace/h2_stagewise_causal_localization_audit_r1/trajectory/A_S2_LOCR_R1_CONTROL/step_100.pth,PASS,False,0.40461397740200045,0.8805883690434553,0.41035639012037867,0.8805646913761642,0.20909182727336884,0.6706388592720032,0.18696065247058868,0.3015410006046295,0.0842418223619461,35879,-2.0428009033203125,0.009959378279745579,-9.72949504852295,-8.659255027770996,-10.688941955566406,1.2008336782455444,5.481881618499756,-8.48525333404541,-6.646031379699707,-10.134076118469238,1.052805781364441,2.1189396381378174,-8.89566707611084,-8.444169998168945,-9.30042552947998,2.820099115371704,3.567854166030884,3.1769838333129883
CONTROL,200,/workspace/h2_stagewise_causal_localization_audit_r1/trajectory/A_S2_LOCR_R1_CONTROL/step_200.pth,PASS,False,0.3716037002585478,0.8206059074366204,0.38412263852471634,0.8206047134896846,0.2854542136192322,0.7518771290779114,0.19018277525901794,0.3049158751964569,0.08732699602842331,35879,-4.858819007873535,-1.841840147972107,-11.262208938598633,-10.091024398803711,-12.312151908874512,2.4390501976013184,7.846829891204834,-7.744997978210449,-6.071638584136963,-9.245128631591797,2.007158041000366,3.1337361335754395,-8.086255073547363,-7.820991039276123,-8.324057579040527,2.2180404663085938,3.702495813369751,3.3727548122406006
CONTROL,300,/workspace/h2_stagewise_causal_localization_audit_r1/trajectory/A_S2_LOCR_R1_CONTROL/step_300.pth,PASS,False,0.39519865991914016,0.8185888988063098,0.4072016480777889,0.8185818537691454,0.14355173707008362,0.5529880523681641,0.1680731326341629,0.2813686728477478,0.06650612503290176,35879,-3.497781753540039,-0.8203666806221008,-10.937688827514648,-9.778186798095703,-11.977154731750488,1.3551679849624634,5.831510066986084,-8.453346252441406,-6.711811542510986,-10.014594078063965,0.4261799156665802,1.677267074584961,-10.01370620727539,-9.436261177062988,-10.5313720703125,2.4503955841064453,3.5473148822784424,2.805569887161255
CONTROL,500,/workspace/h2_stagewise_causal_localization_audit_r1/trajectory/A_S2_LOCR_R1_CONTROL/step_500.pth,PASS,False,0.3683665289656957,0.8109180864108191,0.37862184698476936,0.8109212360605852,0.528762936592102,0.8819100856781006,0.224125474691391,0.3325909376144409,0.12688852846622467,35879,-1.862809419631958,0.48077866435050964,-9.89275074005127,-8.951332092285156,-10.736714363098145,3.142443895339966,6.794027805328369,-6.95428466796875,-5.349598407745361,-8.392851829528809,2.8448543548583984,4.379169464111328,-8.478387832641602,-7.696340560913086,-9.17947769165039,2.5414717197418213,3.980836868286133,3.2942326068878174
CANDIDATE,0,/workspace/h2_stagewise_causal_localization_audit_r1/trajectory/A_S2_LOCR_R1_CANDIDATE/step_0.pth,FAIL,False,0.39100422374501265,0.8703364967811639,0.4183837009067383,0.870340474024693,0.050895802676677704,0.3166891634464264,0.13356387615203857,0.23798039555549622,0.039956700056791306,35879,-4.735213279724121,-1.6722100973129272,-11.295039176940918,-10.027685165405273,-12.431197166442871,3.072500467300415,8.516193389892578,-7.775825023651123,-6.035940647125244,-9.335594177246094,-4.092006206512451,-2.3800199031829834,-12.533162117004395,-12.034238815307617,-12.980437278747559,2.420299768447876,3.8098971843719482,1.893863320350647
CANDIDATE,25,/workspace/h2_stagewise_causal_localization_audit_r1/trajectory/A_S2_LOCR_R1_CANDIDATE/step_25.pth,FAIL,False,0.40699363794431664,0.8689740020939666,0.4167845111003909,0.8689443476708139,0.08025559037923813,0.4283808469772339,0.1561650186777115,0.2691417932510376,0.05488375946879387,35879,-2.9275941848754883,-0.05718013644218445,-10.154719352722168,-8.911140441894531,-11.269561767578125,0.08966638892889023,4.757681369781494,-9.258973121643066,-7.41172456741333,-10.91499137878418,-0.9428891539573669,0.3752220869064331,-10.545992851257324,-9.915549278259277,-11.11117172241211,2.7713422775268555,3.3831307888031006,2.560882329940796
CANDIDATE,50,/workspace/h2_stagewise_causal_localization_audit_r1/trajectory/A_S2_LOCR_R1_CANDIDATE/step_50.pth,FAIL,False,0.39735225335365204,0.8502366695176282,0.3786339313774371,0.8501793362952316,0.1527186632156372,0.5245077610015869,0.17115938663482666,0.2859000563621521,0.06829683482646942,35879,-3.113339424133301,0.29582178592681885,-10.226325988769531,-8.957807540893555,-11.363523483276367,-2.6047310829162598,1.4691188335418701,-10.624125480651855,-8.752289772033691,-12.30218505859375,3.361297607421875,4.311881065368652,-7.784676551818848,-7.458596706390381,-8.077000617980957,2.7046127319335938,2.894172430038452,3.4482336044311523
