K_per_anomalous_sample,anchor_loss,anomaly_sample_count,arm,attempt_index,batch,epoch,existing_task_loss,file_names,global_step_after,global_step_before,hard_background_max,hard_background_mean,image_sha256,labels,mask_sha256,nonfinite_grad_skip,nonfinite_loss_skip,optimizer_state_finite,paired_control_skip,parameters_finite,safe_anchor_effective_ratio,safe_anchor_max_family_ratio,status,successful_step,thbr_enabled,thbr_grad_norm,thbr_raw,thbr_weighted,total_loss,violation_fraction,weak_anomaly_mean,weak_anomaly_min
[22],0.2928105890750885,1,A_THBR_R1_CANDIDATE,0,0,11,0.7816005945205688,"[""pcb1/Data/Images/Normal/0417.JPG"",""pcb2/Data/Images/Normal/0935.JPG"",""macaroni1/Data/Images/Normal/0178.JPG"",""pcb2/Data/Images/Normal/0968.JPG"",""capsules/Data/Images/Anomaly/040.JPG"",""capsules/Data/Images/Normal/026.JPG""]",3608,3607,0.9982692003250122,0.9288718700408936,780f1b1bc3dfc840e1c456c6e4e970d59f95b28d85c4a8c4dc00cc15e49c51f5,"[0,0,0,0,1,0]",0831d1dfe2d406990266ea89494279390debcb23ccbf6b8d69e774660093a7d8,0,0,1,0,1,1.037658672949562e-05,0.06443609189140043,success,1,True,1.105282187461853,1.0862798690795898,0.2033856064081192,0.9849861860275269,0.8636363744735718,0.28397729992866516,0.0009271923918277025
"[290, 576, 655, 2928]",0.29284921288490295,4,A_THBR_R1_CANDIDATE,1,1,11,1.1268335580825806,"[""pipe_fryum/Data/Images/Normal/050.JPG"",""pcb1/Data/Images/Anomaly/061.JPG"",""pcb4/Data/Images/Anomaly/077.JPG"",""chewinggum/Data/Images/Normal/352.JPG"",""pcb3/Data/Images/Anomaly/003.JPG"",""capsules/Data/Images/Anomaly/064.JPG""]",3609,3608,0.9999750852584839,0.387642749504721,c108643d5dd0bd7c892f6e43a2727c59e2d04ae3f3f1150af7d28b8580fa72a5,"[0,1,1,0,1,1]",b6c57f71cc822b6fb6da233f8b56b1ed0c70b8c22ad096a5079ac4890e719c23,0,0,1,0,1,2.1349048006448192e-06,0.026040300747017835,success,1,True,,0.7353633642196655,0.13768304884433746,1.2645165920257568,0.41573725640773773,0.3706886213130929,4.012565213429298e-08
"[364, 1113, 642, 2346, 384]",0.29288560152053833,5,A_THBR_R1_CANDIDATE,2,2,11,1.2149763107299805,"[""candle/Data/Images/Anomaly/025.JPG"",""pcb1/Data/Images/Anomaly/020.JPG"",""macaroni2/Data/Images/Normal/0294.JPG"",""candle/Data/Images/Anomaly/039.JPG"",""candle/Data/Images/Anomaly/088.JPG"",""pipe_fryum/Data/Images/Anomaly/025.JPG""]",3610,3609,0.9998875856399536,0.28670165779320766,d67f5f7cd7ab82b9d009d0222f1ea596141d80f403725cd9fc0925399ca183df,"[1,1,0,1,1,1]",029582bb5b815c331f264365674ccfcb45efec11a0ac260020c749a1a69bf740,0,0,1,0,1,3.4614547440687502e-06,0.0686628343986988,success,1,True,,0.6304807662963867,0.11804574728012085,1.333022117614746,0.4561665624380112,0.4602276169314525,6.550332720678398e-09
"[68, 128, 162, 258]",0.29291996359825134,4,A_THBR_R1_CANDIDATE,3,3,11,1.1686811447143555,"[""cashew/Data/Images/Anomaly/071.JPG"",""macaroni1/Data/Images/Anomaly/064.JPG"",""pcb3/Data/Images/Normal/0484.JPG"",""pcb3/Data/Images/Normal/0871.JPG"",""macaroni1/Data/Images/Anomaly/015.JPG"",""candle/Data/Images/Anomaly/037.JPG""]",3611,3610,0.9999469518661499,0.2590507490879794,6371ef881d6a3f492f5101328ad1730251b4bfb86492ae4886cd250242429027,"[1,1,0,0,1,1]",20635fb27b6b786160b9505dd3b3d6c76af69a1f130d5b68f8adef5dc1a66afc,0,0,1,0,1,3.1281647312816457e-06,0.045977978148272036,success,1,True,,0.7490487098693848,0.14024537801742554,1.3089265823364258,0.5574439391493797,0.21831993361480873,1.0799672267580718e-08
"[424, 559]",0.2929495573043823,2,A_THBR_R1_CANDIDATE,4,4,11,0.8779169917106628,"[""capsules/Data/Images/Anomaly/006.JPG"",""capsules/Data/Images/Normal/324.JPG"",""pcb3/Data/Images/Normal/0024.JPG"",""pcb3/Data/Images/Normal/0159.JPG"",""pcb1/Data/Images/Anomaly/064.JPG"",""pcb4/Data/Images/Normal/0619.JPG""]",3612,3611,0.9999630451202393,0.331208124891873,245b24e59152f9884d582ee5a432623b231a1b326fe826f6717248dbb79cebba,"[1,0,0,0,1,0]",ed08a3bc4241dfa02f63f147a6298c811833351b86a01676bc538ef9d675857a,0,0,1,0,1,2.183928000694652e-05,0.07198157499847527,success,1,True,,0.641089916229248,0.12003210932016373,0.9979491233825684,0.36381931602954865,0.4658195640931808,6.153467957403791e-09
"[1581, 21, 2642, 239]",0.29297590255737305,4,A_THBR_R1_CANDIDATE,5,5,11,1.0802923440933228,"[""pcb2/Data/Images/Normal/0427.JPG"",""macaroni1/Data/Images/Normal/0631.JPG"",""pcb4/Data/Images/Anomaly/028.JPG"",""capsules/Data/Images/Anomaly/038.JPG"",""pcb4/Data/Images/Anomaly/033.JPG"",""pipe_fryum/Data/Images/Anomaly/088.JPG""]",3613,3612,0.9998239874839783,0.3005780139937997,cdea95d948d37fc6f989a0b1a02cbe666c60996121673ac3f8416540232ce68f,"[0,0,1,1,1,1]",89f114fa3d4859cc2297479af661cc934de16cbd0285c0a149011c0971831517,0,0,1,0,1,1.9813733406008238e-05,0.09999994564082709,success,1,True,,0.7291973829269409,0.13652858138084412,1.2168209552764893,0.647921547293663,0.324989235343331,6.010923314647698e-09
"[392, 301, 176, 2419]",0.2929994761943817,4,A_THBR_R1_CANDIDATE,6,6,11,1.1082555055618286,"[""capsules/Data/Images/Anomaly/028.JPG"",""pcb1/Data/Images/Anomaly/023.JPG"",""macaroni2/Data/Images/Anomaly/085.JPG"",""capsules/Data/Images/Anomaly/062.JPG"",""fryum/Data/Images/Normal/307.JPG"",""pipe_fryum/Data/Images/Normal/148.JPG""]",3614,3613,0.9997097849845886,0.15558127674739808,7be2c33134b387cc5b92e3bb7850ee389e2a63331e5379e4bbbb68d7a5b96a94,"[1,1,1,1,0,0]",57f2a0135ec0aa7719e531269bd83b9885d53c882e2a3890ac694f4473a873d3,0,0,1,0,1,8.80406268235034e-06,0.0999999456269516,success,1,True,,0.6242945194244385,0.11688748747110367,1.2251429557800293,0.5042840614914894,0.375965556508163,1.1677229849738069e-08
"[505, 164, 312, 4265]",0.2930256724357605,4,A_THBR_R1_CANDIDATE,7,7,11,1.0483533143997192,"[""cashew/Data/Images/Normal/272.JPG"",""pcb3/Data/Images/Anomaly/090.JPG"",""pcb1/Data/Images/Normal/0208.JPG"",""macaroni2/Data/Images/Anomaly/019.JPG"",""candle/Data/Images/Anomaly/070.JPG"",""capsules/Data/Images/Anomaly/080.JPG""]",3615,3614,0.9999860525131226,0.29251510818721727,c18fbd4774f73ca5e1870ee361b19b296bed16d5e4a66eb0532b6629f3656560,"[0,1,0,1,1,1]",f94e12724569c572537ff1fdc16e61071efdf52efcaf1c6982bf20f86a12f0ca,0,0,1,0,1,2.9292003459266847e-06,0.015992134754253897,success,1,True,,0.6720733642578125,0.1258331835269928,1.1741864681243896,0.3399462755769491,0.43997349590063095,5.780648404396516e-09
"[521, 874, 302, 504]",0.29305148124694824,4,A_THBR_R1_CANDIDATE,8,8,11,1.0480197668075562,"[""pcb4/Data/Images/Anomaly/063.JPG"",""chewinggum/Data/Images/Anomaly/085.JPG"",""capsules/Data/Images/Anomaly/014.JPG"",""capsules/Data/Images/Normal/580.JPG"",""macaroni2/Data/Images/Normal/0631.JPG"",""pipe_fryum/Data/Images/Anomaly/074.JPG""]",3616,3615,0.9998568296432495,0.1943913402878934,b29c42d51caf5f03e9f43206516e1fc93ef2f6c9f0b6ee49cccb9368dbfa4b18,"[1,1,1,0,0,1]",99bee814f577c4fe24c949dc1739205d80efec40a5214dfdf533a4be5b959b78,0,0,1,0,1,2.0919538749168054e-05,0.04218633365862757,success,1,True,,0.6604458093643188,0.12365613877773285,1.1716759204864502,0.5367343984544277,0.3716582405367319,7.901209464478143e-09
[191],0.2930827736854553,1,A_THBR_R1_CANDIDATE,9,9,11,0.8358022570610046,"[""macaroni1/Data/Images/Normal/0685.JPG"",""fryum/Data/Images/Normal/377.JPG"",""pcb3/Data/Images/Normal/0294.JPG"",""pcb4/Data/Images/Normal/0674.JPG"",""macaroni1/Data/Images/Anomaly/063.JPG"",""pcb3/Data/Images/Normal/0694.JPG""]",3617,3616,0.9993663430213928,0.6989138722419739,2f7a8c76c306936b01936f9c68ad3778c4529e0fee8ae113b66e641628f3a3f2,"[0,0,0,0,1,0]",cc6a95ede68b696b9cc0056b94c09219f5eac8de869588ee7036a67f6a5e101e,0,0,1,0,1,5.777024618091853e-06,0.09999995269300868,success,1,True,,1.0457532405853271,0.19579775631427765,1.031599998474121,0.8115183115005493,0.14526090025901794,7.571149467366922e-07
