K_per_anomalous_sample,anchor_loss,anomaly_sample_count,arm,attempt_index,batch,consecutive_nonfinite_grad_skips,epoch,existing_task_loss,file_names,global_step_after,global_step_before,hard_background_max,hard_background_mean,image_sha256,labels,mask_sha256,nonfinite_grad_skip,nonfinite_loss_skip,optimizer_state_finite,paired_control_skip,parameters_finite,safe_anchor_effective_ratio,safe_anchor_max_family_ratio,status,successful_step,thbr_enabled,thbr_grad_norm,thbr_raw,thbr_weighted,total_loss,violation_fraction,weak_anomaly_mean,weak_anomaly_min
[22],0.2928105890750885,1,A_THBR_R1_CONTROL,0,0,,11,0.7816005945205688,"[""pcb1/Data/Images/Normal/0417.JPG"",""pcb2/Data/Images/Normal/0935.JPG"",""macaroni1/Data/Images/Normal/0178.JPG"",""pcb2/Data/Images/Normal/0968.JPG"",""capsules/Data/Images/Anomaly/040.JPG"",""capsules/Data/Images/Normal/026.JPG""]",3608,3607,0.9982692003250122,0.9288718700408936,780f1b1bc3dfc840e1c456c6e4e970d59f95b28d85c4a8c4dc00cc15e49c51f5,"[0,0,0,0,1,0]",0831d1dfe2d406990266ea89494279390debcb23ccbf6b8d69e774660093a7d8,0,0,1,0,1,1.0322276024461587e-05,0.09999994563169044,success,1,False,,1.0862798690795898,0.0,0.7816005945205688,0.8636363744735718,0.28397729992866516,0.0009271923918277025
"[290, 576, 655, 2928]",0.2928539514541626,4,A_THBR_R1_CONTROL,1,1,,11,1.126877784729004,"[""pipe_fryum/Data/Images/Normal/050.JPG"",""pcb1/Data/Images/Anomaly/061.JPG"",""pcb4/Data/Images/Anomaly/077.JPG"",""chewinggum/Data/Images/Normal/352.JPG"",""pcb3/Data/Images/Anomaly/003.JPG"",""capsules/Data/Images/Anomaly/064.JPG""]",3609,3608,0.9999746084213257,0.3861940105643953,c108643d5dd0bd7c892f6e43a2727c59e2d04ae3f3f1150af7d28b8580fa72a5,"[0,1,1,0,1,1]",b6c57f71cc822b6fb6da233f8b56b1ed0c70b8c22ad096a5079ac4890e719c23,0,0,1,0,1,2.1935284384330717e-06,0.026887997241597083,success,1,False,,0.735236644744873,0.0,1.126877784729004,0.4164285622537136,0.369743664014095,3.9813393470922165e-08
"[364, 1113, 642, 2346, 384]",0.2928941249847412,5,A_THBR_R1_CONTROL,2,2,,11,1.2147828340530396,"[""candle/Data/Images/Anomaly/025.JPG"",""pcb1/Data/Images/Anomaly/020.JPG"",""macaroni2/Data/Images/Normal/0294.JPG"",""candle/Data/Images/Anomaly/039.JPG"",""candle/Data/Images/Anomaly/088.JPG"",""pipe_fryum/Data/Images/Anomaly/025.JPG""]",3610,3609,0.9998836517333984,0.28496990631663266,d67f5f7cd7ab82b9d009d0222f1ea596141d80f403725cd9fc0925399ca183df,"[1,1,0,1,1,1]",029582bb5b815c331f264365674ccfcb45efec11a0ac260020c749a1a69bf740,0,0,1,0,1,3.411267304571559e-06,0.08266430093909433,success,1,False,,0.6301015019416809,0.0,1.2147828340530396,0.45580717623233796,0.45956728235998945,6.550332720678398e-09
"[68, 128, 162, 258]",0.2929314076900482,4,A_THBR_R1_CONTROL,3,3,,11,1.169730305671692,"[""cashew/Data/Images/Anomaly/071.JPG"",""macaroni1/Data/Images/Anomaly/064.JPG"",""pcb3/Data/Images/Normal/0484.JPG"",""pcb3/Data/Images/Normal/0871.JPG"",""macaroni1/Data/Images/Anomaly/015.JPG"",""candle/Data/Images/Anomaly/037.JPG""]",3611,3610,0.9999426603317261,0.2565047916758747,6371ef881d6a3f492f5101328ad1730251b4bfb86492ae4886cd250242429027,"[1,1,0,0,1,1]",20635fb27b6b786160b9505dd3b3d6c76af69a1f130d5b68f8adef5dc1a66afc,0,0,1,0,1,3.0485202689498678e-06,0.04420032853694766,success,1,False,,0.7489285469055176,0.0,1.169730305671692,0.5603509172797203,0.2155944919569306,1.0715629272795013e-08
"[424, 559]",0.29296374320983887,2,A_THBR_R1_CONTROL,4,4,,11,0.8778917789459229,"[""capsules/Data/Images/Anomaly/006.JPG"",""capsules/Data/Images/Normal/324.JPG"",""pcb3/Data/Images/Normal/0024.JPG"",""pcb3/Data/Images/Normal/0159.JPG"",""pcb1/Data/Images/Anomaly/064.JPG"",""pcb4/Data/Images/Normal/0619.JPG""]",3612,3611,0.9999614953994751,0.32819209026138196,245b24e59152f9884d582ee5a432623b231a1b326fe826f6717248dbb79cebba,"[1,0,0,0,1,0]",ed08a3bc4241dfa02f63f147a6298c811833351b86a01676bc538ef9d675857a,0,0,1,0,1,2.0991147813394746e-05,0.09999994569738338,success,1,False,,0.6405193209648132,0.0,0.8778917789459229,0.36560823023319244,0.4648135292372899,6.058067381076171e-09
"[1581, 21, 2642, 239]",0.29299214482307434,4,A_THBR_R1_CONTROL,5,5,,11,1.0805182456970215,"[""pcb2/Data/Images/Normal/0427.JPG"",""macaroni1/Data/Images/Normal/0631.JPG"",""pcb4/Data/Images/Anomaly/028.JPG"",""capsules/Data/Images/Anomaly/038.JPG"",""pcb4/Data/Images/Anomaly/033.JPG"",""pipe_fryum/Data/Images/Anomaly/088.JPG""]",3613,3612,0.9998137354850769,0.2968094674870372,cdea95d948d37fc6f989a0b1a02cbe666c60996121673ac3f8416540232ce68f,"[0,0,1,1,1,1]",89f114fa3d4859cc2297479af661cc934de16cbd0285c0a149011c0971831517,0,0,1,0,1,6.9365723230716415e-06,0.08498254224616007,success,1,False,,0.7278999090194702,0.0,1.0805182456970215,0.6483000367879868,0.3235991261656501,5.964145621817352e-09
"[392, 301, 176, 2419]",0.29301413893699646,4,A_THBR_R1_CONTROL,6,6,,11,1.1091662645339966,"[""capsules/Data/Images/Anomaly/028.JPG"",""pcb1/Data/Images/Anomaly/023.JPG"",""macaroni2/Data/Images/Anomaly/085.JPG"",""capsules/Data/Images/Anomaly/062.JPG"",""fryum/Data/Images/Normal/307.JPG"",""pipe_fryum/Data/Images/Normal/148.JPG""]",3614,3613,0.9996970891952515,0.15534492232836783,7be2c33134b387cc5b92e3bb7850ee389e2a63331e5379e4bbbb68d7a5b96a94,"[1,1,1,1,0,0]",57f2a0135ec0aa7719e531269bd83b9885d53c882e2a3890ac694f4473a873d3,0,0,1,0,1,1.1807847915025152e-05,0.09999994568558004,success,1,False,,0.6248105764389038,0.0,1.1091662645339966,0.5058418326079845,0.3745777606818592,1.158635853926171e-08
"[505, 164, 312, 4265]",0.2930372655391693,4,A_THBR_R1_CONTROL,7,7,,11,1.0467314720153809,"[""cashew/Data/Images/Normal/272.JPG"",""pcb3/Data/Images/Anomaly/090.JPG"",""pcb1/Data/Images/Normal/0208.JPG"",""macaroni2/Data/Images/Anomaly/019.JPG"",""candle/Data/Images/Anomaly/070.JPG"",""capsules/Data/Images/Anomaly/080.JPG""]",3615,3614,0.9999873638153076,0.29396508041827474,c18fbd4774f73ca5e1870ee361b19b296bed16d5e4a66eb0532b6629f3656560,"[0,1,0,1,1,1]",f94e12724569c572537ff1fdc16e61071efdf52efcaf1c6982bf20f86a12f0ca,0,0,1,0,1,2.859370040525163e-06,0.01771088873232815,success,1,False,,0.6715168356895447,0.0,1.0467314720153809,0.34063033759593964,0.44368308037519455,5.735663055617124e-09
"[521, 874, 302, 504]",0.2930607497692108,4,A_THBR_R1_CONTROL,8,8,,11,1.0471543073654175,"[""pcb4/Data/Images/Anomaly/063.JPG"",""chewinggum/Data/Images/Anomaly/085.JPG"",""capsules/Data/Images/Anomaly/014.JPG"",""capsules/Data/Images/Normal/580.JPG"",""macaroni2/Data/Images/Normal/0631.JPG"",""pipe_fryum/Data/Images/Anomaly/074.JPG""]",3616,3615,0.9998557567596436,0.19426939155221135,b29c42d51caf5f03e9f43206516e1fc93ef2f6c9f0b6ee49cccb9368dbfa4b18,"[1,1,1,0,0,1]",99bee814f577c4fe24c949dc1739205d80efec40a5214dfdf533a4be5b959b78,0,0,1,0,1,1.8137726385575807e-05,0.03883310330276575,success,1,False,,0.6598836183547974,0.0,1.0471543073654175,0.5359065793454647,0.3727564864848052,7.96317944917746e-09
[191],0.2930891811847687,1,A_THBR_R1_CONTROL,9,9,,11,0.843476414680481,"[""macaroni1/Data/Images/Normal/0685.JPG"",""fryum/Data/Images/Normal/377.JPG"",""pcb3/Data/Images/Normal/0294.JPG"",""pcb4/Data/Images/Normal/0674.JPG"",""macaroni1/Data/Images/Anomaly/063.JPG"",""pcb3/Data/Images/Normal/0694.JPG""]",3617,3616,0.9993242025375366,0.7014819979667664,2f7a8c76c306936b01936f9c68ad3778c4529e0fee8ae113b66e641628f3a3f2,"[0,0,0,0,1,0]",cc6a95ede68b696b9cc0056b94c09219f5eac8de869588ee7036a67f6a5e101e,0,0,1,0,1,4.914985900958455e-06,0.01442052577844351,success,1,False,,1.0472253561019897,0.0,0.843476414680481,0.8167539238929749,0.14494289457798004,7.54163238525507e-07
