attempt_index,epoch,batch,file_names,image_sha256,mask_sha256,labels,cls_grad_norm,focal_grad_norm,normal_dice_grad_norm,abnormal_dice_grad_norm,thbr_grad_norm,existing_task_grad_norm,thbr_to_existing_task_ratio,thbr_cosine_to_focal,thbr_cosine_to_normal_dice,thbr_cosine_to_abnormal_dice,thbr_cosine_to_existing_task,thbr_cosine_to_focal_defined,thbr_cosine_to_normal_dice_defined,thbr_cosine_to_abnormal_dice_defined,thbr_cosine_to_existing_task_defined,focal_top_k_overlap_with_thbr_hard_background,thbr_matched_violation_fraction,finite,anomalous_samples
0,11,0,"[""pcb1/Data/Images/Normal/0417.JPG"",""pcb2/Data/Images/Normal/0935.JPG"",""macaroni1/Data/Images/Normal/0178.JPG"",""pcb2/Data/Images/Normal/0968.JPG"",""capsules/Data/Images/Anomaly/040.JPG"",""capsules/Data/Images/Normal/026.JPG""]",780f1b1bc3dfc840e1c456c6e4e970d59f95b28d85c4a8c4dc00cc15e49c51f5,0831d1dfe2d406990266ea89494279390debcb23ccbf6b8d69e774660093a7d8,"[0,0,0,0,1,0]",0.8018065690994263,0.0020076935179531574,0.0,0.5271741151809692,1.105282187461853,1.1163662672042847,0.9900712874716471,-0.11011133342981339,nan,0.9487569332122803,0.5821074843406677,True,False,True,True,0.045454545454545456,0.8636363636363636,True,1
1,11,1,"[""pipe_fryum/Data/Images/Normal/050.JPG"",""pcb1/Data/Images/Anomaly/061.JPG"",""pcb4/Data/Images/Anomaly/077.JPG"",""chewinggum/Data/Images/Normal/352.JPG"",""pcb3/Data/Images/Anomaly/003.JPG"",""capsules/Data/Images/Anomaly/064.JPG""]",c108643d5dd0bd7c892f6e43a2727c59e2d04ae3f3f1150af7d28b8580fa72a5,b6c57f71cc822b6fb6da233f8b56b1ed0c70b8c22ad096a5079ac4890e719c23,"[0,1,1,0,1,1]",1.3102566003799438,0.15697608888149261,0.0,5.313776969909668,1.3516185283660889,5.034064769744873,0.26849446524588927,0.10731876641511917,nan,0.28094547986984253,0.3623816668987274,True,False,True,True,0.15507687033329162,0.4162094019894747,True,4
2,11,2,"[""candle/Data/Images/Anomaly/025.JPG"",""pcb1/Data/Images/Anomaly/020.JPG"",""macaroni2/Data/Images/Normal/0294.JPG"",""candle/Data/Images/Anomaly/039.JPG"",""candle/Data/Images/Anomaly/088.JPG"",""pipe_fryum/Data/Images/Anomaly/025.JPG""]",d67f5f7cd7ab82b9d009d0222f1ea596141d80f403725cd9fc0925399ca183df,029582bb5b815c331f264365674ccfcb45efec11a0ac260020c749a1a69bf740,"[1,1,0,1,1,1]",0.8345385789871216,0.11490652710199356,0.0,2.68801212310791,0.9144976735115051,3.8431878089904785,0.23795289716832385,-0.07229319214820862,nan,0.34072574973106384,0.3349263370037079,True,False,True,True,0.2355804867302509,0.45512692527316984,True,5
3,11,3,"[""cashew/Data/Images/Anomaly/071.JPG"",""macaroni1/Data/Images/Anomaly/064.JPG"",""pcb3/Data/Images/Normal/0484.JPG"",""pcb3/Data/Images/Normal/0871.JPG"",""macaroni1/Data/Images/Anomaly/015.JPG"",""candle/Data/Images/Anomaly/037.JPG""]",6371ef881d6a3f492f5101328ad1730251b4bfb86492ae4886cd250242429027,20635fb27b6b786160b9505dd3b3d6c76af69a1f130d5b68f8adef5dc1a66afc,"[1,1,0,0,1,1]",0.6080108880996704,0.06178117170929909,0.0,3.115234136581421,0.5521665811538696,3.755922794342041,0.14701222878849154,0.06966409087181091,nan,-0.6516454815864563,-0.7036247849464417,True,False,True,True,0.07003875045388526,0.5512552566246137,True,4
4,11,4,"[""capsules/Data/Images/Anomaly/006.JPG"",""capsules/Data/Images/Normal/324.JPG"",""pcb3/Data/Images/Normal/0024.JPG"",""pcb3/Data/Images/Normal/0159.JPG"",""pcb1/Data/Images/Anomaly/064.JPG"",""pcb4/Data/Images/Normal/0619.JPG""]",245b24e59152f9884d582ee5a432623b231a1b326fe826f6717248dbb79cebba,ed08a3bc4241dfa02f63f147a6298c811833351b86a01676bc538ef9d675857a,"[1,0,0,0,1,0]",0.463527649641037,0.03537951037287712,0.0,0.3894274830818176,0.7056952714920044,0.44353994727134705,1.5910523411292332,-0.5745096802711487,nan,-0.6182019710540771,0.1783922016620636,True,False,True,True,0.28537735849056606,0.35731343031694063,True,2
5,11,5,"[""pcb2/Data/Images/Normal/0427.JPG"",""macaroni1/Data/Images/Normal/0631.JPG"",""pcb4/Data/Images/Anomaly/028.JPG"",""capsules/Data/Images/Anomaly/038.JPG"",""pcb4/Data/Images/Anomaly/033.JPG"",""pipe_fryum/Data/Images/Anomaly/088.JPG""]",cdea95d948d37fc6f989a0b1a02cbe666c60996121673ac3f8416540232ce68f,89f114fa3d4859cc2297479af661cc934de16cbd0285c0a149011c0971831517,"[0,0,1,1,1,1]",0.7344802021980286,0.2326146513223648,0.0,0.605600893497467,4.779777526855469,1.2040482759475708,3.9697557168875757,-0.7796878814697266,nan,-0.852443516254425,-0.9122099280357361,True,False,True,True,0.11893954931207802,0.6518424831131361,True,4
6,11,6,"[""capsules/Data/Images/Anomaly/028.JPG"",""pcb1/Data/Images/Anomaly/023.JPG"",""macaroni2/Data/Images/Anomaly/085.JPG"",""capsules/Data/Images/Anomaly/062.JPG"",""fryum/Data/Images/Normal/307.JPG"",""pipe_fryum/Data/Images/Normal/148.JPG""]",7be2c33134b387cc5b92e3bb7850ee389e2a63331e5379e4bbbb68d7a5b96a94,57f2a0135ec0aa7719e531269bd83b9885d53c882e2a3890ac694f4473a873d3,"[1,1,1,1,0,0]",1.0392321348190308,0.032503385096788406,0.0,3.026984691619873,6.684334754943848,2.874589443206787,2.3253180626325274,0.2629564702510834,nan,-0.9199352860450745,-0.884172260761261,True,False,True,True,0.09497172680564578,0.5107523557565505,True,4
7,11,7,"[""cashew/Data/Images/Normal/272.JPG"",""pcb3/Data/Images/Anomaly/090.JPG"",""pcb1/Data/Images/Normal/0208.JPG"",""macaroni2/Data/Images/Anomaly/019.JPG"",""candle/Data/Images/Anomaly/070.JPG"",""capsules/Data/Images/Anomaly/080.JPG""]",c18fbd4774f73ca5e1870ee361b19b296bed16d5e4a66eb0532b6629f3656560,f94e12724569c572537ff1fdc16e61071efdf52efcaf1c6982bf20f86a12f0ca,"[0,1,0,1,1,1]",0.2761267125606537,0.29157546162605286,0.0,2.7509422302246094,0.9155087471008301,3.4468908309936523,0.2656042189873029,0.09488262981176376,nan,0.5150790214538574,0.41699182987213135,True,False,True,True,0.13253301115827598,0.3419719443273858,True,4
8,11,8,"[""pcb4/Data/Images/Anomaly/063.JPG"",""chewinggum/Data/Images/Anomaly/085.JPG"",""capsules/Data/Images/Anomaly/014.JPG"",""capsules/Data/Images/Normal/580.JPG"",""macaroni2/Data/Images/Normal/0631.JPG"",""pipe_fryum/Data/Images/Anomaly/074.JPG""]",b29c42d51caf5f03e9f43206516e1fc93ef2f6c9f0b6ee49cccb9368dbfa4b18,99bee814f577c4fe24c949dc1739205d80efec40a5214dfdf533a4be5b959b78,"[1,1,1,0,0,1]",0.33986181020736694,0.015508653596043587,0.0,0.6776313185691833,0.6688781976699829,0.7489168643951416,0.8931274343906055,0.5586820840835571,nan,0.8036838173866272,0.6065092086791992,True,False,True,True,0.11171562983425548,0.5316302757204943,True,4
9,11,9,"[""macaroni1/Data/Images/Normal/0685.JPG"",""fryum/Data/Images/Normal/377.JPG"",""pcb3/Data/Images/Normal/0294.JPG"",""pcb4/Data/Images/Normal/0674.JPG"",""macaroni1/Data/Images/Anomaly/063.JPG"",""pcb3/Data/Images/Normal/0694.JPG""]",2f7a8c76c306936b01936f9c68ad3778c4529e0fee8ae113b66e641628f3a3f2,cc6a95ede68b696b9cc0056b94c09219f5eac8de869588ee7036a67f6a5e101e,"[0,0,0,0,1,0]",0.2964772880077362,0.0045435442589223385,0.0,2.548797607421875,5.14841365814209,2.398144245147705,2.1468323552918083,0.6612475514411926,nan,0.6951540112495422,0.6891757249832153,True,False,True,True,0.0,0.806282722513089,True,1
