P,arm,background_count,background_max,background_mean,background_median,background_p900,background_p950,background_p990,background_p995,background_top_0.001_mass_fraction,background_top_0.005_mass_fraction,background_top_0.01_mass_fraction,background_top_0.05_mass_fraction,boundary_count,boundary_max,boundary_mean,boundary_median,boundary_p950,boundary_p990,category,far_background_count,far_background_max,far_background_mean,far_background_median,far_background_p900,far_background_p950,far_background_p990,far_background_p995,file_name,interior_count,interior_max,interior_mean,interior_median,interior_p950,interior_p990,near_background_count,near_background_max,near_background_mean,near_background_median,near_background_p900,near_background_p950,near_background_p990,near_background_p995,positive_count,positive_max,positive_mean,positive_median,positive_p950,positive_p990,top_P_P,top_P_anomaly_boundary_fraction,top_P_anomaly_fraction,top_P_far_background_fraction,top_P_near_background_fraction
503,A_SAFE_ANCHOR_E10,267821,0.056548137217760086,9.700726440547417e-06,7.539386892574385e-09,1.1055779403079669e-08,1.4419455851566454e-08,6.861380370537206e-07,1.625093682378065e-05,0.8866374767613817,0.9967232386153252,0.9989898148112665,0.9992360266323687,326,0.055208683013916016,0.01464024874090917,0.007930340711027384,0.04542671702802181,0.05088258255273104,candle,267369,0.010448625311255455,1.6870731864518932e-06,7.539386892574385e-09,1.0969742447741737e-08,1.4195902231506352e-08,3.230971117318404e-07,4.713858834292733e-06,candle/Data/Images/Anomaly/026.JPG,177,0.044472914189100266,0.02831047249689572,0.02995811589062214,0.04016264975070953,0.042847529649734505,452,0.056548137217760086,0.004749971648772994,0.0010577196953818202,0.015250725392252217,0.022571445535868404,0.04167220003902921,0.05088038103654983,503,0.055208683013916016,0.019450645569556526,0.018833130598068237,0.04342664740979671,0.04976975880563259,503,0.38966202783300197,0.731610337972167,0.033797216699801194,0.2345924453280318
667,A_SAFE_ANCHOR_E10,267657,0.05910154804587364,1.0783667754987359e-05,7.307423999236562e-09,1.0715629272795013e-08,1.4085428823307211e-08,1.156450066446279e-06,2.627477442729287e-05,0.8605677884832212,0.9956323245035393,0.9990101350890832,0.9993277197489656,528,0.04624880477786064,0.006201353153082409,0.00236214988399297,0.023434469569474457,0.03588871739804746,candle,266993,0.015921683982014656,1.615256846744523e-06,7.307423999236562e-09,1.0632239977326208e-08,1.3759140493618816e-08,3.974162439135398e-07,5.215314631640949e-06,candle/Data/Images/Anomaly/023.JPG,139,0.025371313095092773,0.010113878452154999,0.012624949216842651,0.01934771444648504,0.02270374782383442,664,0.05910154804587364,0.0036973823629725773,0.0006412217044271529,0.009116756729781645,0.020302559714764364,0.04546345561742784,0.05173552518710486,667,0.04624880477786064,0.007016707001015077,0.0037580945063382387,0.02219487205147743,0.035237019658088696,667,0.42128935532233885,0.5907046476761619,0.06896551724137931,0.3403298350824588
12,A_SAFE_ANCHOR_E10,268312,1.9638046069303527e-06,1.1220316676788102e-08,7.364737264481391e-09,1.1406728006591038e-08,1.4532547609746871e-08,3.950356131099397e-08,1.265266860173142e-07,0.1120027851126289,0.23950570350491523,0.2693116004866008,0.34020582011173833,12,1.948522140082787e-06,1.7614558297888532e-06,1.7637880205256806e-06,1.940182062298845e-06,1.9468541245259985e-06,candle,268222,1.8304672266822308e-06,1.0754577991891569e-08,7.364737264481391e-09,1.1406728006591038e-08,1.4419455851566454e-08,3.8588463979749577e-08,1.1122408949404416e-07,candle/Data/Images/Anomaly/045.JPG,0,nan,nan,nan,nan,nan,90,1.9638046069303527e-06,1.3992354449025394e-06,1.3844137356500141e-06,1.7507862594356996e-06,1.8327380246319079e-06,1.9034263948469742e-06,1.933615500888663e-06,12,1.948522140082787e-06,1.7614558297888532e-06,1.7637880205256806e-06,1.940182062298845e-06,1.9468541245259985e-06,12,0.25,0.25,0.25,0.5
429,A_SAFE_ANCHOR_E10,267895,5.152235971195296e-08,7.886346786578111e-09,7.307423999236562e-09,1.0145353890322895e-08,1.158635853926171e-08,1.571343233308653e-08,1.8447226608482382e-08,0.004995830557196787,0.017511575688396248,0.028182370012935692,0.09367008396589954,357,1.2047905784129398e-08,9.253102846654234e-09,8.88356854744643e-09,1.1514224951270079e-08,1.1902052321488554e-08,candle,267457,5.152235971195296e-08,7.884367781264567e-09,7.307423999236562e-09,1.0145353890322895e-08,1.158635853926171e-08,1.571343233308653e-08,1.8514946020786738e-08,candle/Data/Images/Anomaly/033.JPG,72,1.1861120086109622e-08,1.0037832503467175e-08,1.022492401858699e-08,1.1627250628976072e-08,1.1795584917706493e-08,438,1.1677229849738069e-08,9.094791590561443e-09,8.780138394115511e-09,1.0799672267580718e-08,1.1055779403079669e-08,1.1496191554272173e-08,1.1569677647038645e-08,429,1.2047905784129398e-08,9.384805726119343e-09,9.23744991609965e-09,1.158635853926171e-08,1.1861120086109622e-08,429,0.0,0.0,1.0,0.0
462,A_SAFE_ANCHOR_E10,267862,0.008396700024604797,3.4394336348582408e-06,5.515933043653831e-09,1.3232035023236222e-08,2.510999053129126e-08,2.034072167589329e-06,2.556607432779856e-05,0.7118248357867436,0.9835618955607057,0.9955943949921581,0.9981897990492666,355,0.02693789079785347,0.004691991683357384,0.0024438865948468447,0.016578919254243374,0.02241939675062893,pcb3,267248,0.0022300120908766985,1.002683084708746e-06,5.515933043653831e-09,1.3026892453638084e-08,2.3773662150006203e-08,1.2193547718197806e-06,9.619603661122324e-06,pcb3/Data/Images/Anomaly/070.JPG,107,0.04981965571641922,0.014942342960536828,0.010489091277122498,0.03928517512977122,0.04868809595704077,614,0.008396700024604797,0.001064052969508396,0.0003608453116612509,0.0033018964342772976,0.004277277039363982,0.006656900919042528,0.006903838366270065,462,0.04981965571641922,0.007065990788678164,0.003854480222798884,0.025896975211799143,0.03958540484309196,462,0.4458874458874459,0.6731601731601732,0.021645021645021644,0.3051948051948052
6963,A_SAFE_ANCHOR_E10,261361,4.2051322424185855e-08,6.981163179296299e-09,5.515933043653831e-09,1.088437517893226e-08,1.6990270523820072e-08,2.7150374393158927e-08,2.981885316444277e-08,0.005375578468399437,0.024070642893105825,0.04434899329551227,0.16237730345283416,1877,8.543244334191513e-09,6.496083530917169e-09,6.601707180919902e-09,8.152020392060422e-09,8.47676062676328e-09,pcb3,259337,4.2051322424185855e-08,6.984859429705983e-09,5.515933043653831e-09,1.0969742447741737e-08,1.712352748484136e-08,2.7150374393158927e-08,3.005272475320453e-08,pcb3/Data/Images/Anomaly/043.JPG,5086,8.47676062676328e-09,5.907579850743771e-09,5.559194882209795e-09,7.539386892574385e-09,7.839721760660723e-09,2024,8.67778116031559e-09,6.507559181027477e-09,6.448779288348305e-09,8.152020392060422e-09,8.345340418713931e-09,8.594838920572554e-09,8.61025029053053e-09,6963,8.543244334191513e-09,6.066221443115661e-09,5.691028093224304e-09,7.839721760660723e-09,8.345340418713931e-09,6963,0.0,0.0,1.0,0.0
594,A_SAFE_ANCHOR_E10,267730,0.0065388246439397335,2.407708476850378e-06,5.559194882209795e-09,1.3026892453638084e-08,2.2508451991143374e-08,8.841562015505402e-07,1.1813358405560442e-05,0.8187486594067084,0.9879555148857858,0.9958388602448126,0.9973980416999223,591,0.006180981174111366,0.0012247285610645922,0.0006337125669233501,0.004074146272614598,0.005072565423324709,pcb3,266764,0.001237579737789929,2.3533504602338196e-07,5.559194882209795e-09,1.272512406558235e-08,2.1144732187394766e-08,2.7961729642811406e-07,2.003986753607005e-06,pcb3/Data/Images/Anomaly/084.JPG,3,0.00466365460306406,0.00346998133075734,0.0031603528186678886,0.004513324424624443,0.004633588567376137,966,0.0065388246439397335,0.0006023156027844413,0.00011126175377285108,0.0018530629458837211,0.003469969204161316,0.005523208039812744,0.005846583819948136,594,0.006180981174111366,0.0012360682215175858,0.0006361923879012465,0.004099543578922749,0.005065948148258041,594,0.5420875420875421,0.5471380471380471,0.03872053872053872,0.41414141414141414
955,A_SAFE_ANCHOR_E10,267369,0.01932658813893795,9.900852146432494e-06,5.515933043653831e-09,1.3545824906202597e-08,2.3405085869399045e-08,4.125011855649063e-06,5.9748395433404606e-05,0.7480971814690877,0.98852289699817,0.9980195497443853,0.9993653390894552,955,0.01589111238718033,0.002041146697726154,0.000550624739844352,0.00807762611657381,0.01168194869533183,pcb3,265793,0.0036076169926673174,7.192669096899709e-07,5.515933043653831e-09,1.3129063169969868e-08,2.0816912638110807e-08,7.281103080458706e-07,5.27596512256423e-06,pcb3/Data/Images/Anomaly/082.JPG,0,nan,nan,nan,nan,nan,1576,0.01932658813893795,0.0015583786978504333,0.00013264696463011205,0.0057469867169857025,0.00851130299270153,0.014375041704624891,0.015360745484940708,955,0.01589111238718033,0.002041146697726154,0.000550624739844352,0.00807762611657381,0.01168194869533183,955,0.45968586387434557,0.45968586387434557,0.05445026178010471,0.48586387434554973
282,A_SAFE_ANCHOR_E10,268042,1.130080818256829e-05,1.4575501544108524e-08,7.422499059828169e-09,1.2626097500856304e-08,1.766708557227048e-08,4.546832244045618e-08,1.4337351217363903e-07,0.2542215565002359,0.38502031582310753,0.4097280623471876,0.481900183316661,254,9.25956919672899e-06,3.1925912765466025e-06,2.6068270244650193e-06,7.538302202192426e-06,8.740422235860023e-06,capsules,267673,7.353604814852588e-06,1.1729512446275013e-08,7.422499059828169e-09,1.2626097500856304e-08,1.7393183782132837e-08,4.3048544284829404e-08,8.62837126192062e-08,capsules/Data/Images/Anomaly/096.JPG,28,5.704675004380988e-06,3.3452391099737203e-06,3.6550060258377925e-06,5.301340820551559e-06,5.6113559367076965e-06,369,1.130080818256829e-05,2.0790590781955707e-06,9.422445828022319e-07,6.329810730676397e-06,8.557161709177305e-06,1.0530858598940539e-05,1.0760650584416008e-05,282,9.25956919672899e-06,3.207747799014543e-06,2.678968144209648e-06,7.440286935889162e-06,8.635145386506337e-06,282,0.4432624113475177,0.5070921985815603,0.20212765957446807,0.2907801418439716
1274,A_SAFE_ANCHOR_E10,267050,0.4996948540210724,0.00015735708376445924,7.658115031006218e-09,1.4195902231506352e-08,2.3588654585182667e-08,5.327957819645429e-06,0.00016865275392774493,0.8954751240022103,0.9985563387427825,0.9998704412073269,0.9999496041937757,994,0.7442383170127869,0.10266866785719599,0.02035182435065508,0.44710909873247145,0.6303405481576919,capsules,266067,0.22397057712078094,2.589973970817713e-05,7.658115031006218e-09,1.386705417161238e-08,2.2333287219566955e-08,9.533515026305395e-07,1.4229824046196882e-05,capsules/Data/Images/Anomaly/085.JPG,280,0.7917405366897583,0.19989222885051278,0.12085923552513123,0.6626645028591158,0.7608748275041579,983,0.4996948540210724,0.03573870109294331,0.0008119703852571547,0.14080820679664613,0.22555307298898697,0.3699794983863828,0.422482509016991,1274,0.7917405366897583,0.12403648346012275,0.036493830382823944,0.5117838382720946,0.6947219324111937,1274,0.45682888540031397,0.6467817896389325,0.1271585557299843,0.2260596546310832
