path,exists,git_tracked,sha256,purpose
audit/H2_CURRENT_ARCHITECTURE_AND_GIT_HANDOFF.md,true,true,c5aea3f019ff42c42824650ed7a881a321878e6c1ee059aab4a46b110f1f67cd,current H2 architecture and eligible checkpoint handoff
audit/H2_HA_REPLICATION_FINAL_AUDIT.md,true,true,0021443bc1061b1fce6b0afaa5f01918b96942b33e6a58c0b27501574b1b7cde,invalid H/A replication final audit
audit/MACHINE_HANDOFF_HA_REPLICATION.md,true,true,5265643da47c70f1a0587ebd0655a2f923977762b8831e26907ee9fd810c1323,H/A replication handoff and validity labels
results/H2_HA_REPLICATION_FINAL_DECISION.md,true,true,2f70acabce35e88b2344f292db667dab5a36c9b25752372b04920f2e7950faa7,H/A replication decision
results/ACD_CLIP_PHASE_COMPARISON_PUBLISHED.md,true,true,7f92d7cbbaf3510e8de311db6547ed9b038180266a6f6fb5c0a2548cb9b233c1,published H2 and Phase 2 comparison
audit/H2_4ARM_FINAL_PROTOCOL_AUDIT.md,true,true,760e63dede2cba52dc6d91744d096d3ebf7b471fe6d6992334e9049ae2dca233,eligible seed-0 final protocol audit
audit/H2_4ARM_E15_E20_FREEZE.json,true,true,05af12ce0a015e4e972dafec0d8cb0fc561264f7fbb8cfe2b0454dc398bbfe94,eligible seed-0 freeze manifest
audit/H2_SEED0_EXPORT_RECONCILIATION.json,true,true,d2a6236068bad0105d9159d018c254af4284f3f16672c92bbc7f8e4931474a56,seed-0 export reconciliation
audit/H2_SEED0_EXPORT_RECONCILIATION.md,true,true,bcc8b1911387009fcd350ab015ed90e9e129923d464dd8b3b9db750c1e97157a,seed-0 export reconciliation explanation
audit/H2_SEED0_STEP_RECONCILIATION.json,true,true,7f0bb80626ea7d3f2b8953f4db1a914ac00a8011414268f3fa1065edb266670a,seed-0 step reconciliation
audit/H2_SEED0_STEP_RECONCILIATION.md,true,true,c6c4e6810b04cec20ca3a20ce52719853a27258ba78a553687db01f01fc00b6b,seed-0 step reconciliation explanation
audit/H2_SEED0_PROVENANCE_RECONCILIATION.md,true,true,a822971b0a8caa8b99dda2f84564146c0319d2f7c4d50ba30d870ea3e191c120,seed-0 provenance reconciliation
configs/h2_clean_factorial_v1.json,true,true,36d6140906faf04d03960d97e271ec602db651df65121851d19184096ef24a91,frozen H2 scientific configuration
scripts/run_h2_clean_factorial.sh,true,true,6b8b40ca7cfba72e7f171cec61094543070565a4c00aa7d68eeb6de18302fb38,H2 factorial launcher
scripts/run_h2_ha_replication_e15.sh,true,true,c48738d46c477b73d6181dc8d13b579123d239c8a411a9d712b3e2c6b2d06efc,H/A replication launcher
scripts/run_h2_clean_medical_eval.sh,true,true,ed852628ccdb55b19fcc8d6eeba366230ca4973b21386abfd496ae84df5ffbe7,H2 Medical evaluation launcher
forensic_archive/README.md,true,false,20c534976b895b74fa5b18745e3d40120b047fc5f53c3f8a6d6af1f62a4e7498,forensic-only archive label and validity firewall
forensic_archive/MEDICAL_EVALUATOR_HANDOFF.md,true,false,9e820d7fa4e869ceceeb0e7f2bad41c7b256d16254afbd749316652ff3eecd3f,external Medical evaluator restore path
forensic_archive/DATASET_RESTORE.md,true,false,bc6cb36dc96954da2c676a949b7e7cc2df90aa4eb86eb1255d24f971e72cdaa3,external dataset restore notes
