epoch,medical_macro_pixel_ap,medical_macro_pixel_auroc
1,32.47193933333333,85.31286016666667
2,32.65486833333333,87.44517466666666
3,32.4913795,86.52239683333333
4,33.26048183333334,87.14116633333333
5,33.6652945,86.157846
6,33.317113166666665,85.49038683333333
7,36.6339995,88.2630985
8,35.793374166666666,87.87851483333334
9,32.30147083333333,85.72294249999999
10,31.862741,81.45832933333334
11,33.7098465,86.63279183333333
12,34.26891683333333,87.36256366666667
13,34.996509499999995,87.16448099999998
14,33.00526083333333,87.59817483333332
15,35.28802366666667,89.35476933333332
16,34.92596483333333,89.02232966666668
17,34.13589983333333,89.57482699999998
18,31.73161466666667,88.15424433333334
19,31.808624999999996,87.89424633333333
20,32.67586383333333,88.67945616666668
