class,n_images,n_pixels,normal_pixels,anomaly_pixels,matched_pairs_n,HRIP_matched_win,E_nonlocal_matched_win,HRIP_shifted_matched_win,HRIP_C_AP_capture,E_nonlocal_C_AP_capture,HRIP_R_pos_capture,E_nonlocal_R_pos_capture,HRIP_R_neg_capture,E_nonlocal_R_neg_capture
candle,200,53664800,53592235,72565,1262,0.6679873217115689,0.6450079239302694,0.4152139461172742,0.011312605970588252,0.015012485995634437,0.008052437666317455,0.006772065726143518,0.030110371847147443,0.041446930889623916
capsules,160,42931840,42785827,146013,3003,0.8681318681318682,0.8614718614718615,0.49284049284049286,0.03720768751542609,0.03759586735576852,0.2584009384680322,0.2485450578000616,0.020337004272625206,0.03491110910982551
cashew,150,40248600,39795446,453154,17036,0.38189715895750176,0.5518901150504814,0.4512209438835407,0.008370103785652035,0.04971572516340188,0.03835188925218556,0.07274768367805229,0.034918821294690906,0.06279663856396187
chewinggum,150,40248600,40021314,227286,3346,0.8311416616855948,0.8227734608487747,0.5113568439928272,0.06036750575599739,0.06355994999265827,0.24396821742922406,0.13055974535553255,0.03586499217495422,0.04595367033508959
fryum,150,40248600,39320915,927685,31208,0.8080299923096642,0.7775570366572674,0.46548961804665473,0.018512372212850167,0.026636337624114142,0.059435465021103626,0.05415484384011625,0.014462815685408758,0.02887838830209178
macaroni1,200,53664800,53645392,19408,1233,0.8953771289537713,0.884022708840227,0.6301703163017032,0.042265519009280814,0.06526260807737952,0.14377876126544017,0.199332088315834,0.0076773273110670726,0.055077991342396396
macaroni2,200,53664800,53649135,15665,2808,0.790954415954416,0.8999287749287749,0.4779202279202279,0.0811552665731975,0.16929237254610918,0.1631795155216101,0.37439007391695406,0.014761993390418726,0.05177809649055894
pcb1,200,53664800,53414821,249979,53075,0.7173433820065944,0.6389637305699482,0.44757418747056055,0.12901559770125218,0.09584024823713254,0.16115641608464226,0.1004584708031696,0.020525565717733122,0.038518105666407
pcb2,200,53664800,53553929,110871,12526,0.6535206769918569,0.6734791633402523,0.40252275267443716,0.07086335014776692,0.03899120190561208,0.14258638366420978,0.06347095587528329,0.02323760140902899,0.03987806190066539
pcb3,201,53933124,53797096,136028,13061,0.6326468111170661,0.5509532195084603,0.35020289411224254,0.03243909166706053,0.021714450791814735,0.05675754784328345,0.009393792098557813,0.029214526363416888,0.037147247726980706
pcb4,201,53933124,53578105,355019,10860,0.4712707182320442,0.39189686924493555,0.30718232044198895,0.006621194613862407,0.01256215710892321,0.010222825431537507,0.028327667140566042,0.012535977154237498,0.024457515702324364
pipe_fryum,150,40248600,39745994,502606,70335,0.6011942844956281,0.708665671429587,0.4807705978531314,0.007047617004103155,0.09980690501766724,0.0018242074709663863,0.06134064984119275,0.027602678014020027,0.058108946786988636
