class,native_pAP,p27_pAP,delta_pAP,native_pAUROC,p27_pAUROC,delta_pAUROC
candle,0.5141403049313743,0.5142973530720251,0.00015704814065076178,0.9806671435137679,0.9711054389841652,-0.0095617045296027
capsules,0.6978763719543614,0.6892354886034661,-0.008640883350895301,0.9849781994223002,0.9795885460971517,-0.0053896533251485135
cashew,0.7655127373381572,0.8419956214356134,0.07648288409745618,0.9930016112103482,0.9890906368649552,-0.0039109743453930035
chewinggum,0.8701427461982091,0.8716845861665067,0.001541839968297598,0.9919411142492301,0.988692143977631,-0.0032489702715990942
fryum,0.38722106980321297,0.44369145458427983,0.05647038478106686,0.9550680178782014,0.9457039048556077,-0.009364113022593656
macaroni1,0.21142488696990241,0.16725592372459858,-0.04416896324530384,0.9495230825357774,0.8955779194231324,-0.05394516311264508
macaroni2,0.08945279365105367,0.07030681757095722,-0.019145976080096452,0.8960057743401866,0.8384933142714844,-0.05751246006870214
pcb1,0.20393199937319814,0.21994873769505038,0.016016738321852242,0.7888956748738319,0.7745854965982681,-0.0143101782755638
pcb2,0.21508170345189906,0.22017668817218522,0.005094984720286161,0.8373864177550956,0.8083002013058099,-0.029086216449285662
pcb3,0.4848358824527739,0.4855878738163881,0.0007519913636142017,0.8999823086902708,0.896531153321834,-0.0034511553684368756
pcb4,0.45237185870288704,0.43825395844786547,-0.014117900255021576,0.9820203966878155,0.9798125270211259,-0.0022078696666896214
pipe_fryum,0.5382668859929559,0.5742162927247331,0.035949406731777156,0.9553108535618902,0.9766130437619677,0.02130219020007751
