class,N_pAP,N_pAUROC,OP_pAP,OP_pAUROC,OR_pAP,OR_pAUROC,S_pAP,S_pAUROC,OP-N_pAP,OP-N_pAUROC,OR-N_pAP,OR-N_pAUROC,S-N_pAP,S-N_pAUROC,OR-OP_pAP,OR-OP_pAUROC,S-OR_pAP,S-OR_pAUROC,anomaly_pixel_prevalence,median_anomaly_area_fraction_per_abnormal_image,abnormal_image_count
candle,0.5141403049313743,0.9806671435137679,0.580918000633473,0.9973268537077609,0.583814129664417,0.9960881784102323,0.5142973530720251,0.9711054389841652,0.06677769570209868,0.016659710193992927,0.06967382473304273,0.015421034896464403,0.00015704814065076178,-0.0095617045296027,0.00289612903094405,-0.0012386752975285242,-0.06951677659239197,-0.024982739426067102,0.0013521898898346775,0.001552227903579255,100
capsules,0.6978763719543614,0.9849781994223002,0.7583269502589879,0.9981841949818031,0.7602466841784056,0.997640788916585,0.6892354886034661,0.9795885460971517,0.06045057830462652,0.013205995559502859,0.06237031222404421,0.012662589494284782,-0.008640883350895301,-0.0053896533251485135,0.0019197339194176877,-0.0005434060652180772,-0.07101119557493951,-0.018052242819433295,0.0034010422101638316,0.0014870082437650005,100
cashew,0.7655127373381572,0.9930016112103482,0.8005473855019911,0.9968134212515835,0.8214531792065983,0.9969128518572455,0.8419956214356134,0.9890906368649552,0.03503464816383395,0.0038118100412352085,0.05594044186844116,0.003911240646897296,0.07648288409745618,-0.0039109743453930035,0.020905793704607212,9.94306056620875e-05,0.020542442229015023,-0.0078222149922903,0.011258876085130912,0.0014534667044319555,100
chewinggum,0.8701427461982091,0.9919411142492301,0.8938190591566039,0.9976722115730595,0.8886412524244048,0.9961700919261794,0.8716845861665067,0.988692143977631,0.023676312958394785,0.0057310973238293705,0.018498506226195754,0.004228977676949297,0.001541839968297598,-0.0032489702715990942,-0.005177806732199031,-0.0015021196468800735,-0.016956666257898156,-0.007477947948548391,0.005647053562111477,0.005362919455583549,100
fryum,0.38722106980321297,0.9550680178782014,0.5455534587661368,0.9867141022644927,0.5949073751339008,0.9884149250950681,0.44369145458427983,0.9457039048556077,0.15833238896292384,0.03164608438629135,0.20768630533068783,0.03334690721686673,0.05647038478106686,-0.009364113022593656,0.049353916367763984,0.001700822830575377,-0.15121592054962096,-0.042711020239460384,0.02304887623420442,0.002131751166500201,100
macaroni1,0.21142488696990241,0.9495230825357774,0.2193372798581558,0.9928927542075244,0.21528694619384522,0.9845391466206527,0.16725592372459858,0.8955779194231324,0.007912392888253378,0.04336967167174699,0.0038620592239428098,0.03501606408487523,-0.04416896324530384,-0.05394516311264508,-0.004050333664310568,-0.008353607586871759,-0.04803102246924665,-0.08896122719752031,0.00036165233076429986,0.0005273475350695428,100
macaroni2,0.08945279365105367,0.8960057743401866,0.10619575266625465,0.982488689927425,0.0976943037913675,0.9600960977599742,0.07030681757095722,0.8384933142714844,0.01674295901520098,0.08648291558723842,0.008241510140313824,0.0640903234197876,-0.019145976080096452,-0.05751246006870214,-0.008501448874887158,-0.02239259216745082,-0.027387486220410276,-0.12160278348848974,0.00029190456314008437,0.00047144496951446763,100
pcb1,0.20393199937319814,0.7888956748738319,0.27839236465306116,0.9814353322813557,0.2864863558986542,0.9733409334261253,0.21994873769505038,0.7745854965982681,0.07446036527986302,0.19253965740752377,0.08255435652545604,0.18444525855229332,0.016016738321852242,-0.0143101782755638,0.008093991245593013,-0.008094398855230445,-0.0665376182036038,-0.19875543682785712,0.0046581558116307155,0.0019882679149088416,100
pcb2,0.21508170345189906,0.8373864177550956,0.26562490968580205,0.9811041511311864,0.2699633655484742,0.9634486532954104,0.22017668817218522,0.8083002013058099,0.05054320623390299,0.14371773337609084,0.05488166209657516,0.12606223554031482,0.005094984720286161,-0.029086216449285662,0.004338455862672175,-0.017655497835776024,-0.049786677376289,-0.15514845198960048,0.0020659911152189144,0.0026404645130513856,100
pcb3,0.4848358824527739,0.8999823086902708,0.5316864895015005,0.9893973815821446,0.5443810176649436,0.9836942477340281,0.4855878738163881,0.896531153321834,0.04685060704872662,0.08941507289187378,0.0595451352121697,0.08371193904375729,0.0007519913636142017,-0.0034511553684368756,0.012694528163443075,-0.005703133848116493,-0.058793143848555496,-0.08716309441219416,0.0025221605928112006,0.0023833127114980396,100
pcb4,0.45237185870288704,0.9820203966878155,0.5909461112737738,0.9935450436829871,0.588905295194635,0.9936979326081287,0.43825395844786547,0.9798125270211259,0.1385742525708868,0.011524646995171639,0.13653343649174793,0.011677535920313176,-0.014117900255021576,-0.0022078696666896214,-0.002040816079138863,0.00015288892514153662,-0.1506513367467695,-0.013885405587002797,0.006582578083183166,0.009287279557549828,100
pipe_fryum,0.5382668859929559,0.9553108535618902,0.6235573039591701,0.9913928998095799,0.6553587528158283,0.9926163129446218,0.5742162927247331,0.9766130437619677,0.08529041796621417,0.036082046247689736,0.11709186682287243,0.037305459382731665,0.035949406731777156,0.02130219020007751,0.031801448856658254,0.0012234131350419286,-0.08114246009109527,-0.016003269182654156,0.01248753993927739,0.0016062670502824943,100
