class,samples,native_max_abs,native_mean_abs,native_rmse,student_max_abs,student_mean_abs,student_rmse,native_pass,student_pass
candle,200,0.0,0.0,0.0,0.0,0.0,0.0,True,True
capsules,160,0.0,0.0,0.0,0.0,0.0,0.0,True,True
cashew,150,0.0,0.0,0.0,0.0,0.0,0.0,True,True
chewinggum,150,0.0,0.0,0.0,0.0,0.0,0.0,True,True
fryum,150,0.0,0.0,0.0,0.0,0.0,0.0,True,True
macaroni1,200,0.0,0.0,0.0,0.0,0.0,0.0,True,True
macaroni2,200,0.0,0.0,0.0,0.0,0.0,0.0,True,True
pcb1,200,0.0,0.0,0.0,0.0,0.0,0.0,True,True
pcb2,200,0.0,0.0,0.0,0.0,0.0,0.0,True,True
pcb3,201,0.0,0.0,0.0,0.0,0.0,0.0,True,True
pcb4,201,0.0,0.0,0.0,0.0,0.0,0.0,True,True
pipe_fryum,150,0.0,0.0,0.0,0.0,0.0,0.0,True,True
