class,p27_sign_agreement,p29_sign_agreement,p29_minus_p27_sign_agreement,p29_pearson,p29_spearman,p29_mae,p29_robust_relative_magnitude_ratio
candle,0.5463580246913581,0.5654938271604938,0.01913580246913571,0.7699568128086277,0.7174136313575484,1.1975118307962462,0.23212326290032853
capsules,0.5227623456790124,0.5162037037037037,-0.006558641975308643,0.7901020884537832,0.7216948949502823,0.9648179366701731,0.41051227115556993
cashew,0.4165432098765432,0.4006584362139918,-0.01588477366255142,0.7477531317618988,0.7329250612288475,1.520339446467014,2731115698815.392
chewinggum,0.42814814814814817,0.42032921810699586,-0.007818930041152305,0.8833656079833062,0.7682456354664385,0.7468502296452169,733222603798.9126
fryum,0.4855144032921811,0.47818930041152263,-0.007325102880658463,0.7483420673387501,0.7020840302322428,1.4670704421069887,0.6238022404846658
macaroni1,0.542037037037037,0.5329012345679013,-0.009135802469135701,0.808561388612496,0.7560732579058356,1.2044465632033017,0.7361665779667499
macaroni2,0.5502469135802469,0.5468518518518518,-0.003395061728395099,0.5621230358889929,0.5064039586184446,1.52125363951158,0.8020539923254416
pcb1,0.6009876543209877,0.5896913580246913,-0.01129629629629636,0.8002651941545401,0.7636377111935347,1.249927426184769,0.7122805540954394
pcb2,0.578395061728395,0.5793209876543209,0.0009259259259258856,0.6718340466339808,0.6077376902011509,1.4347509890114083,0.7436828910063746
pcb3,0.5885387875437627,0.6011915729992016,0.012652785455438909,0.625977074913217,0.6278637795931051,1.9129187797045366,0.12497929506229266
pcb4,0.5880474172348136,0.5958479208893802,0.007800503654566637,0.7667092660031828,0.7367647002572754,1.321348989331018,0.14661673624247984
pipe_fryum,0.4264197530864198,0.4080658436213992,-0.01835390946502058,0.9032144393093113,0.8209492823033588,1.0670106597821163,596219360829.3997
