class,native_pAP,p29_pAP,delta_pAP,native_pAUROC,p29_pAUROC,delta_pAUROC
candle,0.5141403049313743,0.4905032311990789,-0.0236370737322954,0.9806671435137679,0.970040297208166,-0.010626846305601956
capsules,0.6978763719543614,0.6934512807559955,-0.004425091198365871,0.9849781994223002,0.9801252350652869,-0.004852964357013323
cashew,0.7655127373381572,0.8084947081661242,0.042981970827967064,0.9930016112103482,0.9894257817806513,-0.0035758294296969195
chewinggum,0.8701427461982091,0.8717304322432882,0.0015876860450790842,0.9919411142492301,0.988163574171992,-0.003777540077238184
fryum,0.38722106980321297,0.43843795188311574,0.05121688207990277,0.9550680178782014,0.9513657295495862,-0.0037022883286151886
macaroni1,0.21142488696990241,0.17914013399351045,-0.03228475297639197,0.9495230825357774,0.8946381751057134,-0.05488490743006402
macaroni2,0.08945279365105367,0.07761825343807881,-0.011834540212974864,0.8960057743401866,0.8406384658384837,-0.055367308501702905
pcb1,0.20393199937319814,0.22399856118402042,0.02006656181082228,0.7888956748738319,0.7837816479349788,-0.0051140269388531
pcb2,0.21508170345189906,0.20897733900747012,-0.006104364444428939,0.8373864177550956,0.788091063861725,-0.049295353893370586
pcb3,0.4848358824527739,0.4802179268897779,-0.004617955562996046,0.8999823086902708,0.8908656303228939,-0.009116678367376951
pcb4,0.45237185870288704,0.4276509857442232,-0.02472087295866382,0.9820203966878155,0.9814129750032107,-0.0006074216846048142
pipe_fryum,0.5382668859929559,0.5708725257747862,0.03260563978183029,0.9553108535618902,0.9718262593736504,0.016515405811760253
