method,epoch,checkpoint_sha256,checkpoint_bytes,exists,finite_model_state,optimizer_state_entries,global_optimizer_step,image_lr,text_lr,prompt_lr,scheduler_class,scheduler_step_size,scheduler_gamma,scheduler_last_epoch,scheduler_step_count,precision,amp,tf32,protocol_status
P,10,31ca8344c646693d0ee51941d39f28aa07b6a102c49d1efdc5e3cdf2ec8bcc50,169376939,True,True,113,3610,0.0003486784401,0.00017433922005,9e-05,StepLR,1,0.9,10,11,fp32,False,False,MATCHED
P,12,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,169376939,True,True,113,4332,0.00028242953648100003,0.00014121476824050002,9e-05,StepLR,1,0.9,12,13,fp32,False,False,MATCHED
P,14,3eb6e2fe12f96b84745baf0f8a013f88c7f3a739283493a2ba5e31a35ad2f6c2,169376939,True,True,113,5054,0.00022876792454961005,0.00011438396227480502,9e-05,StepLR,1,0.9,14,15,fp32,False,False,MATCHED
P,16,7be7d0be6b2dbac57c48a2aedd264a04fcb1e6724240f8ab1fc1af561264f3bb,169376939,True,True,113,5776,0.00018530201888518417,9.265100944259208e-05,9e-05,StepLR,1,0.9,16,17,fp32,False,False,MATCHED
P,18,562cdd488c6cc1ae5e7e51f5ed2768f4a9ebfe838a8bfd78bb914601d095283d,169376939,True,True,113,6498,0.0001500946352969992,7.50473176484996e-05,9e-05,StepLR,1,0.9,18,19,fp32,False,False,MATCHED
P,20,c394eb6bdc2a2456495fe4e94ee7648a54608e7de9a356aa36ae9627bcd6d4fd,169376939,True,True,113,7220,0.00012157665459056936,6.078832729528468e-05,9e-05,StepLR,1,0.9,20,21,fp32,False,False,MATCHED
CIR,10,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,169377707,True,True,113,3610,0.0003486784401,0.00017433922005000006,9e-05,StepLR,1,0.9,10,11,fp32,False,False,MATCHED
CIR,12,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,169377707,True,True,113,4332,0.00028242953648100003,0.00014121476824050004,9e-05,StepLR,1,0.9,12,13,fp32,False,False,MATCHED
CIR,14,c78444c94bd669bae68b02d462b584df9c603a28a21834be76ea341fd867e15c,169377707,True,True,113,5054,0.00022876792454961005,0.00011438396227480505,9e-05,StepLR,1,0.9,14,15,fp32,False,False,MATCHED
CIR,16,dfacf3c857c47832ac0a771443320d2c26b727e066824ecd58976093ec6b56a0,169377707,True,True,113,5776,0.00018530201888518417,9.265100944259208e-05,9e-05,StepLR,1,0.9,16,17,fp32,False,False,MATCHED
CIR,18,8073f9f2922c02147603b0ef60c5a71a1896a319e08610e7ca770e3142167939,169377707,True,True,113,6498,0.0001500946352969992,7.504731764849959e-05,9e-05,StepLR,1,0.9,18,19,fp32,False,False,MATCHED
CIR,20,76420eb30b6f125be71fd44a56045d35fa08236d8d6dcf3904e7319b56905a4e,169377707,True,True,113,7220,0.00012157665459056936,6.078832729528467e-05,9e-05,StepLR,1,0.9,20,21,fp32,False,False,MATCHED
