epoch,start_image_lr,post_image_lr,start_text_lr,post_text_lr,start_prompt_lr,post_prompt_lr,soft_prompt_frozen,scheduler_last_epoch,scheduler_step_count,checkpoint_sha256,post_lr_source
1,0.001,0.0009000000000000001,0.0005,0.00045000000000000004,0.0,0.0,True,1,2,,verified_stepLR_policy
2,0.0009000000000000001,0.0008100000000000001,0.00045000000000000004,0.00040500000000000003,0.0,0.0,True,2,3,,verified_stepLR_policy
3,0.0008100000000000001,0.000729,0.00040500000000000003,0.0003645000000000001,0.0,0.0,True,3,4,,verified_stepLR_policy
4,0.0007290000000000002,0.0006561000000000001,0.0003645000000000001,0.00032805000000000003,0.0001,9e-05,False,4,5,,verified_stepLR_policy
5,0.0006561000000000001,0.00059049,0.00032805000000000003,0.000295245,0.0001,9e-05,False,5,6,,verified_stepLR_policy
6,0.00059049,0.000531441,0.000295245,0.0002657205,0.0001,9e-05,False,6,7,,verified_stepLR_policy
7,0.000531441,0.0004782969,0.0002657205,0.00023914845000000005,0.0001,9e-05,False,7,8,,verified_stepLR_policy
8,0.0004782969000000001,0.00043046721,0.00023914845000000005,0.00021523360500000005,0.0001,9e-05,False,8,9,,verified_stepLR_policy
9,0.0004304672100000001,0.000387420489,0.00021523360500000005,0.00019371024450000004,0.0001,9e-05,False,9,10,,verified_stepLR_policy
10,0.0003874204890000001,0.0003486784401,0.00019371024450000004,0.00017433922005000006,0.0001,9e-05,False,10,11,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,checkpoint_optimizer_state
11,0.0003486784401000001,0.00031381059609000004,0.00017433922005000006,0.00015690529804500005,0.0001,9e-05,False,11,12,,verified_stepLR_policy
12,0.0003138105960900001,0.00028242953648100003,0.00015690529804500005,0.00014121476824050004,0.0001,9e-05,False,12,13,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,checkpoint_optimizer_state
13,0.0002824295364810001,0.00025418658283290005,0.00014121476824050004,0.00012709329141645005,0.0001,9e-05,False,13,14,,verified_stepLR_policy
14,0.0002541865828329001,0.00022876792454961005,0.00012709329141645005,0.00011438396227480505,0.0001,9e-05,False,14,15,c78444c94bd669bae68b02d462b584df9c603a28a21834be76ea341fd867e15c,checkpoint_optimizer_state
15,0.0002287679245496101,0.00020589113209464906,0.00011438396227480505,0.00010294556604732454,0.0001,9e-05,False,15,16,,verified_stepLR_policy
16,0.0002058911320946491,0.00018530201888518417,0.00010294556604732454,9.265100944259208e-05,0.0001,9e-05,False,16,17,dfacf3c857c47832ac0a771443320d2c26b727e066824ecd58976093ec6b56a0,checkpoint_optimizer_state
17,0.00018530201888518417,0.00016677181699666576,9.265100944259208e-05,8.338590849833288e-05,0.0001,9e-05,False,17,18,,verified_stepLR_policy
18,0.00016677181699666576,0.0001500946352969992,8.338590849833288e-05,7.504731764849959e-05,0.0001,9e-05,False,18,19,8073f9f2922c02147603b0ef60c5a71a1896a319e08610e7ca770e3142167939,checkpoint_optimizer_state
19,0.00015009463529699917,0.0001350851717672993,7.504731764849959e-05,6.754258588364964e-05,0.0001,9e-05,False,19,20,,verified_stepLR_policy
20,0.0001350851717672993,0.00012157665459056936,6.754258588364964e-05,6.078832729528467e-05,0.0001,9e-05,False,20,21,76420eb30b6f125be71fd44a56045d35fa08236d8d6dcf3904e7319b56905a4e,checkpoint_optimizer_state
