target_kind,target,epoch,n_images,target_count,image_metric_support,parent_checkpoint_sha256,cir_checkpoint_sha256,parent_config_sha256,cir_config_sha256,evaluator_git_sha,evaluator_sha256,parent_pixel_auroc,c0_pixel_auroc,c05_pixel_auroc,train_effect_pixel_auroc,rmt_inference_effect_pixel_auroc,total_cir_effect_pixel_auroc,parent_pixel_ap,c0_pixel_ap,c05_pixel_ap,train_effect_pixel_ap,rmt_inference_effect_pixel_ap,total_cir_effect_pixel_ap,parent_image_auroc,c0_image_auroc,c05_image_auroc,train_effect_image_auroc,rmt_inference_effect_image_auroc,total_cir_effect_image_auroc,parent_image_ap,c0_image_ap,c05_image_ap,train_effect_image_ap,rmt_inference_effect_image_ap,total_cir_effect_image_ap
target,Brain,10,3715,1,1,31ca8344c646693d0ee51941d39f28aa07b6a102c49d1efdc5e3cdf2ec8bcc50,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.9427886775835665,0.9263186251311443,0.9262646201468392,-0.01647005245242228,-5.4004984305078274e-05,-0.016524057436727357,0.33925961276193944,0.2799508225021577,0.28002311177814526,-0.05930879025978175,7.228927598756929e-05,-0.05923650098379418,0.7355106707317073,0.8072837906504065,0.8072977642276423,0.07177311991869917,1.3973577235870671e-05,0.07178709349593504,0.9167754069939646,0.9413096137954735,0.9413173937572324,0.024534206801508862,7.779961758935805e-06,0.024541986763267798
target,Liver,10,1493,1,1,31ca8344c646693d0ee51941d39f28aa07b6a102c49d1efdc5e3cdf2ec8bcc50,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.9408065356277716,0.96606500150743,0.9660424778287694,0.02525846587965841,-2.2523678660624213e-05,0.025235942200997785,0.034955286505307465,0.0765069853428605,0.07645605680062866,0.04155169883755304,-5.0928542231848395e-05,0.04150077029532119,0.6557095565498927,0.590547127942086,0.590519844301357,-0.06516242860780674,-2.7283640729014458e-05,-0.06518971224853576,0.5288137423285806,0.48917793305966745,0.4891935534949848,-0.039635809268913136,1.5620435317331705e-05,-0.039620188833595804
target,Retina,10,1805,1,1,31ca8344c646693d0ee51941d39f28aa07b6a102c49d1efdc5e3cdf2ec8bcc50,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.8916828004262022,0.8855021873287127,0.885369331226217,-0.006180613097489518,-0.00013285610249569313,-0.006313469199985211,0.30863093076468134,0.2853030027019434,0.28507507724276704,-0.023327928062737924,-0.0002279254591763813,-0.023555853521914305,0.7061537184845421,0.7528592120946935,0.7528592120946935,0.046705493610151416,0.0,0.046705493610151416,0.7209889964938678,0.7209427273156571,0.7209427273156571,-4.626917821071164e-05,0.0,-4.626917821071164e-05
target,Colon_clinicDB,10,612,1,0,31ca8344c646693d0ee51941d39f28aa07b6a102c49d1efdc5e3cdf2ec8bcc50,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.8572029362612525,0.8156366290711804,0.8155133619196633,-0.04156630719007215,-0.00012326715151711465,-0.041689574341589264,0.44813780506804984,0.3919546592744091,0.3918944425514101,-0.056183145793640754,-6.021672299899583e-05,-0.05624336251663975,,,,,,,,,,,,
target,Colon_colonDB,10,380,1,0,31ca8344c646693d0ee51941d39f28aa07b6a102c49d1efdc5e3cdf2ec8bcc50,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.818144705850949,0.8075411278096858,0.807471971314293,-0.010603578041263217,-6.915649539274149e-05,-0.010672734536655959,0.28927565452151943,0.2901220434335296,0.2900820963864258,0.0008463889120101653,-3.994704710380548e-05,0.0008064418649063598,,,,,,,,,,,,
target,Colon_Kvasir,10,1000,1,0,31ca8344c646693d0ee51941d39f28aa07b6a102c49d1efdc5e3cdf2ec8bcc50,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.8240845862454276,0.788925133747022,0.788855801516261,-0.035159452498405575,-6.933223076099893e-05,-0.03522878472916657,0.48830067072430694,0.4736252113182194,0.4736377157250134,-0.014675459406087554,1.2504406794011658e-05,-0.014662954999293543,,,,,,,,,,,,
target,Brain,12,3715,1,1,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.9295543301513558,0.929687293387707,0.9296844325585066,0.00013296323635114682,-2.860829200312942e-06,0.00013010240715083388,0.2600735574081048,0.23414758677473554,0.23420356458642294,-0.02592597063336924,5.597781168739657e-05,-0.025869992821681842,0.7573932926829269,0.7838150406504065,0.7838470528455285,0.026421747967479647,3.201219512194431e-05,0.02645376016260159,0.9245146688405362,0.933834068183961,0.933847616738959,0.009319399343424739,1.3548554998021878e-05,0.009332947898422761
target,Liver,12,1493,1,1,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.9475832775594345,0.9722265555782696,0.97220343032325,0.024643278018835146,-2.3125255019684765e-05,0.02462015276381546,0.0399293448751651,0.0985087560289694,0.0984871765524783,0.0585794111538043,-2.1579476491104255e-05,0.058557831677313196,0.6308869002146313,0.582507548473935,0.5824929971988796,-0.0483793517406963,-1.4551275055452173e-05,-0.04839390301575175,0.5192465351463667,0.4827123311944729,0.4827000072195677,-0.03653420395189377,-1.232397490519288e-05,-0.036546527926798966
target,Retina,12,1805,1,1,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.9110529862881778,0.8665723075748577,0.8662731492641248,-0.044480678713320065,-0.00029915831073290544,-0.04477983702405297,0.4000384302241119,0.32193057332697983,0.32153476689590554,-0.07810785689713207,-0.0003958064310742859,-0.07850366332820635,0.7183965277044324,0.7497435007619536,0.7497435007619536,0.03134697305752121,0.0,0.03134697305752121,0.7283748734186666,0.7458232132722863,0.7457989124521781,0.01744833985361971,-2.4300820108180687e-05,0.01742403903351153
target,Colon_clinicDB,12,612,1,0,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.8651995864041112,0.8212153134362815,0.8210890215501874,-0.043984272967829696,-0.0001262918860941431,-0.04411056485392384,0.4604288777578717,0.3799865278807084,0.3799024997517558,-0.08044234987716331,-8.402812895264011e-05,-0.08052637800611595,,,,,,,,,,,,
