epoch,method,n_domains,pixel_auroc_macro,pixel_auroc_support,pixel_ap_macro,pixel_ap_support,image_auroc_macro,image_auroc_support,image_ap_macro,image_ap_support
10,P,6,0.8791183736658615,6,0.31809332672430074,6,0.699124648588714,3,0.7221927152721377,3
10,C_OLD_0,6,0.8649981174325292,6,0.2995771207621866,6,0.716896710229062,3,0.7171434247235994,3
10,C_OLD_05,6,0.8649195939920071,6,0.29952808341406506,6,0.716892273541231,3,0.7171512248559582,3
10,A0,6,0.8928308767181323,6,0.33546450560177193,6,0.7249728932113394,3,0.7350188600018522,3
10,A05,6,0.8926590785542562,6,0.33530702329367984,6,0.7249750951083584,3,0.735025401462022,3
12,P,6,0.8878002215875263,6,0.3274349979736307,6,0.7022255735339968,3,0.7240453591351899,3
12,C_OLD_0,6,0.8681865202848463,6,0.3015308288938933,6,0.7053553632954317,3,0.7207898708835734,3
12,C_OLD_05,6,0.8680833731289619,6,0.30144382870196296,6,0.7053611836021205,3,0.7207821788035682,3
12,A0,6,0.8964411735823175,6,0.33882565011047183,6,0.7443595337102885,3,0.7459116881538193,3
12,A05,6,0.8963442288290633,6,0.33871816630776,6,0.7443746761682314,3,0.7459274545760659,3
14,P,6,0.8822626562213105,6,0.3233083578750997,6,0.6779740167280497,3,0.7048566721417806,3
14,C_OLD_0,6,0.8682751291403945,6,0.3101505837760948,6,0.712141332543194,3,0.7254293412332075,3
14,C_OLD_05,6,0.8682153884187115,6,0.31013724174378404,6,0.7121418665887914,3,0.7254275924966288,3
14,A0,6,0.897154342637277,6,0.33873796975571097,6,0.7252245531820921,3,0.7320427982728828,3
14,A05,6,0.8971459273596549,6,0.33870159279974854,6,0.7252431943229536,3,0.7320529229523766,3
16,P,6,0.8815486899597714,6,0.322745266039576,6,0.681336082843712,3,0.7100127764641091,3
16,C_OLD_0,6,0.8708857400649649,6,0.30862988724182205,6,0.7084252572577553,3,0.7208030226992943,3
16,C_OLD_05,6,0.8707714552203258,6,0.3086269395998107,6,0.7084383807165504,3,0.7208160008894983,3
16,A0,6,0.8970948421034908,6,0.3376763863954483,6,0.7298368648574083,3,0.740355571768981,3
16,A05,6,0.897044898835791,6,0.33762580698103645,6,0.7298462215383649,3,0.740366239038329,3
18,P,6,0.8849673502064086,6,0.32938851138195085,6,0.6840452398666014,3,0.7096873564169832,3
18,C_OLD_0,6,0.8772082843993494,6,0.30642704423490696,6,0.7096385086826549,3,0.7211645890389664,3
18,C_OLD_05,6,0.8772003353107696,6,0.30648175242494774,6,0.7096358062158588,3,0.721165260771894,3
18,A0,6,0.8957106175050913,6,0.33151069483419315,6,0.7436255681049165,3,0.7521155266111056,3
18,A05,6,0.8956175549564717,6,0.33138225871741783,6,0.7436257239969112,3,0.7521148854829967,3
20,P,6,0.8794565011252627,6,0.32751053321707435,6,0.6894104518324536,3,0.709636289230577,3
20,C_OLD_0,6,0.8725483150042435,6,0.30243126366473194,6,0.6992754549831149,3,0.7218284091769421,3
20,C_OLD_05,6,0.872532352210677,6,0.30241380507947746,6,0.6992727935155966,3,0.7218264781227075,3
20,A0,6,0.8945538026933935,6,0.3305612993814239,6,0.7387622888645073,3,0.7450617670587691,3
20,A05,6,0.894448571918055,6,0.3304386762018511,6,0.7387651860783329,3,0.7450559351948278,3
