epoch,method,metric,value,checkpoint_sha256,source
10,P,raw_pixel_auroc,0.9719383844651363,,
10,P,raw_pixel_ap,0.516618904649411,,
10,P,deployed_pixel_auroc,0.9718331156740962,,
10,P,deployed_pixel_ap,0.4949767817164079,,
10,P,pearson_sample,0.7000821359920066,,
10,P,mae,0.0011485761497169733,,
10,P,max_abs_change,0.9999971389770508,,
10,P,deployed_minus_raw_pixel_ap,-0.02164212293300305,,
10,P,normal_raw_p99,2.7992401285814594e-08,,
10,P,normal_deployed_p99,1.3887223815345351e-08,,
10,P,normal_raw_p99.9,5.3332445304477e-07,,
10,P,normal_deployed_p99.9,4.381086782245802e-08,,
10,P,anomaly_raw_p50,3.254968961030613e-09,,
10,P,anomaly_deployed_p50,3.7072012126770915e-09,,
10,P,anomaly_raw_p90,1.8151155245504924e-08,,
10,P,anomaly_deployed_p90,1.6935850055688206e-08,,
10,C_OLD_0,raw_pixel_auroc,0.9318127774253232,,
10,C_OLD_0,raw_pixel_ap,0.5113039896241235,,
10,C_OLD_0,deployed_pixel_auroc,0.9275117531454271,,
10,C_OLD_0,deployed_pixel_ap,0.4626210940744351,,
10,C_OLD_0,pearson_sample,0.7131337108175159,,
10,C_OLD_0,mae,0.00101024832110852,,
10,C_OLD_0,max_abs_change,0.9999927282333374,,
10,C_OLD_0,deployed_minus_raw_pixel_ap,-0.04868289554968841,,
10,C_OLD_0,normal_raw_p99,4.712696011210937e-08,,
10,C_OLD_0,normal_deployed_p99,3.210351806615108e-08,,
10,C_OLD_0,normal_raw_p99.9,2.7236228561378084e-07,,
10,C_OLD_0,normal_deployed_p99.9,1.046219466616094e-07,,
10,C_OLD_0,anomaly_raw_p50,7.5418311595854e-09,,
10,C_OLD_0,anomaly_deployed_p50,8.197830858591715e-09,,
10,C_OLD_0,anomaly_raw_p90,1.6032176120006625e-07,,
10,C_OLD_0,anomaly_deployed_p90,1.3593866299288493e-07,,
12,P,raw_pixel_auroc,0.9642469286366772,,
12,P,raw_pixel_ap,0.5075374285877884,,
12,P,deployed_pixel_auroc,0.9605990320026057,,
12,P,deployed_pixel_ap,0.4573300920889267,,
12,P,pearson_sample,0.8033559666316603,,
12,P,mae,0.001757515361532569,,
12,P,max_abs_change,0.9999955892562866,,
12,P,deployed_minus_raw_pixel_ap,-0.050207336498861665,,
12,P,normal_raw_p99,9.84644614732133e-08,,
12,P,normal_deployed_p99,3.721375207987876e-08,,
12,P,normal_raw_p99.9,5.215628789301263e-06,,
12,P,normal_deployed_p99.9,3.245890525249706e-07,,
12,P,anomaly_raw_p50,4.013497090227247e-09,,
12,P,anomaly_deployed_p50,5.420554671786704e-09,,
12,P,anomaly_raw_p90,3.798506611474295e-07,,
12,P,anomaly_deployed_p90,2.100013603012485e-07,,
12,C_OLD_0,raw_pixel_auroc,0.9386567505235894,,
12,C_OLD_0,raw_pixel_ap,0.49920312181286297,,
12,C_OLD_0,deployed_pixel_auroc,0.9372797640037236,,
12,C_OLD_0,deployed_pixel_ap,0.4595460803652942,,
12,C_OLD_0,pearson_sample,0.6972248376462749,,
12,C_OLD_0,mae,0.0012986694928258657,,
12,C_OLD_0,max_abs_change,0.9999967813491821,,
12,C_OLD_0,deployed_minus_raw_pixel_ap,-0.039657041447568764,,
12,C_OLD_0,normal_raw_p99,8.624199665518972e-08,,
12,C_OLD_0,normal_deployed_p99,4.1291848162927636e-08,,
12,C_OLD_0,normal_raw_p99.9,9.508963785265223e-07,,
12,C_OLD_0,normal_deployed_p99.9,1.7543405306241766e-07,,
12,C_OLD_0,anomaly_raw_p50,7.806804092069797e-09,,
12,C_OLD_0,anomaly_deployed_p50,8.641476867410347e-09,,
12,C_OLD_0,anomaly_raw_p90,2.047735847554577e-07,,
12,C_OLD_0,anomaly_deployed_p90,1.843882699859023e-07,,
14,P,raw_pixel_auroc,0.9615490639484515,,
14,P,raw_pixel_ap,0.5293523211007637,,
14,P,deployed_pixel_auroc,0.961153083092938,,
14,P,deployed_pixel_ap,0.4756023564118824,,
14,P,pearson_sample,0.7159777426907848,,
14,P,mae,0.0012350159231573343,,
14,P,max_abs_change,0.9999979138374329,,
14,P,deployed_minus_raw_pixel_ap,-0.05374996468888127,,
14,P,normal_raw_p99,3.1502285224860316e-08,,
14,P,normal_deployed_p99,1.7724328671420153e-08,,
14,P,normal_raw_p99.9,7.501923278141476e-07,,
14,P,normal_deployed_p99.9,1.1858452353408211e-07,,
14,P,anomaly_raw_p50,3.822014260634887e-09,,
14,P,anomaly_deployed_p50,4.456250479734081e-09,,
14,P,anomaly_raw_p90,1.0102601777361997e-07,,
14,P,anomaly_deployed_p90,8.059263478799039e-08,,
14,C_OLD_0,raw_pixel_auroc,0.9404852858090529,,
14,C_OLD_0,raw_pixel_ap,0.551919064247476,,
14,C_OLD_0,deployed_pixel_auroc,0.9378951387732162,,
14,C_OLD_0,deployed_pixel_ap,0.513409215690459,,
14,C_OLD_0,pearson_sample,0.7295160018155604,,
14,C_OLD_0,mae,0.0013527179835364223,,
14,C_OLD_0,max_abs_change,0.9999946355819702,,
14,C_OLD_0,deployed_minus_raw_pixel_ap,-0.038509848557017,,
14,C_OLD_0,normal_raw_p99,5.142765857613085e-08,,
14,C_OLD_0,normal_deployed_p99,2.8188821943331277e-08,,
14,C_OLD_0,normal_raw_p99.9,3.438391047438927e-07,,
14,C_OLD_0,normal_deployed_p99.9,8.831570852407822e-08,,
14,C_OLD_0,anomaly_raw_p50,7.444659999578107e-09,,
14,C_OLD_0,anomaly_deployed_p50,8.30947577412644e-09,,
14,C_OLD_0,anomaly_raw_p90,4.516642775342916e-07,,
14,C_OLD_0,anomaly_deployed_p90,3.6634011735259264e-07,,
16,P,raw_pixel_auroc,0.9570932099331504,,
16,P,raw_pixel_ap,0.529785525277749,,
16,P,deployed_pixel_auroc,0.954717579317569,,
16,P,deployed_pixel_ap,0.4709689477631647,,
16,P,pearson_sample,0.7384132125044732,,
16,P,mae,0.001358047011308372,,
16,P,max_abs_change,0.9999975562095642,,
16,P,deployed_minus_raw_pixel_ap,-0.0588165775145843,,
16,P,normal_raw_p99,3.3921953246363046e-08,,
16,P,normal_deployed_p99,1.8263619949721033e-08,,
16,P,normal_raw_p99.9,3.750217842934944e-07,,
16,P,normal_deployed_p99.9,6.899941240590124e-08,,
16,P,anomaly_raw_p50,4.161072375552521e-09,,
16,P,anomaly_deployed_p50,4.8771244820500215e-09,,
16,P,anomaly_raw_p90,7.591829387365578e-08,,
16,P,anomaly_deployed_p90,6.359249482557061e-08,,
16,C_OLD_0,raw_pixel_auroc,0.9527918735859962,,
16,C_OLD_0,raw_pixel_ap,0.5725242192966096,,
16,C_OLD_0,deployed_pixel_auroc,0.9513386568857485,,
16,C_OLD_0,deployed_pixel_ap,0.4800598905252289,,
16,C_OLD_0,pearson_sample,0.7221302121292611,,
16,C_OLD_0,mae,0.0015055977273732424,,
16,C_OLD_0,max_abs_change,0.9999979734420776,,
16,C_OLD_0,deployed_minus_raw_pixel_ap,-0.09246432877138067,,
16,C_OLD_0,normal_raw_p99,1.6988171580578637e-07,,
16,C_OLD_0,normal_deployed_p99,9.944725576360725e-08,,
16,C_OLD_0,normal_raw_p99.9,9.966364450519904e-05,,
16,C_OLD_0,normal_deployed_p99.9,3.781399936997332e-05,,
16,C_OLD_0,anomaly_raw_p50,7.157288983705712e-09,,
16,C_OLD_0,anomaly_deployed_p50,8.379202220964999e-09,,
16,C_OLD_0,anomaly_raw_p90,1.2274705341042136e-06,,
16,C_OLD_0,anomaly_deployed_p90,9.210118037117354e-07,,
18,P,raw_pixel_auroc,0.966333576813994,,
18,P,raw_pixel_ap,0.5543777427577197,,
18,P,deployed_pixel_auroc,0.9692251299971568,,
18,P,deployed_pixel_ap,0.48556153984230804,,
18,P,pearson_sample,0.7643250890960586,,
18,P,mae,0.001187418820336461,,
18,P,max_abs_change,0.9999979734420776,,
18,P,deployed_minus_raw_pixel_ap,-0.06881620291541163,,
18,P,normal_raw_p99,5.08130497678394e-08,,
18,P,normal_deployed_p99,2.3435974938479376e-08,,
18,P,normal_raw_p99.9,5.583070787906763e-07,,
18,P,normal_deployed_p99.9,6.912782879453516e-08,,
18,P,anomaly_raw_p50,3.479943666562235e-09,,
18,P,anomaly_deployed_p50,3.911054147209825e-09,,
18,P,anomaly_raw_p90,4.160931510455157e-08,,
18,P,anomaly_deployed_p90,3.7978178824005226e-08,,
18,C_OLD_0,raw_pixel_auroc,0.9578270690365633,,
18,C_OLD_0,raw_pixel_ap,0.5347116994709747,,
18,C_OLD_0,deployed_pixel_auroc,0.9569664721157103,,
18,C_OLD_0,deployed_pixel_ap,0.36762411828863056,,
18,C_OLD_0,pearson_sample,0.773886263325544,,
18,C_OLD_0,mae,0.001985832117497921,,
18,C_OLD_0,max_abs_change,0.9999963045120239,,
18,C_OLD_0,deployed_minus_raw_pixel_ap,-0.16708758118234418,,
18,C_OLD_0,normal_raw_p99,2.782004742130084e-07,,
18,C_OLD_0,normal_deployed_p99,1.7872572755095462e-07,,
18,C_OLD_0,normal_raw_p99.9,8.823026291793212e-06,,
18,C_OLD_0,normal_deployed_p99.9,2.11828000828973e-06,,
18,C_OLD_0,anomaly_raw_p50,8.588370015161217e-09,,
18,C_OLD_0,anomaly_deployed_p50,1.0367735114868992e-08,,
18,C_OLD_0,anomaly_raw_p90,1.102255282603437e-06,,
18,C_OLD_0,anomaly_deployed_p90,8.620603466624743e-07,,
20,P,raw_pixel_auroc,0.9605892177184595,,
20,P,raw_pixel_ap,0.5412752642901878,,
20,P,deployed_pixel_auroc,0.9610675116753277,,
20,P,deployed_pixel_ap,0.47466737499420975,,
20,P,pearson_sample,0.7098047748061836,,
20,P,mae,0.0014184277970343828,,
20,P,max_abs_change,0.9999963641166687,,
