epoch,start_image_lr,post_image_lr,start_text_lr,post_text_lr,start_prompt_lr,post_prompt_lr,soft_prompt_frozen,scheduler_last_epoch,scheduler_step_count,checkpoint_sha256,source
1,0.001,0.0009000000000000001,0.0005,0.00045000000000000004,0.0,0.0,True,1,2,,checkpoint_or_frozen_history
2,0.0009000000000000001,0.0008100000000000001,0.00045000000000000004,0.00040500000000000003,0.0,0.0,True,2,3,,checkpoint_or_frozen_history
3,0.0008100000000000001,0.000729,0.00040500000000000003,0.0003645,0.0,0.0,True,3,4,,checkpoint_or_frozen_history
4,0.0007290000000000002,0.0006561000000000001,0.0003645000000000001,0.00032805000000000003,0.0001,9e-05,False,4,5,,checkpoint_or_frozen_history
5,0.0006561000000000001,0.00059049,0.00032805000000000003,0.000295245,0.0001,9e-05,False,5,6,,checkpoint_or_frozen_history
6,0.00059049,0.000531441,0.000295245,0.0002657205,0.0001,9e-05,False,6,7,,checkpoint_or_frozen_history
7,0.000531441,0.0004782969,0.0002657205,0.00023914845,0.0001,9e-05,False,7,8,,checkpoint_or_frozen_history
8,0.0004782969000000001,0.00043046721,0.00023914845000000005,0.000215233605,0.0001,9e-05,False,8,9,,checkpoint_or_frozen_history
9,0.0004304672100000001,0.000387420489,0.00021523360500000005,0.0001937102445,0.0001,9e-05,False,9,10,,checkpoint_or_frozen_history
10,0.0003874204890000001,0.0003486784401,0.00019371024450000004,0.00017433922005,0.0001,9e-05,False,10,11,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,checkpoint_or_frozen_history
11,0.0003486784401000001,0.00031381059609000004,0.00017433922005000006,0.00015690529804500002,0.0001,9e-05,False,11,12,,checkpoint_or_frozen_history
12,0.0003138105960900001,0.00028242953648100003,0.00015690529804500005,0.00014121476824050002,0.0001,9e-05,False,12,13,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,checkpoint_or_frozen_history
13,0.0002824295364810001,0.00025418658283290005,0.00014121476824050004,0.00012709329141645002,0.0001,9e-05,False,13,14,,checkpoint_or_frozen_history
14,0.0002541865828329001,0.00022876792454961005,0.00012709329141645005,0.00011438396227480502,0.0001,9e-05,False,14,15,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,checkpoint_or_frozen_history
15,0.0002287679245496101,0.00020589113209464906,0.00011438396227480505,0.00010294556604732453,0.0001,9e-05,False,15,16,,checkpoint_or_frozen_history
16,0.0002058911320946491,0.00018530201888518417,0.00010294556604732454,9.265100944259208e-05,0.0001,9e-05,False,16,17,2d030907f5234ca7367fadf4f3f4f83a9b8f5d792e65e1abbe23f54a32a354a9,checkpoint_or_frozen_history
17,0.00018530201888518417,0.00016677181699666576,9.265100944259208e-05,8.338590849833288e-05,0.0001,9e-05,False,17,18,,checkpoint_or_frozen_history
18,0.00016677181699666576,0.0001500946352969992,8.338590849833288e-05,7.50473176484996e-05,0.0001,9e-05,False,18,19,25779178f390b1bc9fc22d97a520bf43504fc805d21b68fe17e1986637b55050,checkpoint_or_frozen_history
19,0.00015009463529699917,0.0001350851717672993,7.504731764849959e-05,6.754258588364964e-05,0.0001,9e-05,False,19,20,,checkpoint_or_frozen_history
20,0.0001350851717672993,0.00012157665459056936,6.754258588364964e-05,6.078832729528468e-05,0.0001,9e-05,False,20,21,91f121852b6c20b8dddf31225518db10f79219b61e8b326e3afe37d06b4dbde6,checkpoint_or_frozen_history
