epoch,target,n_images,checkpoint_sha256,alpha0_status,alpha05_status,alpha05_evaluator_hash,alpha0_pixel_auroc,alpha0_pixel_ap,alpha0_image_auroc,alpha0_image_ap,alpha05_pixel_auroc,alpha05_pixel_ap,alpha05_image_auroc,alpha05_image_ap,delta_pixel_auroc,delta_pixel_ap,delta_image_auroc,elapsed_seconds,delta_image_ap
12,Brain,3715,ba4e978b5c0eddc9b3b61d8079b0608cce08538c377418616c844754ada39eb3,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.9278768667822045,0.3212104165701204,0.8361732723577235,0.951528577376862,0.9277320043169284,0.32119812658198227,0.8361737804878049,0.9515290301562673,-0.0001448624652761188,-1.228998813812554e-05,5.081300813447598e-07,648.5460245390423,4.5277940530219496e-07
12,Liver,1493,ba4e978b5c0eddc9b3b61d8079b0608cce08538c377418616c844754ada39eb3,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.968305611748264,0.06638403696242298,0.5875859434682964,0.4783416577323619,0.9682980472170254,0.06637417742087445,0.5875586598275674,0.47833066607844366,-7.564531238624106e-06,-9.859541548529194e-06,-2.7283640729014458e-05,252.3907154686749,-1.0991653918268618e-05
12,Retina,1805,ba4e978b5c0eddc9b3b61d8079b0608cce08538c377418616c844754ada39eb3,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.9287955737520406,0.4321803336983938,0.8081662316238414,0.7894001107843182,0.9279944621589211,0.43001957592093254,0.8081649742746353,0.7893899664734373,-0.0008011115931194634,-0.002160757777461275,-1.2573492060852232e-06,303.5311423907988,-1.0144310880866314e-05
12,Colon_clinicDB,612,ba4e978b5c0eddc9b3b61d8079b0608cce08538c377418616c844754ada39eb3,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.8661159031212868,0.49266920771835016,,,0.8661153234664509,0.4926793732984822,,,-5.79654835908272e-07,1.0165580132059926e-05,,118.80732819996774,
12,Colon_colonDB,380,ba4e978b5c0eddc9b3b61d8079b0608cce08538c377418616c844754ada39eb3,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.8053677112602016,0.2765927415145223,,,0.8052604289633527,0.27657997928823963,,,-0.00010728229684886514,-1.2762226282658773e-05,,76.59830205282196,
12,Colon_Kvasir,1000,ba4e978b5c0eddc9b3b61d8079b0608cce08538c377418616c844754ada39eb3,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.8478619513682942,0.536670991837964,,,0.8479010801008724,0.5367450555905742,,,3.912873257816418e-05,7.406375261020948e-05,,181.29922818997875,
14,Brain,3715,8d296fde0b232aa4cfdca1277b187a39ca7d4fff407ce109846c28ee1376a144,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.9263968250564751,0.3643668942668577,0.8529573170731707,0.9588007520795774,0.9264592397897518,0.36446552596970927,0.8529806910569105,0.9588048052456215,6.241473327661673e-05,9.863170285157041e-05,2.337398373986055e-05,625.3936058473773,4.053166044126755e-06
14,Liver,1493,8d296fde0b232aa4cfdca1277b187a39ca7d4fff407ce109846c28ee1376a144,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.9741002871150345,0.08702544953310491,0.6168267306922769,0.5139228235592062,0.9740996558945763,0.08701605182422124,0.6168340063298047,0.5139485966465527,-6.312204582359371e-07,-9.39770888366831e-06,7.275637527781598e-06,249.73433910124004,2.5773087346525614e-05
14,Retina,1805,8d296fde0b232aa4cfdca1277b187a39ca7d4fff407ce109846c28ee1376a144,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.9416665549212537,0.4152474153768236,0.8129454159562644,0.8074351719089343,0.9418136934434063,0.4152943945397632,0.8129466733054704,0.8074369182907957,0.00014713852215253453,4.69791629396088e-05,1.2573492060852232e-06,303.0527889113873,1.7463818613450144e-06
14,Colon_clinicDB,612,8d296fde0b232aa4cfdca1277b187a39ca7d4fff407ce109846c28ee1376a144,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.8681857369694417,0.4785441670343128,,,0.8682855380918124,0.4786368821049907,,,9.980112237073513e-05,9.271507067792895e-05,,113.60540807293728,
14,Colon_colonDB,380,8d296fde0b232aa4cfdca1277b187a39ca7d4fff407ce109846c28ee1376a144,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.8156382254410047,0.27936821772844495,,,0.8161694568613408,0.27956972851584455,,,0.0005312314203360646,0.00020151078739960582,,76.3468696824275,
14,Colon_Kvasir,1000,8d296fde0b232aa4cfdca1277b187a39ca7d4fff407ce109846c28ee1376a144,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.846159249629262,0.5084813635970603,,,0.8463525394411672,0.5086517050353667,,,0.0001932898119051396,0.00017034143830640947,,177.76986242691055,
16,Brain,3715,90c1ceeac04f46f390bc09d192e2cee078b5437d3edfe5f86d7d1c5a0691dbe9,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.8911288130417523,0.2988656540827914,0.8292591463414634,0.9484553470010757,0.8910428076642065,0.2988429214766755,0.829265243902439,0.9484571071351102,-8.600537754577253e-05,-2.2732606115904996e-05,6.097560975693028e-06,627.344535944052,1.7601340345230199e-06
16,Liver,1493,90c1ceeac04f46f390bc09d192e2cee078b5437d3edfe5f86d7d1c5a0691dbe9,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.9725102944214365,0.07944867559427711,0.5702426425115501,0.4689221071752825,0.972482117703535,0.0794107705874266,0.5702026265051475,0.4688665946199406,-2.8176717901562398e-05,-3.7905006850511014e-05,-4.001600640257674e-05,253.0985897630453,-5.551255534186339e-05
16,Retina,1805,90c1ceeac04f46f390bc09d192e2cee078b5437d3edfe5f86d7d1c5a0691dbe9,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.9217568641670733,0.3507117787382572,0.7928605197378679,0.7755666542933832,0.9191642004987617,0.34472160894523224,0.7928605197378679,0.7755666542933832,-0.002592663668311568,-0.005990169793024969,0.0,302.0012740367092,0.0
16,Colon_clinicDB,612,90c1ceeac04f46f390bc09d192e2cee078b5437d3edfe5f86d7d1c5a0691dbe9,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.8570159285355562,0.44274106656214146,,,0.8566425397231511,0.44254139517533664,,,-0.0003733888124051177,-0.00019967138680482277,,113.07781518017873,
16,Colon_colonDB,380,90c1ceeac04f46f390bc09d192e2cee078b5437d3edfe5f86d7d1c5a0691dbe9,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.7949289238910822,0.2539089445763547,,,0.7951528931894281,0.2537999710012292,,,0.00022396929834589407,-0.00010897357512551498,,77.98638959834352,
16,Colon_Kvasir,1000,90c1ceeac04f46f390bc09d192e2cee078b5437d3edfe5f86d7d1c5a0691dbe9,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.8404904586230639,0.5028794236366976,,,0.8403701363345825,0.5027818685274795,,,-0.00012032228848146698,-9.755510921805044e-05,,179.06195861287415,
18,Brain,3715,db772a1114048d7f64083343360cd9be99e431bed9363a58eb34f3680c093851,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.9308206055063823,0.31633694985039085,0.8370025406504065,0.9528178516305321,0.9307979397445255,0.3164171512786547,0.8369725609756098,0.9528127558443147,-2.2665761856832667e-05,8.020142826387078e-05,-2.9979674796676292e-05,622.780921602156,-5.0957862174350055e-06
18,Liver,1493,db772a1114048d7f64083343360cd9be99e431bed9363a58eb34f3680c093851,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.974035339865237,0.09085947165576068,0.5837535014005603,0.4735639024740737,0.9740293271544962,0.09086024772854931,0.5837735094037615,0.4735818971252677,-6.012710740854743e-06,7.760727886302332e-07,2.000800320123286e-05,253.93537183105946,1.799465119400878e-05
18,Retina,1805,db772a1114048d7f64083343360cd9be99e431bed9363a58eb34f3680c093851,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.9433984470900422,0.452934205004803,0.7865033621517772,0.7718965254217754,0.9425892116600105,0.4503181728088435,0.7865046195009833,0.7718996755320173,-0.0008092354300316407,-0.0026160321959595167,1.2573492060852232e-06,302.38695744704455,3.150110241878501e-06
18,Colon_clinicDB,612,db772a1114048d7f64083343360cd9be99e431bed9363a58eb34f3680c093851,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.8597946574775691,0.447833869268312,,,0.8592045701932866,0.4474424195048708,,,-0.0005900872842825589,-0.0003914497634411873,,115.74279882898554,
18,Colon_colonDB,380,db772a1114048d7f64083343360cd9be99e431bed9363a58eb34f3680c093851,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.8049116921817341,0.23152298138597788,,,0.8045614881824389,0.23129802472316635,,,-0.0003502039992951955,-0.00022495666281152626,,75.21188436122611,
18,Colon_Kvasir,1000,db772a1114048d7f64083343360cd9be99e431bed9363a58eb34f3680c093851,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.8567660895766832,0.5209869194587813,,,0.8565943530482026,0.5209740048841638,,,-0.00017173652848057053,-1.2914574617495234e-05,,181.87468878598884,
20,Brain,3715,a305f9b211bd85c0c3d7a58be7c6bb5428de1eef14f55a78d45e4bceea80af4d,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.8975208951271789,0.3310615360692284,0.8437251016260162,0.9558813350917392,0.897649113797119,0.33102070466735,0.8437268800813008,0.9558831185697712,0.00012821866994006115,-4.0831401878382856e-05,1.778455284595637e-06,635.8622123817913,1.7834780319248011e-06
20,Liver,1493,a305f9b211bd85c0c3d7a58be7c6bb5428de1eef14f55a78d45e4bceea80af4d,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.9699804344208481,0.08047595937090392,0.5865237003892466,0.48829890267489884,0.970014763293731,0.08048988838870838,0.5865200625704827,0.48828667850991575,3.432887288290498e-05,1.3929017804462096e-05,-3.637818763890799e-06,250.37951232492924,-1.222416498308787e-05
20,Retina,1805,a305f9b211bd85c0c3d7a58be7c6bb5428de1eef14f55a78d45e4bceea80af4d,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.885419351997625,0.2816784278001062,0.7998714989111356,0.7963729723729611,0.8862236207557469,0.28308458764926575,0.7998714989111356,0.7963729723729611,0.0008042687581218955,0.0014061598491595384,0.0,307.7887834282592,0.0
20,Colon_clinicDB,612,a305f9b211bd85c0c3d7a58be7c6bb5428de1eef14f55a78d45e4bceea80af4d,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.8689022129071704,0.4438953777686959,,,0.8686975189632085,0.4437121302639614,,,-0.00020469394396194218,-0.00018324750473452944,,112.056868866086,
20,Colon_colonDB,380,a305f9b211bd85c0c3d7a58be7c6bb5428de1eef14f55a78d45e4bceea80af4d,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.753683156003389,0.22095236187791312,,,0.753321033996689,0.22079987454108604,,,-0.00036212200669993866,-0.00015248733682707294,,74.13661979790777,
20,Colon_Kvasir,1000,a305f9b211bd85c0c3d7a58be7c6bb5428de1eef14f55a78d45e4bceea80af4d,PASS,PASS,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.840543855838528,0.4991513992027022,,,0.8403403178211579,0.49898072882979627,,,-0.00020353801737005295,-0.00017067037290591225,,177.26908134203404,
