target,epoch,pixel_auroc,pixel_ap,image_auroc,image_ap,config_sha,checkpoint_sha,evaluator_git_sha,source_effect_status
Brain,12,0.9277320043169284,0.32119812658198227,0.8361737804878049,0.9515290301562673,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,ba4e978b5c0eddc9b3b61d8079b0608cce08538c377418616c844754ada39eb3,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
Liver,12,0.9682980472170254,0.06637417742087445,0.5875586598275674,0.47833066607844366,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,ba4e978b5c0eddc9b3b61d8079b0608cce08538c377418616c844754ada39eb3,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
Retina,12,0.9279944621589211,0.43001957592093254,0.8081649742746353,0.7893899664734373,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,ba4e978b5c0eddc9b3b61d8079b0608cce08538c377418616c844754ada39eb3,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
Colon_clinicDB,12,0.8661153234664509,0.4926793732984822,,,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,ba4e978b5c0eddc9b3b61d8079b0608cce08538c377418616c844754ada39eb3,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
Colon_colonDB,12,0.8052604289633527,0.27657997928823963,,,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,ba4e978b5c0eddc9b3b61d8079b0608cce08538c377418616c844754ada39eb3,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
Colon_Kvasir,12,0.8479010801008724,0.5367450555905742,,,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,ba4e978b5c0eddc9b3b61d8079b0608cce08538c377418616c844754ada39eb3,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
Brain,14,0.9264592397897518,0.36446552596970927,0.8529806910569105,0.9588048052456215,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,8d296fde0b232aa4cfdca1277b187a39ca7d4fff407ce109846c28ee1376a144,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
Liver,14,0.9740996558945763,0.08701605182422124,0.6168340063298047,0.5139485966465527,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,8d296fde0b232aa4cfdca1277b187a39ca7d4fff407ce109846c28ee1376a144,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
Retina,14,0.9418136934434063,0.4152943945397632,0.8129466733054704,0.8074369182907957,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,8d296fde0b232aa4cfdca1277b187a39ca7d4fff407ce109846c28ee1376a144,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
Colon_clinicDB,14,0.8682855380918124,0.4786368821049907,,,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,8d296fde0b232aa4cfdca1277b187a39ca7d4fff407ce109846c28ee1376a144,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
Colon_colonDB,14,0.8161694568613408,0.27956972851584455,,,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,8d296fde0b232aa4cfdca1277b187a39ca7d4fff407ce109846c28ee1376a144,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
Colon_Kvasir,14,0.8463525394411672,0.5086517050353667,,,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,8d296fde0b232aa4cfdca1277b187a39ca7d4fff407ce109846c28ee1376a144,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
Brain,16,0.8910428076642065,0.2988429214766755,0.829265243902439,0.9484571071351102,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,90c1ceeac04f46f390bc09d192e2cee078b5437d3edfe5f86d7d1c5a0691dbe9,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
Liver,16,0.972482117703535,0.0794107705874266,0.5702026265051475,0.4688665946199406,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,90c1ceeac04f46f390bc09d192e2cee078b5437d3edfe5f86d7d1c5a0691dbe9,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
Retina,16,0.9191642004987617,0.34472160894523224,0.7928605197378679,0.7755666542933832,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,90c1ceeac04f46f390bc09d192e2cee078b5437d3edfe5f86d7d1c5a0691dbe9,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
Colon_clinicDB,16,0.8566425397231511,0.44254139517533664,,,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,90c1ceeac04f46f390bc09d192e2cee078b5437d3edfe5f86d7d1c5a0691dbe9,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
Colon_colonDB,16,0.7951528931894281,0.2537999710012292,,,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,90c1ceeac04f46f390bc09d192e2cee078b5437d3edfe5f86d7d1c5a0691dbe9,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
Colon_Kvasir,16,0.8403701363345825,0.5027818685274795,,,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,90c1ceeac04f46f390bc09d192e2cee078b5437d3edfe5f86d7d1c5a0691dbe9,da0b75cab2671a6b287ac17679c23302d1c93cad,alpha05_existing_paired_with_alpha0
