source,checkpoint_kind,epoch,payload_epoch,global_step,checkpoint_path,checkpoint_sha256,group,lr,constant_lr,weight_decay,betas,eps,maximize,amsgrad,initial_lr,params_count,optimizer_state_present,scheduler_last_epoch,scheduler_step_count,scheduler_last_lr,scheduler_state_json
cir,epoch,12,12,4332,runs/cir_rmt/CIR_DFG_RMT_V2/visa/seed0/checkpoints/epoch_12.pth,ba4e978b5c0eddc9b3b61d8079b0608cce08538c377418616c844754ada39eb3,image_adapter,0.001,,0,"(0.9, 0.999)",1e-08,False,False,0.001,99,True,0,1,"[0.001, 0.0005, 0.0001]","{""_get_lr_called_within_step"": false, ""_is_initial"": false, ""_last_lr"": [0.001, 0.0005, 0.0001], ""_step_count"": 1, ""base_lrs"": [0.001, 0.0005, 0.0001], ""gamma"": 0.9, ""last_epoch"": 0, ""step_size"": 1}"
cir,epoch,12,12,4332,runs/cir_rmt/CIR_DFG_RMT_V2/visa/seed0/checkpoints/epoch_12.pth,ba4e978b5c0eddc9b3b61d8079b0608cce08538c377418616c844754ada39eb3,text_adapter,0.0005,,0,"(0.9, 0.999)",1e-08,False,False,0.0005,15,True,0,1,"[0.001, 0.0005, 0.0001]","{""_get_lr_called_within_step"": false, ""_is_initial"": false, ""_last_lr"": [0.001, 0.0005, 0.0001], ""_step_count"": 1, ""base_lrs"": [0.001, 0.0005, 0.0001], ""gamma"": 0.9, ""last_epoch"": 0, ""step_size"": 1}"
cir,epoch,12,12,4332,runs/cir_rmt/CIR_DFG_RMT_V2/visa/seed0/checkpoints/epoch_12.pth,ba4e978b5c0eddc9b3b61d8079b0608cce08538c377418616c844754ada39eb3,soft_prompt,0.0001,0.0001,0,"(0.9, 0.999)",1e-08,False,False,0.0001,2,True,0,1,"[0.001, 0.0005, 0.0001]","{""_get_lr_called_within_step"": false, ""_is_initial"": false, ""_last_lr"": [0.001, 0.0005, 0.0001], ""_step_count"": 1, ""base_lrs"": [0.001, 0.0005, 0.0001], ""gamma"": 0.9, ""last_epoch"": 0, ""step_size"": 1}"
cir,epoch,14,14,5054,runs/cir_rmt/CIR_DFG_RMT_V2/visa/seed0/checkpoints/epoch_14.pth,8d296fde0b232aa4cfdca1277b187a39ca7d4fff407ce109846c28ee1376a144,image_adapter,0.001,,0,"(0.9, 0.999)",1e-08,False,False,0.001,99,True,0,1,"[0.001, 0.0005, 0.0001]","{""_get_lr_called_within_step"": false, ""_is_initial"": false, ""_last_lr"": [0.001, 0.0005, 0.0001], ""_step_count"": 1, ""base_lrs"": [0.001, 0.0005, 0.0001], ""gamma"": 0.9, ""last_epoch"": 0, ""step_size"": 1}"
cir,epoch,14,14,5054,runs/cir_rmt/CIR_DFG_RMT_V2/visa/seed0/checkpoints/epoch_14.pth,8d296fde0b232aa4cfdca1277b187a39ca7d4fff407ce109846c28ee1376a144,text_adapter,0.0005,,0,"(0.9, 0.999)",1e-08,False,False,0.0005,15,True,0,1,"[0.001, 0.0005, 0.0001]","{""_get_lr_called_within_step"": false, ""_is_initial"": false, ""_last_lr"": [0.001, 0.0005, 0.0001], ""_step_count"": 1, ""base_lrs"": [0.001, 0.0005, 0.0001], ""gamma"": 0.9, ""last_epoch"": 0, ""step_size"": 1}"
cir,epoch,14,14,5054,runs/cir_rmt/CIR_DFG_RMT_V2/visa/seed0/checkpoints/epoch_14.pth,8d296fde0b232aa4cfdca1277b187a39ca7d4fff407ce109846c28ee1376a144,soft_prompt,0.0001,0.0001,0,"(0.9, 0.999)",1e-08,False,False,0.0001,2,True,0,1,"[0.001, 0.0005, 0.0001]","{""_get_lr_called_within_step"": false, ""_is_initial"": false, ""_last_lr"": [0.001, 0.0005, 0.0001], ""_step_count"": 1, ""base_lrs"": [0.001, 0.0005, 0.0001], ""gamma"": 0.9, ""last_epoch"": 0, ""step_size"": 1}"
cir,epoch,16,16,5776,runs/cir_rmt/CIR_DFG_RMT_V2/visa/seed0/checkpoints/epoch_16.pth,90c1ceeac04f46f390bc09d192e2cee078b5437d3edfe5f86d7d1c5a0691dbe9,image_adapter,0.001,,0,"(0.9, 0.999)",1e-08,False,False,0.001,99,True,0,1,"[0.001, 0.0005, 0.0001]","{""_get_lr_called_within_step"": false, ""_is_initial"": false, ""_last_lr"": [0.001, 0.0005, 0.0001], ""_step_count"": 1, ""base_lrs"": [0.001, 0.0005, 0.0001], ""gamma"": 0.9, ""last_epoch"": 0, ""step_size"": 1}"
cir,epoch,16,16,5776,runs/cir_rmt/CIR_DFG_RMT_V2/visa/seed0/checkpoints/epoch_16.pth,90c1ceeac04f46f390bc09d192e2cee078b5437d3edfe5f86d7d1c5a0691dbe9,text_adapter,0.0005,,0,"(0.9, 0.999)",1e-08,False,False,0.0005,15,True,0,1,"[0.001, 0.0005, 0.0001]","{""_get_lr_called_within_step"": false, ""_is_initial"": false, ""_last_lr"": [0.001, 0.0005, 0.0001], ""_step_count"": 1, ""base_lrs"": [0.001, 0.0005, 0.0001], ""gamma"": 0.9, ""last_epoch"": 0, ""step_size"": 1}"
cir,epoch,16,16,5776,runs/cir_rmt/CIR_DFG_RMT_V2/visa/seed0/checkpoints/epoch_16.pth,90c1ceeac04f46f390bc09d192e2cee078b5437d3edfe5f86d7d1c5a0691dbe9,soft_prompt,0.0001,0.0001,0,"(0.9, 0.999)",1e-08,False,False,0.0001,2,True,0,1,"[0.001, 0.0005, 0.0001]","{""_get_lr_called_within_step"": false, ""_is_initial"": false, ""_last_lr"": [0.001, 0.0005, 0.0001], ""_step_count"": 1, ""base_lrs"": [0.001, 0.0005, 0.0001], ""gamma"": 0.9, ""last_epoch"": 0, ""step_size"": 1}"
cir,epoch,18,18,6498,runs/cir_rmt/CIR_DFG_RMT_V2/visa/seed0/checkpoints/epoch_18.pth,db772a1114048d7f64083343360cd9be99e431bed9363a58eb34f3680c093851,image_adapter,0.001,,0,"(0.9, 0.999)",1e-08,False,False,0.001,99,True,0,1,"[0.001, 0.0005, 0.0001]","{""_get_lr_called_within_step"": false, ""_is_initial"": false, ""_last_lr"": [0.001, 0.0005, 0.0001], ""_step_count"": 1, ""base_lrs"": [0.001, 0.0005, 0.0001], ""gamma"": 0.9, ""last_epoch"": 0, ""step_size"": 1}"
cir,epoch,18,18,6498,runs/cir_rmt/CIR_DFG_RMT_V2/visa/seed0/checkpoints/epoch_18.pth,db772a1114048d7f64083343360cd9be99e431bed9363a58eb34f3680c093851,text_adapter,0.0005,,0,"(0.9, 0.999)",1e-08,False,False,0.0005,15,True,0,1,"[0.001, 0.0005, 0.0001]","{""_get_lr_called_within_step"": false, ""_is_initial"": false, ""_last_lr"": [0.001, 0.0005, 0.0001], ""_step_count"": 1, ""base_lrs"": [0.001, 0.0005, 0.0001], ""gamma"": 0.9, ""last_epoch"": 0, ""step_size"": 1}"
cir,epoch,18,18,6498,runs/cir_rmt/CIR_DFG_RMT_V2/visa/seed0/checkpoints/epoch_18.pth,db772a1114048d7f64083343360cd9be99e431bed9363a58eb34f3680c093851,soft_prompt,0.0001,0.0001,0,"(0.9, 0.999)",1e-08,False,False,0.0001,2,True,0,1,"[0.001, 0.0005, 0.0001]","{""_get_lr_called_within_step"": false, ""_is_initial"": false, ""_last_lr"": [0.001, 0.0005, 0.0001], ""_step_count"": 1, ""base_lrs"": [0.001, 0.0005, 0.0001], ""gamma"": 0.9, ""last_epoch"": 0, ""step_size"": 1}"
cir,epoch,20,20,7220,runs/cir_rmt/CIR_DFG_RMT_V2/visa/seed0/checkpoints/epoch_20.pth,a305f9b211bd85c0c3d7a58be7c6bb5428de1eef14f55a78d45e4bceea80af4d,image_adapter,0.001,,0,"(0.9, 0.999)",1e-08,False,False,0.001,99,True,0,1,"[0.001, 0.0005, 0.0001]","{""_get_lr_called_within_step"": false, ""_is_initial"": false, ""_last_lr"": [0.001, 0.0005, 0.0001], ""_step_count"": 1, ""base_lrs"": [0.001, 0.0005, 0.0001], ""gamma"": 0.9, ""last_epoch"": 0, ""step_size"": 1}"
cir,epoch,20,20,7220,runs/cir_rmt/CIR_DFG_RMT_V2/visa/seed0/checkpoints/epoch_20.pth,a305f9b211bd85c0c3d7a58be7c6bb5428de1eef14f55a78d45e4bceea80af4d,text_adapter,0.0005,,0,"(0.9, 0.999)",1e-08,False,False,0.0005,15,True,0,1,"[0.001, 0.0005, 0.0001]","{""_get_lr_called_within_step"": false, ""_is_initial"": false, ""_last_lr"": [0.001, 0.0005, 0.0001], ""_step_count"": 1, ""base_lrs"": [0.001, 0.0005, 0.0001], ""gamma"": 0.9, ""last_epoch"": 0, ""step_size"": 1}"
cir,epoch,20,20,7220,runs/cir_rmt/CIR_DFG_RMT_V2/visa/seed0/checkpoints/epoch_20.pth,a305f9b211bd85c0c3d7a58be7c6bb5428de1eef14f55a78d45e4bceea80af4d,soft_prompt,0.0001,0.0001,0,"(0.9, 0.999)",1e-08,False,False,0.0001,2,True,0,1,"[0.001, 0.0005, 0.0001]","{""_get_lr_called_within_step"": false, ""_is_initial"": false, ""_last_lr"": [0.001, 0.0005, 0.0001], ""_step_count"": 1, ""base_lrs"": [0.001, 0.0005, 0.0001], ""gamma"": 0.9, ""last_epoch"": 0, ""step_size"": 1}"
cir,last,20,20,7220,runs/cir_rmt/CIR_DFG_RMT_V2/visa/seed0/last.pth,a305f9b211bd85c0c3d7a58be7c6bb5428de1eef14f55a78d45e4bceea80af4d,image_adapter,0.001,,0,"(0.9, 0.999)",1e-08,False,False,0.001,99,True,0,1,"[0.001, 0.0005, 0.0001]","{""_get_lr_called_within_step"": false, ""_is_initial"": false, ""_last_lr"": [0.001, 0.0005, 0.0001], ""_step_count"": 1, ""base_lrs"": [0.001, 0.0005, 0.0001], ""gamma"": 0.9, ""last_epoch"": 0, ""step_size"": 1}"
cir,last,20,20,7220,runs/cir_rmt/CIR_DFG_RMT_V2/visa/seed0/last.pth,a305f9b211bd85c0c3d7a58be7c6bb5428de1eef14f55a78d45e4bceea80af4d,text_adapter,0.0005,,0,"(0.9, 0.999)",1e-08,False,False,0.0005,15,True,0,1,"[0.001, 0.0005, 0.0001]","{""_get_lr_called_within_step"": false, ""_is_initial"": false, ""_last_lr"": [0.001, 0.0005, 0.0001], ""_step_count"": 1, ""base_lrs"": [0.001, 0.0005, 0.0001], ""gamma"": 0.9, ""last_epoch"": 0, ""step_size"": 1}"
cir,last,20,20,7220,runs/cir_rmt/CIR_DFG_RMT_V2/visa/seed0/last.pth,a305f9b211bd85c0c3d7a58be7c6bb5428de1eef14f55a78d45e4bceea80af4d,soft_prompt,0.0001,0.0001,0,"(0.9, 0.999)",1e-08,False,False,0.0001,2,True,0,1,"[0.001, 0.0005, 0.0001]","{""_get_lr_called_within_step"": false, ""_is_initial"": false, ""_last_lr"": [0.001, 0.0005, 0.0001], ""_step_count"": 1, ""base_lrs"": [0.001, 0.0005, 0.0001], ""gamma"": 0.9, ""last_epoch"": 0, ""step_size"": 1}"
phase2b_available_artifact,artifact,10,10,,runs/phase2b/phase2b_hybrid_alpha02_kreg2e3_lkg1e2_lr5e5_train15_test6medical7to15_fromscratch/adapter_10.pth,ae27443f99020588298a9ecc6dfc833a83ebe7a752f00e8524042d5a84a2c0cb,image_adapter,,,,,,,,,,False,,,,{}
phase2b_available_artifact,artifact,10,10,,runs/phase2b/phase2b_hybrid_alpha02_kreg2e3_lkg1e2_lr5e5_train15_test6medical7to15_fromscratch/adapter_10.pth,ae27443f99020588298a9ecc6dfc833a83ebe7a752f00e8524042d5a84a2c0cb,text_adapter,,,,,,,,,,False,,,,{}
phase2b_available_artifact,artifact,10,10,,runs/phase2b/phase2b_hybrid_alpha02_kreg2e3_lkg1e2_lr5e5_train15_test6medical7to15_fromscratch/adapter_10.pth,ae27443f99020588298a9ecc6dfc833a83ebe7a752f00e8524042d5a84a2c0cb,soft_prompt,,,,,,,,,,False,,,,{}
