epoch,method,cohort,stat,value,n,checkpoint_sha256,source
10,C0,normal,p10,3.2427982521454624e-09,12879552,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,new_CIR_checkpoint
10,C0,normal,p50,3.542074189510913e-09,12879552,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,new_CIR_checkpoint
10,C0,normal,p90,8.063596013130336e-09,12879552,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,new_CIR_checkpoint
10,C0,normal,p95,2.7217134945800272e-08,12879552,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,new_CIR_checkpoint
10,C0,normal,p99,1.4075811313887249e-05,12879552,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,new_CIR_checkpoint
10,C0,normal,p99.5,3.066056102397842e-05,12879552,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,new_CIR_checkpoint
10,C0,normal,p99.9,9.867622273304425e-05,12879552,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,new_CIR_checkpoint
10,C0,anomaly,p10,4.072736814464406e-09,12879552,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,new_CIR_checkpoint
10,C0,anomaly,p50,8.395119266424445e-09,12879552,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,new_CIR_checkpoint
10,C0,anomaly,p90,2.9792064992761954e-07,12879552,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,new_CIR_checkpoint
10,C0,anomaly,p95,1.5888286782228522e-06,12879552,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,new_CIR_checkpoint
10,C0,anomaly,p99,0.00011226336333493258,12879552,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,new_CIR_checkpoint
10,C0,anomaly,p99.5,0.0015583773306570249,12879552,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,new_CIR_checkpoint
