epoch,start_image_lr,post_image_lr,start_text_lr,post_text_lr,start_prompt_lr,post_prompt_lr,soft_prompt_frozen,scheduler_last_epoch,scheduler_step_count,checkpoint_sha256,post_lr_source
1,0.001,0.0009000000000000001,0.0005,0.00045000000000000004,0.0,0.0,True,1,2,,manifest_history_policy
2,0.0009000000000000001,0.0008100000000000001,0.00045000000000000004,0.00040500000000000003,0.0,0.0,True,2,3,,manifest_history_policy
3,0.0008100000000000001,0.000729,0.00040500000000000003,0.0003645,0.0,0.0,True,3,4,,manifest_history_policy
4,0.000729,0.0006561000000000001,0.0003645,0.00032805000000000003,0.0001,9e-05,False,4,5,,manifest_history_policy
5,0.0006561000000000001,0.00059049,0.00032805000000000003,0.000295245,0.0001,9e-05,False,5,6,,manifest_history_policy
6,0.00059049,0.000531441,0.000295245,0.0002657205,0.0001,9e-05,False,6,7,,manifest_history_policy
7,0.000531441,0.0004782969,0.0002657205,0.00023914845,0.0001,9e-05,False,7,8,,manifest_history_policy
8,0.0004782969,0.00043046721,0.00023914845,0.000215233605,0.0001,9e-05,False,8,9,,manifest_history_policy
9,0.00043046721,0.000387420489,0.000215233605,0.0001937102445,0.0001,9e-05,False,9,10,,manifest_history_policy
10,0.00038742048899999997,0.0003486784401,0.00019371024449999999,0.00017433922005,0.0001,9e-05,False,10,11,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,checkpoint_optimizer_state
11,0.00034867844010000006,0.00031381059609000004,0.00017433922005000003,0.00015690529804500002,0.0001,9e-05,False,11,12,,manifest_history_policy
12,0.00031381059609000004,0.00028242953648100003,0.00015690529804500002,0.00014121476824050002,0.0001,9e-05,False,12,13,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,checkpoint_optimizer_state
13,0.00028242953648100003,0.00025418658283290005,0.00014121476824050002,0.00012709329141645002,0.0001,9e-05,False,13,14,,manifest_history_policy
14,0.00025418658283290005,0.00022876792454961005,0.00012709329141645002,0.00011438396227480502,0.0001,9e-05,False,14,15,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,checkpoint_optimizer_state
