epoch,start_image_lr,post_image_lr,start_text_lr,post_text_lr,start_prompt_lr,post_prompt_lr,soft_prompt_frozen,scheduler_last_epoch,scheduler_step_count,checkpoint_sha256,post_lr_source
1,0.001,0.0009000000000000001,0.0005,0.00045000000000000004,0.0,0.0,True,1,2,,manifest_history
2,0.0009000000000000001,0.0008100000000000001,0.00045000000000000004,0.00040500000000000003,0.0,0.0,True,2,3,,manifest_history
3,0.0008100000000000001,0.000729,0.00040500000000000003,0.0003645,0.0,0.0,True,3,4,,manifest_history
4,0.0007290000000000002,0.0006561000000000001,0.0003645000000000001,0.00032805000000000003,0.0001,9e-05,False,4,5,,manifest_history
5,0.0006561000000000001,0.00059049,0.00032805000000000003,0.000295245,0.0001,9e-05,False,5,6,,manifest_history
6,0.00059049,0.000531441,0.000295245,0.0002657205,0.0001,9e-05,False,6,7,,manifest_history
7,0.000531441,0.0004782969,0.0002657205,0.00023914845,0.0001,9e-05,False,7,8,,manifest_history
8,0.0004782969000000001,0.00043046721,0.00023914845000000005,0.000215233605,0.0001,9e-05,False,8,9,,manifest_history
9,0.0004304672100000001,0.000387420489,0.00021523360500000005,0.0001937102445,0.0001,9e-05,False,9,10,,manifest_history
10,0.0003874204890000001,0.0003486784401,0.00019371024450000004,0.00017433922005,0.0001,9e-05,False,10,11,31ca8344c646693d0ee51941d39f28aa07b6a102c49d1efdc5e3cdf2ec8bcc50,manifest_history
11,0.0003486784401000001,0.00031381059609000004,0.00017433922005000006,0.00015690529804500002,0.0001,9e-05,False,11,12,,manifest_history
12,0.0003138105960900001,0.00028242953648100003,0.00015690529804500005,0.00014121476824050002,0.0001,9e-05,False,12,13,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,manifest_history
13,0.0002824295364810001,0.00025418658283290005,0.00014121476824050004,0.00012709329141645002,0.0001,9e-05,False,13,14,,manifest_history
14,0.0002541865828329001,0.00022876792454961005,0.00012709329141645005,0.00011438396227480502,0.0001,9e-05,False,14,15,3eb6e2fe12f96b84745baf0f8a013f88c7f3a739283493a2ba5e31a35ad2f6c2,manifest_history
