epoch,metric,n_targets,interaction,CIR_with_anchor_minus_PA,status
10,pixel_auroc,6,0.00945527294307269,-0.004664983290259772,factorial_interaction
10,pixel_ap,6,0.008109134322240807,-0.010407071639873311,factorial_interaction
10,image_auroc,3,-0.03982794552478086,-0.022055883884432914,factorial_interaction
10,image_ap,3,-0.0007000712511178175,-0.0057493617996561275,factorial_interaction
12,pixel_auroc,6,0.013001393771161052,-0.006612307531518757,factorial_interaction
12,pixel_ap,6,0.017213646550456818,-0.008690522529280542,factorial_interaction
12,image_auroc,3,0.022882566763030687,0.02601235652446554,factorial_interaction
12,image_ap,3,0.03469549754278811,0.031440009291171744,factorial_interaction
14,pixel_auroc,6,0.015268330282542819,0.0012808032016268234,factorial_interaction
14,pixel_ap,6,0.02090832448586505,0.007750550386860122,factorial_interaction
14,image_auroc,3,-0.028555051974339607,0.005612263840804932,factorial_interaction
14,image_ap,3,-0.002939778047395536,0.01763289104403143,factorial_interaction
16,pixel_auroc,6,0.01302323788230686,0.00236028798750032,factorial_interaction
16,pixel_ap,6,0.028580792708152947,0.014465413910398961,factorial_interaction
16,image_auroc,3,-0.018387152050791,0.008702022363252349,factorial_interaction
16,image_ap,3,0.009978037331387135,0.02076828356657212,factorial_interaction
18,pixel_auroc,6,0.011484516155512159,0.0037254503484530632,factorial_interaction
18,pixel_ap,6,0.034335735976367354,0.011374268829323408,factorial_interaction
18,image_auroc,3,-0.023554185708207442,0.0020390831078459515,factorial_interaction
18,image_ap,3,0.010155617225832803,0.021632849847815994,factorial_interaction
20,pixel_auroc,6,0.008411878702611064,0.0015036925815918867,factorial_interaction
20,pixel_ap,6,0.03958347125720563,0.014504201704863218,factorial_interaction
20,image_auroc,3,0.0014597787231681592,0.01132478187382946,factorial_interaction
20,image_ap,3,0.013980697096208194,0.02617281704257335,factorial_interaction
