cell_id,scope,method,epoch,target,status,cell_path,cell_sha256,checkpoint_sha256,n_images,updated_at
medical__PA__E10__Brain,medical,PA,10,Brain,COMPLETE,cells/medical__PA__E10__Brain.json,521eb66eff6a30fc57880cc6011d4f0aa2cd4912efbf94306845a7b4e64c5c60,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,3715,2026-08-31T22:40:18Z
medical__PA__E12__Brain,medical,PA,12,Brain,COMPLETE,cells/medical__PA__E12__Brain.json,6f0f008e3f8821242a12568ad0dc19a414abdcf0a9da5b3f00c1c92fe4bfcfcc,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,3715,2026-08-31T22:50:29Z
medical__PA__E14__Brain,medical,PA,14,Brain,COMPLETE,cells/medical__PA__E14__Brain.json,cf89eb327f5cab7fbda2b90f7924f77f21d91b4e50a0fb21aafa7cd3ae0da04f,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,3715,2026-08-31T23:00:31Z
medical__PA__E16__Brain,medical,PA,16,Brain,COMPLETE,cells/medical__PA__E16__Brain.json,6d5cd7ff6744fcbc378678e22a269d6f0f507ef79a240c264ee4b103d2e2e8d4,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,3715,2026-08-31T23:10:33Z
medical__PA__E18__Brain,medical,PA,18,Brain,COMPLETE,cells/medical__PA__E18__Brain.json,c76ea7d776974a77bd8c71ae13ab9d4333443c42d9c665646dcf26822bfb9e76,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,3715,2026-08-31T23:20:37Z
medical__PA__E20__Brain,medical,PA,20,Brain,COMPLETE,cells/medical__PA__E20__Brain.json,052adfdd9f430408a8649b0a8970b458c704d6202db1160413171d99842110a1,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,3715,2026-08-31T23:30:38Z
medical__PA__E10__Liver,medical,PA,10,Liver,COMPLETE,cells/medical__PA__E10__Liver.json,aa4afe7193eebb04bb5f31e3e09d480616d37dc064fa82731ffa26821bd365ed,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,1493,2026-08-31T23:34:36Z
medical__PA__E12__Liver,medical,PA,12,Liver,COMPLETE,cells/medical__PA__E12__Liver.json,8897864cb2921916b9e8d70a00e924042fc8dd1a532512fcd09b3f483ebd0e1d,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,1493,2026-08-31T23:38:34Z
medical__PA__E14__Liver,medical,PA,14,Liver,COMPLETE,cells/medical__PA__E14__Liver.json,3c1449df884b119dbe6c357fe44660b8c2fdf45008496f84aacc82cf5d30ca1d,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,1493,2026-08-31T23:42:32Z
medical__PA__E16__Liver,medical,PA,16,Liver,COMPLETE,cells/medical__PA__E16__Liver.json,f2391fda6df7dd1fc1e9a97fa8c473f09390d4a1190590be550bcfffffa1416d,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,1493,2026-08-31T23:46:29Z
medical__PA__E18__Liver,medical,PA,18,Liver,COMPLETE,cells/medical__PA__E18__Liver.json,0158e63dfe7dfb8409d5b87e1b7055899811fbf5d0f25f180754ba9372d0325e,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,1493,2026-08-31T23:50:31Z
medical__PA__E20__Liver,medical,PA,20,Liver,COMPLETE,cells/medical__PA__E20__Liver.json,91c17867a2db3c7be7eaf486ebed2a0775ce5944e05b738b0b3979417485b31e,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,1493,2026-08-31T23:54:29Z
