target,epoch,method,n_images,pixel_auroc,pixel_ap,image_auroc,image_ap,checkpoint_sha256,parent_config_sha256,evaluator_git_sha,evaluator_sha256,source,status
Brain,10,PA,3715,0.9336653001056007,0.3558928923379972,0.810651930894309,0.9421352831917622,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Liver,10,PA,1493,0.961950189643416,0.0478529789234092,0.660011277238168,0.5117721970450018,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Retina,10,PA,1805,0.9197770751687093,0.360840989721198,0.7704231231548401,0.7683971851677611,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Colon_clinicDB,10,PA,612,0.8750871698436974,0.483197195304193,,,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Colon_colonDB,10,PA,380,0.8421091435865793,0.3049977207356405,,,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Colon_Kvasir,10,PA,1000,0.8523862817023501,0.5224476864274337,,,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Brain,12,PA,3715,0.9405131183925947,0.320277147259976,0.800849593495935,0.9390840325977337,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Liver,12,PA,1493,0.967259269592791,0.05885820417328568,0.6119284077267271,0.48001826489880794,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Retina,12,PA,1805,0.9299485902560347,0.3898361948813842,0.742263530334807,0.7243127390914007,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Colon_clinicDB,12,PA,612,0.8753871166262861,0.4760405826069245,,,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
