epoch,method,metric,value,checkpoint_sha256,source
10,PA,raw_pixel_auroc,0.9417952368088535,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,new_PA_checkpoint
10,PA,raw_pixel_ap,0.5406616283254777,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,new_PA_checkpoint
10,PA,deployed_pixel_auroc,0.9409943916340812,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,new_PA_checkpoint
10,PA,deployed_pixel_ap,0.44647793754521975,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,new_PA_checkpoint
10,PA,pearson_sample,0.6924771273594326,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,new_PA_checkpoint
10,PA,mae,0.0012671288568526506,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,new_PA_checkpoint
10,PA,max_abs_change,0.9999891519546509,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,new_PA_checkpoint
10,PA,deployed_minus_raw_pixel_ap,-0.09418369078025796,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,new_PA_checkpoint
10,PA,normal_raw_p99,3.09652961050233e-08,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,new_PA_checkpoint
10,PA,normal_deployed_p99,2.215805139371696e-08,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,new_PA_checkpoint
10,PA,normal_raw_p99.9,2.0291403757255466e-07,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,new_PA_checkpoint
10,PA,normal_deployed_p99.9,7.15648411642178e-08,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,new_PA_checkpoint
10,PA,anomaly_raw_p50,3.806547521634229e-09,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,new_PA_checkpoint
10,PA,anomaly_deployed_p50,4.084171667528835e-09,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,new_PA_checkpoint
10,PA,anomaly_raw_p90,2.0749229179273243e-07,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,new_PA_checkpoint
10,PA,anomaly_deployed_p90,1.8836927040410956e-07,9f12f21327061eea36af03d24f73dfcc06b11158019b37e7691a103c529ba0c2,new_PA_checkpoint
12,PA,raw_pixel_auroc,0.9572794484071823,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,new_PA_checkpoint
12,PA,raw_pixel_ap,0.5692898722418978,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,new_PA_checkpoint
12,PA,deployed_pixel_auroc,0.9595426228864268,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,new_PA_checkpoint
12,PA,deployed_pixel_ap,0.49772119152662025,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,new_PA_checkpoint
12,PA,pearson_sample,0.7617514600679911,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,new_PA_checkpoint
12,PA,mae,0.0016694896621629596,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,new_PA_checkpoint
12,PA,max_abs_change,0.9999966025352478,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,new_PA_checkpoint
12,PA,deployed_minus_raw_pixel_ap,-0.0715686807152775,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,new_PA_checkpoint
12,PA,normal_raw_p99,1.595314245150803e-07,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,new_PA_checkpoint
12,PA,normal_deployed_p99,8.11162692571088e-08,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,new_PA_checkpoint
12,PA,normal_raw_p99.9,1.7779444760890328e-06,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,new_PA_checkpoint
12,PA,normal_deployed_p99.9,3.034482176644815e-07,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,new_PA_checkpoint
12,PA,anomaly_raw_p50,4.71446570671219e-09,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,new_PA_checkpoint
12,PA,anomaly_deployed_p50,5.122699153758958e-09,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,new_PA_checkpoint
12,PA,anomaly_raw_p90,3.018107577190676e-07,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,new_PA_checkpoint
12,PA,anomaly_deployed_p90,2.7691254445016966e-07,2bf264f6ab7b5596fa5eeb425a517da28ece3be477c50e395e4bb4b82f9900b8,new_PA_checkpoint
14,PA,raw_pixel_auroc,0.9555315467195757,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,raw_pixel_ap,0.5873204392411956,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,deployed_pixel_auroc,0.9587822723651932,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,deployed_pixel_ap,0.5110024087516958,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,pearson_sample,0.6859495494598266,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,mae,0.0013153968611732125,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,max_abs_change,0.9999971985816956,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,deployed_minus_raw_pixel_ap,-0.07631803048949981,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,normal_raw_p99,6.626056148206771e-08,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,normal_deployed_p99,3.580033691719109e-08,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,normal_raw_p99.9,4.447363971848972e-05,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,normal_deployed_p99.9,1.4472881048277486e-05,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
