epoch,method,cohort,stat,value,n
10,P0,normal,p10,2.6777757788920553e-09,12879552
10,P0,normal,p50,2.846017421731517e-09,12879552
10,P0,normal,p90,4.789328489351874e-09,12879552
10,P0,normal,p95,6.432360688535245e-09,12879552
10,P0,normal,p99,1.3887223815345351e-08,12879552
10,P0,normal,p99.5,1.939285938945539e-08,12879552
10,P0,normal,p99.9,4.381086756310856e-08,12879552
10,P0,anomaly,p10,2.8061082346653166e-09,12879552
10,P0,anomaly,p50,3.7072012126770915e-09,12879552
10,P0,anomaly,p90,1.6935850055688206e-08,12879552
10,P0,anomaly,p95,6.3632521829504e-08,12879552
10,P0,anomaly,p99,1.1920548668058709e-05,12879552
10,P0,anomaly,p99.5,0.0006910210175556077,12879552
10,P0,anomaly,p99.9,0.24137196135519212,12879552
10,P0,all,top_precision_0.001,0.611824993206258,25759
10,P0,all,top_precision_0.005,0.23461132333302276,128796
10,P0,all,top_precision_0.01,0.12932128839905122,257591
10,P0,all,top_precision_0.02,0.0664056585827921,515182
10,P0,all,top_precision_0.05,0.02802194176038759,1287955
10,P05,normal,p10,2.7747601993866056e-09,12879552
10,P05,normal,p50,2.9539986012849795e-09,12879552
10,P05,normal,p90,4.900006178587546e-09,12879552
10,P05,normal,p95,6.58029168931761e-09,12879552
10,P05,normal,p99,1.419713276717974e-08,12879552
10,P05,normal,p99.5,1.9812357407999932e-08,12879552
10,P05,normal,p99.9,4.468228092946377e-08,12879552
10,P05,anomaly,p10,2.9195610373733416e-09,12879552
10,P05,anomaly,p50,3.815699312070819e-09,12879552
10,P05,anomaly,p90,1.7240095573356484e-08,12879552
10,P05,anomaly,p95,6.430118055789071e-08,12879552
10,P05,anomaly,p99,1.1988618598479945e-05,12879552
10,P05,anomaly,p99.5,0.0006934016276499091,12879552
10,P05,anomaly,p99.9,0.24171012431382943,12879552
10,P05,all,top_precision_0.001,0.6118638145890757,25759
10,P05,all,top_precision_0.005,0.23458803068418274,128796
10,P05,all,top_precision_0.01,0.12932128839905122,257591
10,P05,all,top_precision_0.02,0.0664056585827921,515182
10,P05,all,top_precision_0.05,0.028014953938608103,1287955
10,C0,normal,p10,2.5550783711025815e-09,12879552
10,C0,normal,p50,2.8039039978722258e-09,12879552
10,C0,normal,p90,4.629129524147402e-09,12879552
10,C0,normal,p95,6.331700941331064e-09,12879552
10,C0,normal,p99,3.210351977145369e-08,12879552
