epoch,method,n_images,pixel_auroc,pixel_ap,image_auroc,image_ap
10,P0,96,0.9718331156740962,0.4949767817164079,0.9691840277777778,0.9739874960951798
10,P05,96,0.9713765273849103,0.4949581111947311,0.9691840277777778,0.9739874960951798
10,C0,96,0.9275117531454271,0.4626210940744351,0.9592013888888888,0.9671114455979801
10,C05,96,0.927392559874315,0.4627000914353844,0.9592013888888888,0.9671114455979801
12,P0,96,0.9605990320026057,0.4573300920889267,0.9861111111111112,0.986964447863963
12,P05,96,0.9603505562256583,0.4573106421731863,0.9861111111111112,0.986964447863963
12,C0,96,0.9372797640037236,0.4595460803652942,0.9670138888888888,0.9730585310338221
12,C05,96,0.9387040172066397,0.45962888427739906,0.9670138888888888,0.9730585310338221
14,P0,96,0.961153083092938,0.4756023564118824,0.9852430555555556,0.986690049743004
14,P05,96,0.961102870739338,0.4756070875659294,0.9852430555555556,0.986690049743004
14,C0,96,0.9378951387732162,0.513409215690459,0.9822048611111112,0.9844964527264322
14,C05,96,0.9392449564117534,0.5135118723113324,0.9822048611111112,0.9844964527264322
16,P0,96,0.954717579317569,0.4709689477631647,0.9908854166666666,0.9918278100290037
16,P05,96,0.9543835734470074,0.4709531590153234,0.9908854166666666,0.9918278100290037
16,C0,96,0.9513386568857485,0.4800598905252289,0.9921875,0.9932369608741389
16,C05,96,0.9516691849666578,0.4801926644926457,0.9921875,0.9932369608741389
18,P0,96,0.9692251299971568,0.48556153984230804,0.9709201388888888,0.9768491037042383
18,P05,96,0.9689803272288072,0.4856053416926414,0.9709201388888888,0.9768491037042383
18,C0,96,0.9569664721157103,0.36762411828863056,0.9939236111111112,0.9946653189577717
18,C05,96,0.9568007997639306,0.36764893164199075,0.9939236111111112,0.9946653189577717
20,P0,96,0.9610675116753277,0.47466737499420975,0.9839409722222222,0.9862724224800008
20,P05,96,0.9605785356716818,0.4746655795037288,0.9839409722222222,0.9862724224800008
20,C0,96,0.9597833100867541,0.5489931900084172,0.9978298611111112,0.9980345911949685
20,C05,96,0.9598483967623433,0.5490750703135155,0.9978298611111112,0.9980345911949685
