method,epoch,class_name,n_images,pixel_auroc,pixel_ap,image_auroc,image_ap,checkpoint_sha256
R,10,candle,8,0.9976482352682291,0.5265956979898524,1.0,1.0,e167a5a53c314f8e7f2ca84cd0ad44578564dc10d45212d6d746b8637cbdb2a8
R,10,capsules,8,0.9996906162008654,0.9392574791155582,1.0,1.0,e167a5a53c314f8e7f2ca84cd0ad44578564dc10d45212d6d746b8637cbdb2a8
R,10,cashew,8,0.997309701435643,0.730069550340457,1.0,1.0,e167a5a53c314f8e7f2ca84cd0ad44578564dc10d45212d6d746b8637cbdb2a8
R,10,chewinggum,8,0.9977805135846819,0.8448817720395214,1.0,1.0,e167a5a53c314f8e7f2ca84cd0ad44578564dc10d45212d6d746b8637cbdb2a8
R,10,fryum,8,0.9851155017809913,0.09633240297518272,1.0,1.0,e167a5a53c314f8e7f2ca84cd0ad44578564dc10d45212d6d746b8637cbdb2a8
R,10,macaroni1,8,0.9994548998507694,0.33348969012116847,1.0,1.0,e167a5a53c314f8e7f2ca84cd0ad44578564dc10d45212d6d746b8637cbdb2a8
R,10,macaroni2,8,0.9391631425011916,0.12544890302667483,0.875,0.9166666666666666,e167a5a53c314f8e7f2ca84cd0ad44578564dc10d45212d6d746b8637cbdb2a8
R,10,pcb1,8,0.8577197853756909,0.1534358717697443,1.0,1.0,e167a5a53c314f8e7f2ca84cd0ad44578564dc10d45212d6d746b8637cbdb2a8
R,10,pcb2,8,0.7881499189746994,0.05549007976432085,1.0,1.0,e167a5a53c314f8e7f2ca84cd0ad44578564dc10d45212d6d746b8637cbdb2a8
R,10,pcb3,8,0.9941673589644854,0.5027875534503969,1.0,1.0,e167a5a53c314f8e7f2ca84cd0ad44578564dc10d45212d6d746b8637cbdb2a8
R,10,pcb4,8,0.9924088196806051,0.4249625166700356,1.0,1.0,e167a5a53c314f8e7f2ca84cd0ad44578564dc10d45212d6d746b8637cbdb2a8
R,10,pipe_fryum,8,0.9896396951479418,0.30510601948424493,1.0,1.0,e167a5a53c314f8e7f2ca84cd0ad44578564dc10d45212d6d746b8637cbdb2a8
RA,10,candle,8,0.998626943080809,0.5834437306554132,1.0,1.0,8f7597db9a874af77658c176bf0ae188de484c02d4ccaa56f2db1f443a58560d
RA,10,capsules,8,0.9994501042648604,0.8976809135406854,1.0,1.0,8f7597db9a874af77658c176bf0ae188de484c02d4ccaa56f2db1f443a58560d
RA,10,cashew,8,0.9998101312136907,0.8778964631288445,1.0,1.0,8f7597db9a874af77658c176bf0ae188de484c02d4ccaa56f2db1f443a58560d
RA,10,chewinggum,8,0.9978690423782981,0.8536333912094517,1.0,1.0,8f7597db9a874af77658c176bf0ae188de484c02d4ccaa56f2db1f443a58560d
