comparison,scope,from_method,from_epoch,to_method,to_epoch,metric,from_value,to_value,delta,n_valid_targets,causal_status
H2_historical_reported,Medical,H2,10,,,pixel_auroc,0.9097500000000002,,,6,reference_only
H2_historical_reported,Medical,H2,10,,,pixel_ap,0.40348333333333336,,,6,reference_only
H2_current_exact_evaluator,Medical,H2,10,,,pixel_auroc,0.9092218791379595,,,6,current_evaluator_reference
H2_current_exact_evaluator,Medical,H2,10,,,pixel_ap,0.40373064551722954,,,6,current_evaluator_reference
R_new_E10,Medical,R,10,,,pixel_auroc,0.8942995859258764,,,6,new_matched_arm
R_new_E10,Medical,R,10,,,pixel_ap,0.354425235970159,,,6,new_matched_arm
Historical_H2_to_R,Medical,H2,10,R,10,pixel_auroc,0.9092218791379595,0.8942995859258764,-0.0149222932120831,6,not_a_training_causal_effect
Historical_H2_to_R,Medical,H2,10,R,10,pixel_ap,0.40373064551722954,0.354425235970159,-0.0493054095470705,6,not_a_training_causal_effect
Anchor_increment,Medical,R,10,RA,16,pixel_auroc,0.8942995859258764,0.8789035017406901,-0.0153960841851863,6,epoch_confounded_selected_checkpoint_comparison
Anchor_increment,Medical,R,10,RA,16,pixel_ap,0.354425235970159,0.3716246431218127,0.0171994071516537,6,epoch_confounded_selected_checkpoint_comparison
Anchor_increment,Medical,R,10,RA,16,image_auroc,0.7454932494107845,0.7665192522386045,0.0210260028278200,3,epoch_confounded_supported_targets_only
Anchor_increment,Medical,R,10,RA,16,image_ap,0.7460134518683703,0.7440998111753295,-0.0019136406930408,3,epoch_confounded_supported_targets_only
CIR_increment,Medical,RA,16,RCA,12,pixel_auroc,0.8789035017406901,0.868403541258822,-0.0104999604818681,6,epoch_confounded_selected_checkpoint_comparison
CIR_increment,Medical,RA,16,RCA,12,pixel_ap,0.3716246431218127,0.3735474998987815,0.0019228567769688,6,epoch_confounded_selected_checkpoint_comparison
CIR_increment,Medical,RA,16,RCA,12,image_auroc,0.7665192522386045,0.7864830306918082,0.0199637784532037,3,epoch_confounded_supported_targets_only
CIR_increment,Medical,RA,16,RCA,12,image_ap,0.7440998111753295,0.7700797255749100,0.0259799143995805,3,epoch_confounded_supported_targets_only
Source_same_E10_anchor,VisA,R,10,RA,10,pixel_auroc,0.9439353144493897,0.9769782375677166,0.0330429231183269,96,same_protocol_source_signal
Source_same_E10_anchor,VisA,R,10,RA,10,pixel_ap,0.4050818310284318,0.4908903858185163,0.0858085547900845,96,same_protocol_source_signal
Source_same_E10_cir,VisA,RA,10,RCA,10,pixel_auroc,0.9769782375677166,0.9311222251850544,-0.0458560123826622,96,same_protocol_source_signal
Source_same_E10_cir,VisA,RA,10,RCA,10,pixel_ap,0.4908903858185163,0.4934119434626660,0.0025215576441497,96,same_protocol_source_signal
