method,epoch,target,n_images,checkpoint_sha256,config_sha256,evaluator_git_sha,evaluator_sha256,pixel_auroc,pixel_ap,image_auroc,image_ap
RA,16,bottle,83,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.8671990073513178,0.5098902945869532,0.953968253968254,0.9867631483226502
RA,16,cable,150,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.7243763261272879,0.17768132538465412,0.7955397301349325,0.8591946149473886
RA,16,capsule,132,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.9386467309726443,0.2496055892123629,0.9106501794974072,0.9826176444751753
RA,16,carpet,117,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.9918606239675958,0.7796033794046948,0.9939807383627608,0.9983794295592049
RA,16,grid,78,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.9436504338361377,0.27463908000900006,0.9565580618212197,0.9838815361367532
RA,16,hazelnut,110,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.9618680589309748,0.4988548259962226,0.9246428571428571,0.963803015187979
RA,16,leather,124,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.9896970621320281,0.5359887289471893,1.0,1.0
RA,16,metal_nut,115,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.652576485678377,0.2413632296369048,0.7248289345063539,0.9392495552982754
RA,16,pill,167,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.8152150070084939,0.2867101168823043,0.8933442444080743,0.9802966965686474
RA,16,screw,160,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,c1be71655ca245516f67a20e8712e52251e37ca627bdade77bf78f809f283876,6d989791a4e63a26e4829250200e169594f41ecc,acd89a9c694651ef8ca60506be93562c9fc357007cc5485cd46a3881873fcce9,0.9895397336395778,0.397555799193004,0.8278335724533716,0.9322282596299095
