method,epoch,n_images,checkpoint_sha256,pixel_auroc,pixel_ap,image_auroc,image_ap,macro_pixel_auroc,macro_pixel_ap,macro_image_auroc,macro_image_ap,deployment,rmt_inference
R,10,96,e167a5a53c314f8e7f2ca84cd0ad44578564dc10d45212d6d746b8637cbdb2a8,0.9439353144493897,0.4050818310284318,0.9427083333333334,0.9631744844764122,0.9615206823971496,0.4198214613955964,0.9895833333333334,0.9930555555555555,native_h2_alpha0,NOT_APPLIED; RCA CIR IS TRAINING_ONLY
RA,10,96,8f7597db9a874af77658c176bf0ae188de484c02d4ccaa56f2db1f443a58560d,0.9769782375677166,0.4908903858185163,0.9223090277777778,0.9427190281431291,0.9755582153819274,0.41993425686796,0.9375,0.9375,native_h2_alpha0,NOT_APPLIED; RCA CIR IS TRAINING_ONLY
RCA,10,96,df73c220204c658d8119cde79f726667361a04f231d656d5ee7404b7f5327a44,0.9311222251850544,0.493411943462666,0.9592013888888888,0.9693703382921953,0.9603122026334111,0.41883901371557464,0.9791666666666666,0.986111111111111,native_h2_alpha0,NOT_APPLIED; RCA CIR IS TRAINING_ONLY
RA,12,96,8d099f039b2f7da6466b6995e88440e8f67cf1f1856657ecc9f8d3f37d6d28f2,0.9599039831832213,0.4931969135185183,0.92578125,0.9447024121929654,0.9807577599964574,0.42277278415182756,0.9427083333333334,0.9406249999999999,native_h2_alpha0,NOT_APPLIED; RCA CIR IS TRAINING_ONLY
RCA,12,96,ffb82017c7eec844bdf1a6079fb70b25c88d6743e77e30bde53c19245f095801,0.9334560764627571,0.49347167389967733,0.9596354166666666,0.969814545206563,0.958990777588311,0.4184893717616984,0.9791666666666666,0.986111111111111,native_h2_alpha0,NOT_APPLIED; RCA CIR IS TRAINING_ONLY
RA,14,96,05d0fd4f76ba6b901778066e9b9f91c020a9c83e2b93e3969a4ae40a9b5e3b6a,0.9730353610886621,0.49106341586492597,0.9262152777777778,0.945816880708975,0.9775031453476456,0.42040377340279317,0.9427083333333334,0.9406249999999999,native_h2_alpha0,NOT_APPLIED; RCA CIR IS TRAINING_ONLY
RCA,14,96,466b4e7849a0748dc71236c57d52e921c7a0862c9dc80642975bbfc44d0f589a,0.9292381384133424,0.494644773663981,0.9583333333333334,0.9681825434027308,0.9594176209338251,0.4189493416334731,0.9791666666666666,0.986111111111111,native_h2_alpha0,NOT_APPLIED; RCA CIR IS TRAINING_ONLY
RA,16,96,2e5b27b7744b571f9166c1d8ead99fcc85039f414635ba8b8aed5a999999eba0,0.9776476498344276,0.4910300093662545,0.9262152777777778,0.9451856248218959,0.9730429162322052,0.419024008239773,0.9427083333333334,0.9406249999999999,native_h2_alpha0,NOT_APPLIED; RCA CIR IS TRAINING_ONLY
RCA,16,96,d34af8c46bdeb3606d364fa23aa4dd543d4d41508e1511fca608bc8503b7a25f,0.9311024677977806,0.4948360874458837,0.9583333333333334,0.9674998697341067,0.960071103134608,0.4192056341660535,0.9739583333333334,0.9819444444444444,native_h2_alpha0,NOT_APPLIED; RCA CIR IS TRAINING_ONLY
RA,18,96,af010033abcfa30f9064d388be6b0e1a4ac01749be3806ec5f65646efb732a6e,0.9604445971327452,0.49191661305056916,0.9270833333333334,0.9461707105662295,0.975848817775317,0.4195409057230644,0.9427083333333334,0.9406249999999999,native_h2_alpha0,NOT_APPLIED; RCA CIR IS TRAINING_ONLY
RCA,18,96,ebcc076121d9fe85b783c01fd97e3fe888a239e04f919dd1d0e7c6aa24b048c7,0.9299840728123681,0.4946799597765602,0.9557291666666666,0.9652633097826733,0.959935864254594,0.41952719239446706,0.96875,0.9767361111111111,native_h2_alpha0,NOT_APPLIED; RCA CIR IS TRAINING_ONLY
RA,20,96,3430862665c4f834ca9fab56e8e919cdf39f392257acc5e937bb02629c6b26b6,0.9477805798178256,0.49262207635161614,0.92578125,0.9447376703831893,0.9715897744034918,0.41859971719338224,0.9427083333333334,0.9406249999999999,native_h2_alpha0,NOT_APPLIED; RCA CIR IS TRAINING_ONLY
RCA,20,96,243c91a6a82ad0c72f9cf86cda1271bde7791c741035da19419cfefe7d61cc81,0.9059448120503419,0.4945832180719254,0.9557291666666666,0.9649419409250527,0.9604010189370378,0.4198004774439468,0.96875,0.9767361111111111,native_h2_alpha0,NOT_APPLIED; RCA CIR IS TRAINING_ONLY
